Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00989394, -0.00471239, -14.9638, 0.000495258, -0.00433551, 0.2, -6.20854, 
0.0198671, -0.00942478, 0, 0.000351096, -0.00311479, 0.2, -6.29193, 
0.0298416, -0.00942478, 0, 0.000525037, -0.00189406, 0.2, -2.5585, 
0.0398169, -0.00942478, 0, 0.000717759, 0.0017681, 0.2, 1.74707, 
0.049792, -0.00942478, 0, 0.000929228, 0.0017681, 0.2, 1.34948, 
0.0597659, -0.00942478, 0, 0.00115942, -0.000673342, 0.2, -0.411884, 
0.069741, -0.00785398, 0, 0.00140368, -0.00311479, 0.2, -1.57377, 
0.0797173, -0.00785398, 0, 0.00167144, -0.00311479, 0.2, -1.32166, 
0.0896915, -0.00628319, 0, 0.0019532, 0.0017681, 0.2, 0.64201, 
0.0996653, -0.00314159, 7.52001, 0.00209148, 0.0017681, 0.2, 0.599562, 
0.109642, 0.00314159, 7.50441, 0.00239708, -0.00311479, 0.2, -0.921566, 
0.119618, 0.00942478, 0, 0.00287813, -0.00189406, 0.2, -0.466729, 
0.129591, 0.0125664, 0, 0.00323016, 0.0017681, 0.2, 0.388207, 
0.139569, 0.0188496, 7.5379, 0.00343384, 0.0017681, 0.2, 0.36518, 
0.14954, 0.0267035, 15.1005, 0.00365068, -0.00189406, 0.2, -0.367961, 
0.159518, 0.0581195, 45.0432, 0.00334729, 0.0017681, 0.2, 0.374623, 
0.169493, 0.113097, 52.5689, 0.00346129, -0.000673342, 0.2, -0.137968, 
0.179465, 0.175929, 67.9046, 0.0034067, 0.0017681, 0.2, 0.36809, 
0.189444, 0.241903, 74.6152, 0.00354311, 0.00298882, 0.2, 0.598269, 
0.199417, 0.312588, 75.1761, 0.00381133, 0.00909243, 0.2, 1.69194, 
0.20939, 0.397411, 90.344, 0.00375066, 0.015196, 0.2, 2.87345, 
0.21937, 0.496372, 97.5755, 0.00383288, 0.0188582, 0.2, 3.48944, 
0.229341, 0.640885, 167.531, 0.00248295, 0.0335069, 0.2, 9.57077, 
0.239316, 0.805819, 165.261, 0.00260368, 0.0493762, 0.2, 13.4497, 
0.249291, 0.967611, 165.34, 0.00270317, 0.0628042, 0.2, 16.4777, 
0.259265, 1.11055, 105.214, 0.00413883, 0.07257, 0.2, 12.4354, 
0.269239, 1.20323, 97.7923, 0.00464032, 0.07257, 0.2, 11.0915, 
0.279214, 1.30376, 97.7055, 0.00498344, 0.081115, 0.2, 11.5439, 
0.289191, 1.40272, 104.348, 0.00520996, 0.0884393, 0.2, 12.039, 
0.299164, 1.54095, 142.917, 0.0046668, 0.0921015, 0.2, 13.9968, 
0.30914, 1.65562, 105.159, 0.00581276, 0.0982051, 0.2, 11.9821, 
0.319115, 1.80327, 143.881, 0.00527672, 0.105529, 0.2, 14.1837, 
0.329089, 1.95878, 150.356, 0.00541107, 0.109192, 0.2, 14.3116, 
0.339064, 2.11429, 157.872, 0.00554248, 0.109192, 0.2, 13.9723, 
0.349039, 2.36719, 272.998, 0.00314677, 0.114075, 0.2, 25.7102, 
0.359015, 2.64051, 254.394, 0.00351043, 0.120178, 0.2, 24.2798, 
0.368989, 2.8133, 127.902, 0.00645167, 0.118957, 0.2, 13.0768, 
0.378963, 3.00179, 211.281, 0.00497026, 0.118957, 0.2, 16.9744, 
0.388939, 3.20757, 165.135, 0.00616884, 0.12384, 0.2, 14.2377, 
0.398915, 3.42434, 209.732, 0.00545273, 0.12384, 0.2, 16.1075, 
0.408889, 3.63639, 232.965, 0.00521626, 0.128723, 0.2, 17.5016, 
0.418869, 3.93799, 314.735, 0.00350451, 0.126282, 0.2, 25.5561, 
0.428837, 4.26628, 285.821, 0.00404882, 0.126282, 0.2, 22.1204, 
0.438814, 4.49562, 195.392, 0.00619779, 0.127502, 0.2, 14.5902, 
0.448789, 4.74538, 263.327, 0.00498725, 0.132385, 0.2, 18.8261, 
0.458767, 4.99827, 238.714, 0.005726, 0.132385, 0.2, 16.3972, 
0.468739, 5.27473, 285.466, 0.00491539, 0.133606, 0.2, 19.2774, 
0.478715, 5.62973, 367.188, 0.00315698, 0.132385, 0.2, 29.7405, 
0.488687, 5.96431, 240.773, 0.00583715, 0.136047, 0.2, 16.5299, 
0.498662, 6.22192, 285.812, 0.00517628, 0.137268, 0.2, 18.8076, 
0.508637, 6.50624, 258.526, 0.00596893, 0.136047, 0.2, 16.165, 
0.518613, 6.81411, 315.853, 0.00493788, 0.133606, 0.2, 19.1896, 
0.528586, 7.19268, 391.48, 0.00332969, 0.134827, 0.2, 28.7179, 
0.538562, 7.57595, 295.89, 0.0053125, 0.138489, 0.2, 18.4883, 
0.548539, 7.85084, 308.033, 0.00538293, 0.138489, 0.2, 18.2464, 
0.558512, 8.19013, 325.978, 0.00515697, 0.134827, 0.2, 18.5422, 
0.568486, 8.52942, 361.038, 0.00459162, 0.13971, 0.2, 21.5795, 
0.578463, 8.98338, 434.894, 0.00288889, 0.136047, 0.2, 33.3995, 
0.588437, 9.29597, 278.114, 0.00645851, 0.14093, 0.2, 15.4758, 
0.598412, 9.63369, 353.093, 0.005118, 0.136047, 0.2, 18.8526, 
0.608387, 10.0013, 356.278, 0.0052102, 0.138489, 0.2, 18.8513, 
0.618362, 10.4364, 466.944, 0.00286773, 0.137268, 0.2, 33.9479, 
0.628337, 10.8181, 275.873, 0.00702542, 0.134827, 0.2, 13.6108, 
0.63831, 11.1684, 384.842, 0.00500833, 0.138489, 0.2, 19.6112, 
0.648287, 11.5689, 353.655, 0.00579674, 0.143372, 0.2, 17.5413, 
0.658261, 11.9962, 474.859, 0.00333248, 0.138489, 0.2, 29.4733, 
0.668237, 12.4281, 323.042, 0.00659018, 0.134827, 0.2, 14.5097, 
0.678211, 12.769, 375.507, 0.00586174, 0.138489, 0.2, 16.756, 
0.68819, 13.1915, 380.509, 0.00590304, 0.134827, 0.2, 16.1988, 
0.698161, 13.6612, 503.533, 0.00334599, 0.132385, 0.2, 28.0605, 
0.70814, 14.0602, 314.137, 0.00756619, 0.136047, 0.2, 12.7525, 
0.718116, 14.4702, 457.103, 0.0048098, 0.133606, 0.2, 19.7006, 
0.728084, 14.9147, 430.113, 0.00552696, 0.134827, 0.2, 17.301, 
0.738061, 15.4456, 465, 0.0047101, 0.133606, 0.2, 20.1176, 
0.748034, 15.8163, 353.865, 0.00744887, 0.13971, 0.2, 13.302, 
0.75801, 16.2766, 459.815, 0.00539256, 0.131165, 0.2, 17.2505, 
0.767987, 16.8201, 552.576, 0.00338317, 0.136047, 0.2, 28.5199, 
0.777959, 17.2788, 368.611, 0.00743827, 0.134827, 0.2, 12.8554, 
0.787935, 17.75, 503.885, 0.00479107, 0.131165, 0.2, 19.4162, 
