Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00988873, 0, 0, 0.000258343, 0.00948882, 1, 26.4241, 
0.0198618, 0, 0, 0.00049604, 0.013151, 1, 19.0733, 
0.0298372, 0, 0, 0.00076506, 0.0168132, 1, 15.8103, 
0.0398069, 0, 0, 0.00106518, 0.0180339, 1, 12.1801, 
0.0497793, 0, 0, 0.00139659, 0.0180339, 1, 9.28978, 
0.0597525, 0, 0, 0.0017593, 0.0107095, 1, 4.37942, 
0.0697252, 0, 0, 0.00215321, 0.013151, 1, 4.39397, 
0.079698, 0, 0, 0.00257841, 0.0143717, 1, 4.00998, 
0.0896701, 0, 0, 0.00303479, 0.0119303, 1, 2.82818, 
0.0996433, 0.0015708, 0, 0.00351461, 0.013151, 1, 2.69195, 
0.109616, 0.00314159, 0, 0.00402562, 0.0180339, 1, 3.22286, 
0.119591, 0.00942478, 7.5913, 0.00430621, 0.0168132, 1, 2.80892, 
0.129561, 0.0141372, 7.51961, 0.00486605, 0.0143717, 1, 2.1248, 
0.139535, 0.0188496, 7.52837, 0.00545515, 0.0155924, 1, 2.05633, 
0.149507, 0.0345575, 22.5791, 0.00554738, 0.013151, 1, 1.70552, 
0.159478, 0.0706858, 45.4206, 0.00532396, 0.013151, 1, 1.77709, 
0.169453, 0.127235, 60.1442, 0.00528539, 0.0229168, 1, 3.11933, 
0.179426, 0.221482, 105.22, 0.00413573, 0.0326825, 1, 5.68524, 
0.189398, 0.33458, 126.971, 0.00365666, 0.0412276, 1, 8.11125, 
0.199372, 0.461814, 112.721, 0.00426748, 0.0534348, 1, 9.00819, 
0.209344, 0.578053, 120.205, 0.00428252, 0.0729664, 1, 12.2577, 
0.219316, 0.699004, 105.109, 0.00501455, 0.0741871, 1, 10.6434, 
0.229289, 0.791681, 90.1082, 0.00591644, 0.0778492, 1, 9.46628, 
0.239261, 0.863938, 75.3656, 0.00694308, 0.0851736, 1, 8.82547, 
0.249233, 0.934624, 60.2315, 0.00802135, 0.0888357, 1, 7.96756, 
0.259208, 1.00845, 89.9029, 0.00770846, 0.0924979, 1, 8.63276, 
0.269179, 1.09956, 67.4521, 0.00897725, 0.105926, 1, 8.48875, 
0.279151, 1.18909, 105.209, 0.00839242, 0.105926, 1, 9.0803, 
0.289124, 1.25821, 60.3937, 0.0105362, 0.112029, 1, 7.64954, 
0.299099, 1.34931, 105.068, 0.00979004, 0.121795, 1, 8.95016, 
0.309073, 1.46084, 104.403, 0.0103982, 0.131561, 1, 9.10234, 
0.319041, 1.58179, 120.438, 0.010463, 0.142547, 1, 9.80144, 
0.329015, 1.68861, 112.824, 0.0113747, 0.153534, 1, 9.71072, 
0.338989, 1.84569, 171.579, 0.00998286, 0.16452, 1, 11.8563, 
0.34896, 2.03889, 157.777, 0.0107172, 0.175507, 1, 11.7815, 
0.358933, 2.18027, 157.881, 0.0113072, 0.176728, 1, 11.2443, 
0.368905, 2.36562, 166.961, 0.0114262, 0.181611, 1, 11.4347, 
0.378878, 2.51484, 150.336, 0.012565, 0.186493, 1, 10.6779, 
0.38885, 2.6892, 187.068, 0.0119346, 0.191376, 1, 11.5363, 
0.398824, 2.88555, 180.24, 0.0125908, 0.196259, 1, 11.2141, 
0.408796, 3.12117, 256.321, 0.0104786, 0.203584, 1, 13.9774, 
0.418768, 3.41177, 278.454, 0.00981778, 0.207246, 1, 15.1865, 
0.428742, 3.76991, 384.847, 0.0062038, 0.212129, 1, 24.5995, 
0.438714, 4.10606, 263.383, 0.00988858, 0.208466, 1, 15.1666, 
0.448686, 4.38566, 300.933, 0.00889203, 0.21457, 1, 17.3602, 
0.458659, 4.71396, 316.029, 0.00838887, 0.210908, 1, 18.0873, 
0.468632, 5.03911, 318.578, 0.00832673, 0.208466, 1, 18.0114, 
0.478607, 5.41611, 395.093, 0.00571559, 0.213349, 1, 26.8544, 
0.488578, 5.74911, 255.811, 0.0101302, 0.206025, 1, 14.6315, 
0.498548, 6.03971, 286.104, 0.00946249, 0.208466, 1, 15.8495, 
0.508522, 6.33031, 240.831, 0.0112004, 0.208466, 1, 13.3902, 
0.518494, 6.63661, 353.531, 0.00792809, 0.209687, 1, 19.0278, 
0.528471, 7.02774, 330.09, 0.00854129, 0.212129, 1, 17.8674, 
0.53844, 7.2665, 211.97, 0.0129195, 0.208466, 1, 11.6085, 
0.548413, 7.53982, 278.369, 0.0113605, 0.206025, 1, 13.0469, 
0.55839, 7.79586, 263.256, 0.012481, 0.203584, 1, 11.7348, 
0.56836, 8.11316, 315.013, 0.0112249, 0.206025, 1, 13.2046, 
0.578329, 8.46816, 360.849, 0.0099959, 0.208466, 1, 15.0037, 
0.588303, 8.83573, 316.453, 0.0115713, 0.208466, 1, 12.961, 
0.598277, 9.14046, 322.932, 0.0118944, 0.204804, 1, 12.3874, 
0.608249, 9.53159, 406.492, 0.00939459, 0.204804, 1, 15.6836, 
0.618221, 9.95099, 420.903, 0.00895743, 0.209687, 1, 16.8412, 
0.628193, 10.4505, 436.497, 0.00811335, 0.206025, 1, 18.2686, 
0.638167, 10.8432, 413.471, 0.0090481, 0.212129, 1, 16.8666, 
0.64814, 11.3176, 451.19, 0.00769748, 0.215791, 1, 20.1683, 
0.658112, 11.8627, 534.644, 0.0045874, 0.217012, 1, 34.0331, 
0.668085, 12.2616, 330.933, 0.011261, 0.21457, 1, 13.7081, 
0.678058, 12.7077, 435.604, 0.00804242, 0.213349, 1, 19.0849, 
0.688031, 13.1413, 421.097, 0.0086614, 0.217012, 1, 18.0252, 
0.698003, 13.5733, 360.771, 0.0107592, 0.21457, 1, 14.3474, 
0.707975, 13.9078, 316.25, 0.0128779, 0.219453, 1, 12.2597, 
0.717948, 14.2754, 360.449, 0.0120766, 0.215791, 1, 12.8551, 
0.727921, 14.6744, 413.346, 0.0108759, 0.224336, 1, 14.8395, 
0.737892, 15.1079, 383.87, 0.0121208, 0.219453, 1, 13.0255, 
0.747871, 15.4755, 367.883, 0.0133059, 0.219453, 1, 11.8654, 
0.757838, 15.9169, 443.781, 0.0112626, 0.224336, 1, 14.33, 
0.767816, 16.4431, 559.815, 0.00757167, 0.223115, 1, 21.1994, 
0.777784, 16.9599, 409.342, 0.0123228, 0.224336, 1, 13.0971, 
0.787759, 17.4625, 555.741, 0.0078557, 0.227998, 1, 20.88, 
0.797729, 18.0673, 580.011, 0.00674304, 0.238985, 1, 25.4976, 
0.807702, 18.5919, 459.018, 0.0106265, 0.236543, 1, 16.0143, 
0.817674, 19.0867, 458.714, 0.0108992, 0.240205, 1, 15.8552, 
0.827648, 19.6255, 557.138, 0.00788154, 0.249971, 1, 22.8173, 
0.83762, 20.0606, 345.642, 0.0151504, 0.253633, 1, 12.0439, 
