Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.0098865, 0, 0, 0.000167177, -0.0244221, 0.5, -105.097, 
0.019864, 0, 0, 0.000322421, -0.0280843, 0.5, -62.6649, 
0.0298353, 0, 0, 0.000496276, -0.0268636, 0.5, -38.9426, 
0.0398113, 0, 0, 0.000688992, -0.0329672, 0.5, -34.4233, 
0.0497856, 0, 0, 0.000900447, -0.029305, 0.5, -23.4136, 
0.0597612, 0, 0, 0.00113065, -0.0305257, 0.5, -19.4232, 
0.0697351, 0, 0, 0.00137958, -0.029305, 0.5, -15.282, 
0.0797106, 0, 0, 0.00164733, -0.0268636, 0.5, -11.7319, 
0.0896845, 0, 0, 0.00193375, -0.0268636, 0.5, -9.99421, 
0.0996591, 0, 0, 0.00223897, -0.0280843, 0.5, -9.02402, 
0.109634, 0, 0, 0.00256295, -0.0268636, 0.5, -7.54063, 
0.119609, 0, 0, 0.00290571, -0.0280843, 0.5, -6.95338, 
0.129587, 0, 0, 0.00326742, -0.0317464, 0.5, -6.98996, 
0.139559, 0.00314159, 0, 0.00363809, -0.0280843, 0.5, -5.5536, 
0.149533, 0.00628319, 15.0448, 0.00371253, -0.0280843, 0.5, -5.44224, 
0.159508, 0.0141372, 15.0811, 0.00410594, -0.0280843, 0.5, -4.9208, 
0.169485, 0.0361283, 30.2725, 0.00415845, -0.0256428, 0.5, -4.43629, 
0.179458, 0.0863938, 52.6302, 0.00399454, -0.0195392, 0.5, -3.51906, 
0.189433, 0.139801, 59.8618, 0.00415728, -0.0158771, 0.5, -2.74755, 
0.199409, 0.210487, 90.3642, 0.00379898, -0.0134356, 0.5, -2.54434, 
0.209382, 0.301593, 75.2666, 0.00435309, -0.0134356, 0.5, -2.22047, 
0.219361, 0.370708, 67.5859, 0.00483704, -0.0134356, 0.5, -1.99831, 
0.229332, 0.422544, 52.7063, 0.00554203, -0.00977345, 0.5, -1.26872, 
0.239307, 0.466527, 37.6146, 0.006294, -0.00855273, 0.5, -0.977605, 
0.249282, 0.491659, 22.7796, 0.00711585, -0.00977345, 0.5, -0.988111, 
0.259257, 0.5325, 52.5685, 0.00697474, -0.007332, 0.5, -0.756275, 
0.269231, 0.604757, 83.0052, 0.00674458, -0.00489056, 0.5, -0.521662, 
0.279206, 0.706858, 106.115, 0.00659712, -7.673e-06, 0.5, -0.000836751, 
0.289183, 0.786969, 74.9562, 0.00767147, 0.00243377, 0.5, 0.228237, 
0.29916, 0.838805, 29.846, 0.00914131, 0.00121305, 0.5, 0.0954674, 
0.309131, 0.857655, 22.7543, 0.0099315, 0.00243377, 0.5, 0.176299, 
0.319104, 0.874934, 15.029, 0.0107592, -0.00244912, 0.5, -0.163763, 
0.329079, 0.896925, 30.0755, 0.0111146, 0.00243377, 0.5, 0.157532, 
0.339054, 0.94719, 60.099, 0.0110904, 0.00121305, 0.5, 0.0786894, 
0.34903, 1.01316, 52.5551, 0.0118248, -0.00122839, 0.5, -0.0747361, 
0.359003, 1.08699, 75.1914, 0.0119218, -7.673e-06, 0.5, -0.000463029, 
0.368983, 1.15139, 52.5993, 0.0130137, -7.673e-06, 0.5, -0.000424181, 
0.378953, 1.24721, 105.337, 0.0124516, -7.673e-06, 0.5, -0.000443327, 
0.388933, 1.28334, 7.50783, 0.0152418, -0.00244912, 0.5, -0.1156, 
0.398903, 1.29905, 7.54604, 0.0160612, 0.00243377, 0.5, 0.109015, 
0.408878, 1.3069, 7.58667, 0.0169235, 0.00243377, 0.5, 0.103461, 
0.418852, 1.3179, 7.5301, 0.017797, -7.673e-06, 0.5, -0.000310172, 
0.428827, 1.33675, 22.5706, 0.0183496, 0.00243377, 0.5, 0.0954199, 
0.438802, 1.3556, 15.0567, 0.0193933, 0.00121305, 0.5, 0.045, 
0.448777, 1.39644, 52.5478, 0.0194476, -0.00122839, 0.5, -0.045442, 
0.458756, 1.52681, 193.431, 0.0170877, -0.00366984, 0.5, -0.154507, 
0.468726, 1.88967, 414.913, 0.0123576, 0.00243377, 0.5, 0.141687, 
0.478701, 2.31378, 443.99, 0.0114941, -7.673e-06, 0.5, -0.00048026, 
0.488677, 2.90126, 525.829, 0.00905461, 0.023186, 0.5, 1.84222, 
0.498654, 3.45732, 566.672, 0.00758823, 0.0573662, 0.5, 5.43877, 
0.508626, 4.04323, 529.984, 0.00767111, 0.102533, 0.5, 9.61592, 
0.518602, 4.56788, 488.581, 0.00805725, 0.155024, 0.5, 13.842, 
0.528575, 5.12237, 536.954, 0.00649406, 0.201411, 0.5, 22.3127, 
0.53855, 5.60617, 443.511, 0.00812846, 0.240475, 0.5, 21.2836, 
0.548526, 6.07584, 438.417, 0.00797581, 0.273434, 0.5, 24.664, 
0.5585, 6.5675, 473.232, 0.00693908, 0.299069, 0.5, 31.0067, 
0.568474, 6.89894, 248.592, 0.011836, 0.302731, 0.5, 18.4008, 
0.57845, 7.13456, 194.804, 0.013462, 0.305173, 0.5, 16.3087, 
0.588423, 7.18953, 30.3621, 0.0179643, 0.291745, 0.5, 11.6836, 
0.598398, 7.2398, 52.6689, 0.0185894, 0.291745, 0.5, 11.2908, 
0.608376, 7.31206, 89.5865, 0.0188628, 0.30029, 0.5, 11.453, 
0.618351, 7.42515, 127.369, 0.0190119, 0.308835, 0.5, 11.6866, 
0.628322, 7.56967, 165.513, 0.0190775, 0.314939, 0.5, 11.8765, 
0.638298, 7.81471, 285.763, 0.0171421, 0.323484, 0.5, 13.5761, 
0.648274, 8.21369, 411.742, 0.0146453, 0.322263, 0.5, 15.8306, 
0.658247, 8.59226, 278.016, 0.0176642, 0.322263, 0.5, 13.1251, 
0.668221, 8.90642, 338.634, 0.0168258, 0.323484, 0.5, 13.8313, 
0.678196, 9.36666, 564.486, 0.0121081, 0.330808, 0.5, 19.6555, 
0.688172, 10.0562, 601.528, 0.0106754, 0.332029, 0.5, 22.3757, 
0.698149, 10.6092, 525.636, 0.0120369, 0.333249, 0.5, 19.9178, 
0.708119, 11.2061, 609.336, 0.00994176, 0.340574, 0.5, 24.6452, 
0.718096, 11.7637, 459.039, 0.012885, 0.335691, 0.5, 18.7431, 
0.728072, 12.2695, 492.709, 0.0121511, 0.346677, 0.5, 20.5255, 
0.738045, 12.8004, 513.859, 0.0116211, 0.349119, 0.5, 21.6127, 
0.748024, 13.1491, 187.899, 0.0189243, 0.343015, 0.5, 13.04, 
0.757994, 13.369, 255.703, 0.0183869, 0.35156, 0.5, 13.7555, 
0.76797, 13.6895, 285.252, 0.0183692, 0.354002, 0.5, 13.8644, 
0.777945, 14.0036, 390.699, 0.0167985, 0.358885, 0.5, 15.3698, 
0.787919, 14.4419, 315.874, 0.0186498, 0.362547, 0.5, 13.9854, 
