Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00998386, 0, 0, 0.000169845, -0.0219807, 1, -93.1052, 
0.0199627, 0, 0, 0.000325346, -0.0232014, 1, -51.3043, 
0.0299334, 0, 0, 0.00049932, -0.0268636, 1, -38.7053, 
0.0399088, 0, 0, 0.00069222, -0.0232014, 1, -24.1132, 
0.0498828, 0, 0, 0.000903814, -0.0219807, 1, -17.4963, 
0.0598571, 0, 0, 0.0011342, -0.0268636, 1, -17.0396, 
0.0698323, 0, 0, 0.00138333, -0.0256428, 1, -13.336, 
0.0798075, 0, 0, 0.00165126, -0.0256428, 1, -11.1721, 
0.0897831, 0, 0, 0.001938, -0.0256428, 1, -9.51916, 
0.0997566, 0, 0, 0.00224329, -0.0305257, 1, -9.7896, 
0.109731, 0, 0, 0.00256742, -0.0268636, 1, -7.52753, 
0.119707, 0, 0, 0.0029104, -0.0268636, 1, -6.64042, 
0.129681, 0, 0, 0.00327201, -0.0244221, 1, -5.36975, 
0.139656, 0, 0, 0.0036526, -0.0280843, 1, -5.53155, 
0.149629, 0.0015708, 7.53667, 0.00388903, -0.0268636, 1, -4.96944, 
0.159605, 0.00314159, 7.52055, 0.00430266, -0.029305, 1, -4.89993, 
0.16958, 0.00314159, 0, 0.00489684, -0.0280843, 1, -4.12603, 
0.179555, 0.00942478, 15.0256, 0.00501878, -0.0280843, 1, -4.02578, 
0.189529, 0.0376991, 37.7331, 0.0049325, -0.0268636, 1, -3.91815, 
0.199504, 0.0753982, 37.5218, 0.00531686, -0.0219807, 1, -2.97421, 
0.209479, 0.116239, 37.6336, 0.00570359, -0.0207599, 1, -2.61856, 
0.219454, 0.174358, 60.6641, 0.00557732, -0.0146563, 1, -1.89054, 
0.229433, 0.230907, 59.538, 0.00598144, -0.0134356, 1, -1.61598, 
0.239409, 0.289027, 52.2304, 0.00652826, -0.0122149, 1, -1.3461, 
0.249378, 0.342434, 52.9948, 0.00693767, -0.00977345, 1, -1.01349, 
0.259354, 0.406836, 60.0543, 0.00720223, -0.00977345, 1, -0.976261, 
0.269328, 0.502655, 120.773, 0.00626709, -0.00855273, 1, -0.981802, 
0.279303, 0.629889, 135.295, 0.00622437, -0.00977345, 1, -1.12963, 
0.289277, 0.796394, 158.013, 0.00591064, -0.00489056, 1, -0.595263, 
0.299253, 0.962898, 157.828, 0.00609561, 0.00121305, 1, 0.143168, 
0.309228, 1.16239, 204.613, 0.00521658, 0.00121305, 1, 0.167293, 
0.319201, 1.33204, 135.385, 0.00687555, -7.673e-06, 1, -0.000802866, 
0.329176, 1.49854, 197.152, 0.00581903, 0.00243377, 1, 0.300895, 
0.339152, 1.69018, 180.114, 0.00635664, -7.673e-06, 1, -0.000868405, 
0.349126, 1.9148, 240.627, 0.00518943, 0.00121305, 1, 0.168168, 
0.359102, 2.16142, 210.462, 0.00587461, -7.673e-06, 1, -0.000939661, 
0.369075, 2.44416, 327.129, 0.00339456, 0.00121305, 1, 0.257087, 
0.37905, 2.78659, 300.122, 0.00376364, 0.00243377, 1, 0.465219, 
0.389025, 2.96566, 81.8859, 0.00864772, 0.00487521, 1, 0.40558, 
0.399, 3.08033, 135.412, 0.00804914, 0.0109788, 1, 0.981277, 
0.408974, 3.21228, 121.422, 0.00883305, 0.0134203, 1, 1.09304, 
0.418949, 3.32223, 52.6245, 0.0108497, 0.0195239, 1, 1.29459, 
0.428923, 3.33166, 15.0244, 0.0125333, 0.023186, 1, 1.3309, 
0.438899, 3.34737, 15.0194, 0.0134295, 0.0256275, 1, 1.37287, 
0.448873, 3.35993, 15.0629, 0.0143523, 0.0219653, 1, 1.10103, 
0.458848, 3.37721, 22.7401, 0.0151205, 0.0244068, 1, 1.16126, 
0.468823, 3.39292, 15.1619, 0.0162313, 0.0244068, 1, 1.08179, 
0.478798, 3.43376, 45.0877, 0.0165002, 0.0317311, 1, 1.3835, 
0.488773, 3.51858, 112.716, 0.0158662, 0.0402761, 1, 1.82625, 
0.498749, 3.66624, 150.154, 0.0156966, 0.0500419, 1, 2.29358, 
0.508722, 3.86416, 271.373, 0.0136365, 0.0732356, 1, 3.86371, 
0.518697, 4.21759, 391.094, 0.0111617, 0.104974, 1, 6.76608, 
0.528671, 4.67155, 391.321, 0.010907, 0.156245, 1, 10.3059, 
0.538646, 4.95743, 263.357, 0.01386, 0.178218, 1, 9.25067, 
0.548621, 5.25588, 315.532, 0.0130213, 0.19897, 1, 10.9931, 
0.558597, 5.73498, 578.419, 0.0072465, 0.224605, 1, 22.2986, 
0.568573, 6.26591, 427.288, 0.0100063, 0.228267, 1, 16.4118, 
0.578545, 6.66175, 384.018, 0.0109298, 0.228267, 1, 15.025, 
0.58852, 7.08743, 459.978, 0.00928631, 0.238033, 1, 18.4408, 
0.598494, 7.6215, 511.192, 0.00785461, 0.244137, 1, 22.3611, 
0.608469, 8.08175, 444.373, 0.00913505, 0.240475, 1, 18.9384, 
0.618447, 8.57184, 460.308, 0.00861471, 0.244137, 1, 20.3881, 
0.628419, 9.08234, 489.24, 0.00777366, 0.244137, 1, 22.594, 
0.638395, 9.35095, 120.35, 0.0160122, 0.240475, 1, 10.8045, 
0.648369, 9.50332, 180.495, 0.0156323, 0.240475, 1, 11.067, 
0.658346, 9.75622, 282.795, 0.0140889, 0.244137, 1, 12.4664, 
0.668319, 10.0075, 218.002, 0.0160643, 0.244137, 1, 10.9334, 
0.678292, 10.3892, 459.015, 0.0112642, 0.253902, 1, 16.2163, 
0.688267, 10.7301, 203.347, 0.017008, 0.24902, 1, 10.5333, 
0.698244, 10.9736, 275.556, 0.0161988, 0.256344, 1, 11.3848, 
0.708217, 11.3804, 511.537, 0.0114827, 0.261227, 1, 16.3667, 
0.718194, 11.9993, 614.336, 0.00894427, 0.268551, 1, 21.6007, 
0.728168, 12.5742, 500.054, 0.0110971, 0.273434, 1, 17.7268, 
0.738142, 13.0942, 510.607, 0.010822, 0.278317, 1, 18.5019, 
0.748116, 13.6125, 513.147, 0.0107382, 0.286862, 1, 19.2189, 
0.758091, 14.1607, 488.268, 0.0111578, 0.292966, 1, 18.8895, 
0.768066, 14.6367, 474.024, 0.01159, 0.303952, 1, 18.8671, 
0.778042, 15.1032, 449.658, 0.0122829, 0.311276, 1, 18.2318, 
0.788016, 15.499, 318.392, 0.0154427, 0.313718, 1, 14.6151, 
0.797991, 15.8163, 315.551, 0.0161688, 0.322263, 1, 14.339, 
0.807965, 16.2546, 429.25, 0.0141093, 0.335691, 1, 17.1166, 
0.81794, 16.4996, 180.733, 0.0202349, 0.332029, 1, 11.8048, 
0.827914, 16.8122, 377.764, 0.016845, 0.344236, 1, 14.7018, 
0.83789, 17.1986, 419.649, 0.0165044, 0.35156, 1, 15.3244, 
