Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.0019987, 0, 0, 5.83879e-05, -0.0164256, 0.2, -2163.99, 
0.0119746, -0.0015708, 0, 0.000203448, -0.0115427, 0.2, -436.428, 
0.021957, -0.0015708, 0, 0.000362698, -0.0139842, 0.2, -296.585, 
0.0319234, -0.0015708, 0, 0.000540414, -0.0152049, 0.2, -216.428, 
0.0418979, -0.0015708, 0, 0.000737014, -0.0127634, 0.2, -133.214, 
0.0518728, -0.0015708, 0, 0.000952397, -0.0152049, 0.2, -122.807, 
0.0618474, -0.0015708, 0, 0.00118652, -0.0176463, 0.2, -114.403, 
0.0718222, -0.0015708, 0, 0.0014394, -0.0127634, 0.2, -68.209, 
0.0817975, -0.0015708, 0, 0.00171105, -0.0200878, 0.2, -90.308, 
0.0917719, -0.0015708, 0, 0.00200144, -0.0152049, 0.2, -58.4384, 
0.101747, -0.0015708, 0, 0.00231055, -0.0164256, 0.2, -54.6843, 
0.111722, -0.0015708, 0, 0.0026385, -0.0176463, 0.2, -51.4462, 
0.121697, -0.0015708, 0, 0.00298513, -0.0152049, 0.2, -39.1811, 
0.131673, -0.0015708, 0, 0.00335076, -0.0188671, 0.2, -43.3129, 
0.141646, -0.0015708, 0, 0.00373476, -0.0188671, 0.2, -38.8596, 
0.151621, 0, -7.50444, 0.00429017, -0.0139842, 0.2, -25.0737, 
0.161596, 0.0015708, 0, 0.00454992, -0.0176463, 0.2, -29.8337, 
0.171572, 0.00628319, 0, 0.00497642, -0.0249707, 0.2, -38.5984, 
0.181545, 0.00785398, 0, 0.00543067, -0.0261914, 0.2, -37.0989, 
0.19152, 0.0125664, 7.50728, 0.00573731, -0.0347364, 0.2, -46.573, 
0.201495, 0.0172788, 7.52453, 0.00621947, -0.0359572, 0.2, -44.4722, 
0.21147, 0.0219911, 7.51049, 0.00672108, -0.0420608, 0.2, -48.1388, 
0.221444, 0.0251327, 7.58432, 0.0072442, -0.0445022, 0.2, -47.255, 
0.231418, 0.0282743, 0, 0.00794656, -0.0579302, 0.2, -56.0767, 
0.241393, 0.0329867, 7.5268, 0.00834652, -0.0603716, 0.2, -55.6396, 
0.251368, 0.0376991, 7.52124, 0.00892295, -0.0689166, 0.2, -59.4118, 
0.261345, 0.0408407, 0, 0.00968047, -0.0737995, 0.2, -58.6427, 
0.271317, 0.0455531, 7.51141, 0.0101369, -0.0786824, 0.2, -59.7075, 
0.281292, 0.0502655, 0, 0.0109265, -0.084786, 0.2, -59.6896, 
0.291267, 0.0612611, 0, 0.0115592, -0.0957725, 0.2, -63.7338, 
0.301241, 0.0675442, 0, 0.0122245, -0.100655, 0.2, -63.3379, 
0.311219, 0.076969, 14.9153, 0.0125879, -0.106759, 0.2, -65.2391, 
0.321191, 0.100531, 30.0707, 0.0129206, -0.112863, 0.2, -67.1933, 
0.331166, 0.146084, 60.1527, 0.0128943, -0.115304, 0.2, -68.7865, 
0.341141, 0.21677, 82.7245, 0.0129688, -0.10798, 0.2, -64.0472, 
0.351115, 0.293739, 75.4613, 0.013668, -0.111642, 0.2, -62.8319, 
0.361091, 0.406836, 113.008, 0.013339, -0.1092, 0.2, -62.9736, 
0.371066, 0.519934, 105.116, 0.0139808, -0.110421, 0.2, -60.7544, 
0.38104, 0.581195, 45.2684, 0.0158846, -0.117746, 0.2, -57.0198, 
0.391016, 0.644026, 75.044, 0.0159256, -0.122628, 0.2, -59.2313, 
0.40099, 0.720996, 67.72, 0.0167197, -0.120187, 0.2, -55.2948, 
0.410967, 0.802677, 89.1471, 0.0169183, -0.121408, 0.2, -55.2009, 
0.420939, 0.918916, 142.823, 0.0163528, -0.12507, 0.2, -58.8324, 
0.430917, 1.13883, 239.905, 0.0145882, -0.122628, 0.2, -64.6613, 
0.44089, 1.31947, 134.764, 0.0171957, -0.123849, 0.2, -55.4026, 
0.450862, 1.47341, 159.242, 0.0171858, -0.12507, 0.2, -55.9808, 
0.460837, 1.56608, 15.0469, 0.0209119, -0.111642, 0.2, -41.0667, 
0.470813, 1.57551, 22.5192, 0.0217306, -0.132394, 0.2, -46.8657, 
0.48079, 1.58965, 14.8969, 0.0228713, -0.12507, 0.2, -42.0648, 
0.490763, 1.61635, 37.486, 0.0233572, -0.126291, 0.2, -41.5916, 
0.500736, 1.69489, 113.922, 0.0225794, -0.129953, 0.2, -44.272, 
0.510713, 1.94936, 379.842, 0.0173251, -0.136056, 0.2, -60.4086, 
0.520686, 2.38604, 451.974, 0.0156009, -0.137277, 0.2, -67.6871, 
0.53066, 2.87613, 498.904, 0.014263, -0.14216, 0.2, -76.6695, 
0.540637, 3.36936, 466.93, 0.0145875, -0.140939, 0.2, -74.3203, 
0.550611, 3.82175, 424.007, 0.0152828, -0.117746, 0.2, -59.265, 
0.560586, 4.30084, 466.511, 0.014127, -0.120187, 0.2, -65.4432, 
0.570561, 4.78936, 451.454, 0.0141675, -0.117746, 0.2, -63.9306, 
0.580536, 5.23389, 440.264, 0.0142776, -0.131173, 0.2, -70.6722, 
0.590513, 5.65173, 391.787, 0.0152681, -0.121408, 0.2, -61.1672, 
0.600489, 6.11354, 450.63, 0.0138969, -0.0969932, 0.2, -53.6885, 
0.610459, 6.54865, 376.413, 0.015411, -0.114083, 0.2, -56.9441, 
0.620435, 6.92093, 386.886, 0.0153591, -0.138498, 0.2, -69.364, 
0.63041, 7.29635, 360.344, 0.0160921, -0.131173, 0.2, -62.7032, 
0.640383, 7.65292, 301.006, 0.0175868, -0.131173, 0.2, -57.3741, 
0.650359, 7.95922, 270.431, 0.0186492, -0.112863, 0.2, -46.5529, 
0.660332, 8.25296, 368.997, 0.0170624, -0.126291, 0.2, -56.936, 
0.670309, 8.69593, 397.611, 0.0165131, -0.127511, 0.2, -59.3987, 
0.680283, 9.11847, 481.643, 0.0148821, -0.133615, 0.2, -69.0633, 
0.690258, 9.60699, 435.381, 0.0158013, -0.118966, 0.2, -57.9146, 
0.700232, 10.1018, 511.295, 0.0141612, -0.118966, 0.2, -64.6219, 
0.710208, 10.5777, 482.634, 0.014787, -0.134836, 0.2, -70.1423, 
0.720183, 11.0977, 480.806, 0.0147375, -0.118966, 0.2, -62.0949, 
0.730157, 11.5485, 422.545, 0.0160959, -0.1092, 0.2, -52.1874, 
0.740131, 11.993, 436.625, 0.0159762, -0.129953, 0.2, -62.5704, 
0.750106, 12.4768, 466.236, 0.0154332, -0.120187, 0.2, -59.9041, 
0.760082, 12.9324, 417.145, 0.0166421, -0.106759, 0.2, -49.3462, 
0.770055, 13.3738, 391.009, 0.0174303, -0.106759, 0.2, -47.1146, 
0.780031, 13.8261, 425.117, 0.0169431, -0.106759, 0.2, -48.4696, 
0.790006, 14.2471, 406.055, 0.0176831, -0.111642, 0.2, -48.5652, 
