Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00997653, 0, 0, 3.99061e-05, 0.0017681, 1, 31.8752, 
0.019952, 0, 0, 7.98081e-05, -0.000673342, 1, -6.0698, 
0.0299269, 0, 0, 0.000119708, 0.0017681, 1, 10.626, 
0.0399022, 0, 0, 0.000159609, 0.0017681, 1, 7.96959, 
0.0498757, 0, 0, 0.000199503, 0.0017681, 1, 6.37592, 
0.0598515, 0, 0, 0.000239406, -0.000673342, 1, -2.02342, 
0.0698259, 0, 0, 0.000279303, 0.0017681, 1, 4.55424, 
0.0798017, 0, 0, 0.000319207, -0.00311479, 1, -7.02007, 
0.0897762, 0, 0, 0.000359105, -0.00311479, 1, -6.24011, 
0.0997505, 0, 0, 0.000399002, -0.00311479, 1, -5.61615, 
0.109725, 0, 0, 0.000438899, 0.0017681, 1, 2.8982, 
0.119701, 0, 0, 0.000478804, 0.0017681, 1, 2.65665, 
0.129675, 0, 0, 0.000518698, -0.000673342, 1, -0.933913, 
0.13965, 0, 0, 0.000558601, -0.000673342, 1, -0.8672, 
0.149624, 0, 0, 0.000598497, 0.0017681, 1, 2.12535, 
0.159599, 0, 0, 0.000638398, -0.00311479, 1, -3.51012, 
0.169574, 0, 0, 0.000678296, -0.000673342, 1, -0.714171, 
0.179548, 0, 0, 0.000718193, 0.0017681, 1, 1.77113, 
0.189523, 0, 0, 0.000758091, 0.0017681, 1, 1.67792, 
0.199498, 0, 0, 0.000797992, -0.00311479, 1, -2.80811, 
0.209472, 0, 0, 0.00083789, -0.00189406, 1, -1.62627, 
0.219448, 0, 0, 0.000877793, -0.000673342, 1, -0.55186, 
0.229424, 0, 0, 0.000917698, 0.0017681, 1, 1.38609, 
0.239398, 0, 0, 0.000957592, 0.0017681, 1, 1.32835, 
0.249372, 0, 0, 0.000997489, 0.00298882, 1, 2.15564, 
0.259347, 0, 0, 0.00103739, -0.000673342, 1, -0.46696, 
0.269323, 0, 0, 0.00107729, 0.0017681, 1, 1.18075, 
0.279296, 0, 0, 0.00111719, 0.00298882, 1, 1.92469, 
0.28927, 0, 0, 0.00115708, 0.0017681, 1, 1.09933, 
0.299246, 0, 0, 0.00119698, 0.000547379, 1, 0.328992, 
0.309221, 0, 0, 0.00123688, -0.000673342, 1, -0.391645, 
0.319195, 0, 0, 0.00127678, 0.0017681, 1, 0.996267, 
0.32917, 0, 0, 0.00131668, -0.00311479, 1, -1.7019, 
0.339145, 0, 0, 0.00135658, -0.000673342, 1, -0.357089, 
0.349124, 0, 0, 0.0013965, 0.0017681, 1, 0.910862, 
0.359095, 0, 0, 0.00143638, 0.0017681, 1, 0.885571, 
0.369072, 0, 0, 0.00147629, -0.00311479, 1, -1.5179, 
0.379043, 0, 0, 0.00151617, -0.00189406, 1, -0.898734, 
0.389019, 0, 0, 0.00155607, 0.000547379, 1, 0.253071, 
0.398993, 0, 0, 0.00159597, -0.000673342, 1, -0.303526, 
0.408968, 0, 0, 0.00163587, -0.00189406, 1, -0.832972, 
0.418944, 0, 0, 0.00167578, 0.0017681, 1, 0.75906, 
0.428917, 0, 0, 0.00171567, 0.000547379, 1, 0.229531, 
0.438892, 0, 0, 0.00175557, -0.000673342, 1, -0.275933, 
0.448867, 0, 0, 0.00179547, -0.00189406, 1, -0.758931, 
0.458842, 0, 0, 0.00183537, -0.00189406, 1, -0.742432, 
0.468816, 0, 0, 0.00187527, 0.0017681, 1, 0.678312, 
0.478792, 0, 0, 0.00191517, -0.00189406, 1, -0.711498, 
0.488766, 0, 0, 0.00195507, 0.00298882, 1, 1.09983, 
0.498742, 0, 0, 0.00199497, -0.00311479, 1, -1.12325, 
0.508715, 0, 0, 0.00203486, -0.00189406, 1, -0.669646, 
0.51869, 0, 0, 0.00207476, -0.00311479, 1, -1.08005, 
0.528666, 0, 0, 0.00211466, 0.0017681, 1, 0.601522, 
0.538642, 0, 0, 0.00215457, -0.000673342, 1, -0.224834, 
0.548615, 0, 0, 0.00219446, 0.00298882, 1, 0.979846, 
0.558589, 0, 0, 0.00223436, -0.00189406, 1, -0.609856, 
0.568563, 0, 0, 0.00227425, 0.000547379, 1, 0.173155, 
0.578541, 0, 0, 0.00231416, -0.00189406, 1, -0.588825, 
0.588513, 0, 0, 0.00235405, 0.00298882, 1, 0.913417, 
0.598489, 0, 0, 0.00239396, -0.00189406, 1, -0.569198, 
0.608464, 0, 0, 0.00243386, 0.00298882, 1, 0.883467, 
0.618438, 0, 0, 0.00247375, -0.00189406, 1, -0.550837, 
0.628412, 0, 0, 0.00251365, 0.0017681, 1, 0.506043, 
0.638391, 0, 0, 0.00255356, -0.00189406, 1, -0.533621, 
0.648362, 0, 0, 0.00259345, -0.000673342, 1, -0.186786, 
0.658338, 0, 0, 0.00263335, 0.0017681, 1, 0.48304, 
0.668312, 0, 0, 0.00267325, 0.00420954, 1, 1.13287, 
0.678287, 0, 0, 0.00271315, 0.0017681, 1, 0.468834, 
0.688261, 0, 0, 0.00275305, -0.00555623, 1, -1.45195, 
0.698236, 0, 0, 0.00279294, -0.00311479, 1, -0.802327, 
0.708212, 0, 0, 0.00283285, -0.00189406, 1, -0.481012, 
0.718188, 0, 0, 0.00287275, -0.000673342, 1, -0.168625, 
0.728162, 0, 0, 0.00291265, -0.000673342, 1, -0.166316, 
0.738135, 0, 0, 0.00295254, 0.0017681, 1, 0.43082, 
0.74811, 0, 0, 0.00299244, 0.0017681, 1, 0.425077, 
0.758085, 0, 0, 0.00303234, -0.00189406, 1, -0.449368, 
0.768059, 0, 0, 0.00307224, -0.000673342, 1, -0.157676, 
0.778035, 0, 0, 0.00311214, 0.0017681, 1, 0.408727, 
0.788009, 0, 0, 0.00315203, 0.0017681, 1, 0.403554, 
0.797984, 0, 0, 0.00319194, 0.000547379, 1, 0.123373, 
0.807958, 0, 0, 0.00323183, 0.0017681, 1, 0.393589, 
0.817936, 0, 0, 0.00327174, 0.0017681, 1, 0.388788, 
0.827908, 0, 0, 0.00331163, 0.000547379, 1, 0.118914, 
0.837883, 0, 0, 0.00335153, -0.000673342, 1, -0.144537, 
0.847857, 0, 0, 0.00339143, -0.00433551, 1, -0.919692, 
0.857832, 0, 0, 0.00343133, 0.0017681, 1, 0.370706, 
0.867807, 0, 0, 0.00347123, -0.000673342, 1, -0.139553, 
0.877781, 0, 0, 0.00351113, 0.0017681, 1, 0.362281, 
0.887758, 0, 0, 0.00355103, 0.0017681, 1, 0.35821, 
0.897731, 0, 0, 0.00359093, -0.000673342, 1, -0.134901, 
0.907706, 0, 0, 0.00363082, 0.0017681, 1, 0.350338, 
0.917681, 0, 0, 0.00367072, -0.000673342, 1, -0.131968, 
0.927655, 0, 0, 0.00371062, -0.00311479, 1, -0.603903, 
