Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00793874, 0, 0, 0.000140651, -0.0149671, 0.4, -76.5562, 
0.0179114, 0, 0, 0.000292122, -0.0174085, 0.4, -42.8729, 
0.0278832, 0, 0, 0.000462338, -0.0235121, 0.4, -36.5862, 
0.0378561, 0, 0, 0.000651326, -0.0271743, 0.4, -30.0154, 
0.0478289, 0, 0, 0.000859055, -0.0296157, 0.4, -24.802, 
0.0578004, 0, 0, 0.00108549, -0.0296157, 0.4, -19.6282, 
0.0677734, 0, 0, 0.00133074, -0.028395, 0.4, -15.3509, 
0.0777459, 0, 0, 0.00159467, -0.0308364, 0.4, -13.9116, 
0.087718, 0, 0, 0.00187739, -0.0320572, 0.4, -12.2844, 
0.0976907, 0, 0, 0.00217885, -0.0296157, 0.4, -9.77868, 
0.107663, 0, 0, 0.00249902, -0.0344986, 0.4, -9.93154, 
0.117636, 0, 0, 0.00283802, -0.0259536, 0.4, -6.5791, 
0.127607, 0, 0, 0.00319573, -0.028395, 0.4, -6.39229, 
0.13758, 0, 0, 0.00357211, -0.0308364, 0.4, -6.21047, 
0.147553, 0, 0, 0.00396734, -0.0296157, 0.4, -5.37042, 
0.157525, 0, 0, 0.00438122, -0.0308364, 0.4, -5.06354, 
0.167499, 0, 0, 0.00481394, -0.0308364, 0.4, -4.60838, 
0.17747, 0, 0, 0.00526531, -0.0271743, 0.4, -3.71295, 
0.187443, 0, 0, 0.00573542, -0.0296157, 0.4, -3.71486, 
0.197417, 0, 0, 0.00622459, -0.0320572, 0.4, -3.70509, 
0.207389, 0, 0, 0.00673216, -0.0320572, 0.4, -3.42575, 
0.217361, 0.0015708, 0, 0.00725381, -0.028395, 0.4, -2.81618, 
0.227333, 0.0015708, 0, 0.00779893, -0.0296157, 0.4, -2.73195, 
0.237305, 0.0015708, 0, 0.00836279, -0.0259536, 0.4, -2.2327, 
0.247278, 0.00314159, 0, 0.0089407, -0.0271743, 0.4, -2.18661, 
0.257253, 0.00628319, 0, 0.00953285, -0.0308364, 0.4, -2.32716, 
0.267223, 0.00785398, 0, 0.0101481, -0.0271743, 0.4, -1.92645, 
0.277195, 0.0125664, 0, 0.0107728, -0.0320572, 0.4, -2.14084, 
0.287168, 0.0298451, 30.0928, 0.0107483, -0.0247328, 0.4, -1.65546, 
0.29714, 0.0722566, 52.5164, 0.0108289, -0.0210707, 0.4, -1.39984, 
0.307114, 0.175929, 111.782, 0.00997191, -0.00764273, 0.4, -0.551385, 
0.317087, 0.309447, 119.76, 0.0101176, -0.0113049, 0.4, -0.803851, 
0.327056, 0.496372, 241.083, 0.00774767, -0.006422, 0.4, -0.596327, 
0.337029, 0.862367, 383.584, 0.00441666, 0.0350825, 0.4, 5.71455, 
0.347003, 1.2535, 333.272, 0.00506733, 0.108326, 0.4, 15.3794, 
0.356975, 1.51268, 218.004, 0.00749267, 0.142506, 0.4, 13.683, 
0.366948, 1.73887, 225.206, 0.00747092, 0.180348, 0.4, 17.3669, 
0.376921, 1.99177, 253.972, 0.00693703, 0.218191, 0.4, 22.6281, 
0.386893, 2.25723, 248.087, 0.00710789, 0.252371, 0.4, 25.5437, 
0.396865, 2.59181, 331.212, 0.00522696, 0.288993, 0.4, 39.7762, 
0.406837, 2.8667, 210.646, 0.00780998, 0.31829, 0.4, 29.3196, 
0.41681, 3.02692, 143.049, 0.00964661, 0.328056, 0.4, 24.4657, 
0.426783, 3.19343, 171.196, 0.00947905, 0.339042, 0.4, 25.732, 
0.436754, 3.39606, 218.136, 0.00882513, 0.346367, 0.4, 28.2358, 
0.446729, 3.62383, 187.874, 0.00973494, 0.348808, 0.4, 25.7774, 
0.456699, 3.81546, 210.921, 0.00965175, 0.350029, 0.4, 26.0905, 
0.466671, 4.03695, 203.206, 0.010144, 0.348808, 0.4, 24.7379, 
0.476644, 4.23487, 143.473, 0.0118151, 0.346367, 0.4, 21.0903, 
0.486617, 4.27257, 7.51355, 0.0155822, 0.341484, 0.4, 15.7662, 
0.49659, 4.28513, 7.51267, 0.016596, 0.345146, 0.4, 14.9618, 
0.506561, 4.29927, 15.0314, 0.017466, 0.345146, 0.4, 14.2166, 
0.516535, 4.31969, 14.9416, 0.0184969, 0.350029, 0.4, 13.6141, 
0.52651, 4.34011, 22.3255, 0.0193889, 0.348808, 0.4, 12.9425, 
0.53648, 4.36996, 29.8016, 0.020269, 0.35247, 0.4, 12.5105, 
0.546452, 4.42022, 60.5662, 0.0206171, 0.35247, 0.4, 12.2993, 
0.556423, 4.50976, 105.325, 0.0205746, 0.350029, 0.4, 12.2393, 
0.566396, 4.55374, 22.541, 0.0233591, 0.348808, 0.4, 10.7428, 
0.57637, 4.59301, 45.0068, 0.0239725, 0.348808, 0.4, 10.4679, 
0.586341, 4.65741, 67.718, 0.0245232, 0.353691, 0.4, 10.376, 
0.596313, 4.82706, 256.068, 0.021308, 0.348808, 0.4, 11.7769, 
0.606289, 5.13336, 278.008, 0.0211876, 0.342704, 0.4, 11.6365, 
0.616259, 5.36898, 285.55, 0.0215989, 0.345146, 0.4, 11.4963, 
0.626232, 5.98002, 715.361, 0.0120606, 0.339042, 0.4, 20.2242, 
0.636203, 6.64604, 647.025, 0.0128055, 0.341484, 0.4, 19.1849, 
0.646179, 7.41416, 816.464, 0.00828553, 0.339042, 0.4, 29.4387, 
0.656149, 8.19013, 691.592, 0.00992347, 0.332939, 0.4, 24.1371, 
0.666122, 8.92055, 720.885, 0.00848893, 0.33538, 0.4, 28.423, 
0.676101, 9.63055, 599.621, 0.0102881, 0.340263, 0.4, 23.7939, 
0.686066, 10.1756, 428.606, 0.0136412, 0.340263, 0.4, 17.9452, 
0.696038, 10.4128, 105.35, 0.0211259, 0.337822, 0.4, 11.5042, 
0.706011, 10.4804, 67.647, 0.0231581, 0.342704, 0.4, 10.6464, 
0.715982, 10.5777, 105.391, 0.0235387, 0.340263, 0.4, 10.3996, 
0.725956, 10.7442, 120.309, 0.0242095, 0.339042, 0.4, 10.0752, 
0.735928, 10.8102, 67.7113, 0.0266143, 0.346367, 0.4, 9.3628, 
0.745901, 10.9469, 195.436, 0.0250492, 0.346367, 0.4, 9.94782, 
0.755874, 11.1244, 164.969, 0.0266943, 0.341484, 0.4, 9.20315, 
0.765849, 11.5328, 591.597, 0.0180916, 0.341484, 0.4, 13.5793, 
0.775818, 12.2695, 722.334, 0.0147186, 0.342704, 0.4, 16.7509, 
0.78579, 13.0455, 775.249, 0.0128774, 0.348808, 0.4, 19.4869, 
0.795764, 13.9298, 887.415, 0.00948943, 0.350029, 0.4, 26.5368, 
0.805735, 14.7498, 736.128, 0.0118298, 0.347587, 0.4, 21.1384, 
0.815709, 15.5336, 739.971, 0.0110503, 0.350029, 0.4, 22.7885, 
