Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00590979, 0, 0, 2.36391e-05, 0.0704835, 1, 2145.07, 
0.0158855, 0, 0, 6.35421e-05, 0.0729249, 1, 825.657, 
0.0258603, 0, 0, 0.000103441, 0.0704835, 1, 490.207, 
0.0358343, 0, 0, 0.000143337, 0.0692627, 1, 347.637, 
0.0458086, 0, 0, 0.000183234, 0.0692627, 1, 271.943, 
0.0557845, 0, 0, 0.000223138, 0.0741456, 1, 239.055, 
0.0657589, 0, 0, 0.000263036, 0.0729249, 1, 199.456, 
0.075734, 0, 0, 0.000302936, 0.0717042, 1, 170.286, 
0.0857083, 0, 0, 0.000342833, 0.0729249, 1, 153.031, 
0.0956832, 0, 0, 0.000382733, 0.0741456, 1, 139.372, 
0.105658, 0, 0, 0.000422632, 0.0717042, 1, 122.058, 
0.115633, 0, 0, 0.000462533, 0.0692627, 1, 107.731, 
0.125608, 0, 0, 0.000502432, 0.0729249, 1, 104.42, 
0.135586, 0, 0, 0.000542345, 0.0692627, 1, 91.8775, 
0.145561, 0, 0, 0.000582242, 0.0717042, 1, 88.5985, 
0.155531, 0, 0, 0.000622125, 0.0704835, 1, 81.507, 
0.165506, 0, 0, 0.000662025, 0.0717042, 1, 77.9211, 
0.17548, 0, 0, 0.000701922, 0.0704835, 1, 72.241, 
0.185456, 0, 0, 0.000741823, 0.0692627, 1, 67.1714, 
0.195431, 0, 0, 0.000781722, 0.0729249, 1, 67.1133, 
0.205406, 0, 0, 0.000821624, 0.0729249, 1, 63.854, 
0.21538, 0, 0, 0.00086152, 0.0729249, 1, 60.897, 
0.225355, 0, 0, 0.00090142, 0.0717042, 1, 57.2272, 
0.23533, 0, 0, 0.000941319, 0.0717042, 1, 54.8016, 
0.245304, 0, 0, 0.000981216, 0.0741456, 1, 54.3633, 
0.255279, 0, 0, 0.00102112, 0.0717042, 1, 50.5189, 
0.265253, 0, 0, 0.00106101, 0.0704835, 1, 47.7916, 
0.275229, 0, 0, 0.00110092, 0.0704835, 1, 46.0594, 
0.285204, 0, 0, 0.00114082, 0.0717042, 1, 45.2182, 
0.295183, 0, 0, 0.00118073, 0.0704835, 1, 42.9458, 
0.305157, 0, 0, 0.00122063, 0.0692627, 1, 40.8227, 
0.315129, 0, 0, 0.00126052, 0.0729249, 1, 41.621, 
0.325102, 0, 0, 0.00130041, 0.0704835, 1, 38.9935, 
0.335079, 0, 0, 0.00134031, 0.0729249, 1, 39.143, 
0.345052, 0, 0, 0.00138021, 0.0717042, 1, 37.3754, 
0.355027, 0, 0, 0.00142011, 0.0753664, 1, 38.1805, 
0.365002, 0, 0, 0.00146001, 0.0668213, 1, 32.9265, 
0.374977, 0, 0, 0.00149991, 0.0704835, 1, 33.8071, 
0.384953, 0, 0, 0.00153981, 0.0704835, 1, 32.931, 
0.394927, 0, 0, 0.00157971, 0.0717042, 1, 32.6553, 
0.404902, 0, 0, 0.00161961, 0.0692627, 1, 30.7663, 
0.414877, 0, 0, 0.00165951, 0.0717042, 1, 31.085, 
0.42485, 0, 0, 0.0016994, 0.0692627, 1, 29.3217, 
0.434826, 0, 0, 0.0017393, 0.0717042, 1, 29.6588, 
0.4448, 0, 0, 0.0017792, 0.0729249, 1, 29.4874, 
0.454775, 0, 0, 0.0018191, 0.0729249, 1, 28.8406, 
0.46475, 0, 0, 0.001859, 0.0704835, 1, 27.2768, 
0.474724, 0, 0, 0.0018989, 0.0692627, 1, 26.2412, 
0.484698, 0, 0, 0.00193879, 0.0717042, 1, 26.6072, 
0.494675, 0, 0, 0.0019787, 0.0692627, 1, 25.1829, 
0.504649, 0, 0, 0.00201859, 0.0741456, 1, 26.4254, 
0.514622, 0, 0, 0.00205849, 0.0668213, 1, 23.3535, 
0.524598, 0, 0, 0.00209839, 0.068042, 1, 23.3279, 
0.534573, 0, 0, 0.00213829, 0.0741456, 1, 24.9462, 
0.544551, 0, 0, 0.0021782, 0.0692627, 1, 22.8763, 
0.554524, 0, 0, 0.0022181, 0.0741456, 1, 24.0486, 
0.564497, 0, 0, 0.00225799, 0.0741456, 1, 23.6238, 
0.574471, 0, 0, 0.00229789, 0.0741456, 1, 23.2136, 
0.584447, 0, 0, 0.00233779, 0.0717042, 1, 22.0661, 
0.594421, 0, 0, 0.00237769, 0.0704835, 1, 21.3264, 
0.604395, 0, 0, 0.00241758, 0.0729249, 1, 21.701, 
0.61437, 0, 0, 0.00245748, 0.0717042, 1, 20.9913, 
0.624345, 0, 0, 0.00249738, 0.0741456, 1, 21.3592, 
0.634323, 0, 0, 0.00253729, 0.0704835, 1, 19.9849, 
0.644296, 0, 0, 0.00257718, 0.0717042, 1, 20.0163, 
0.654271, 0, 0, 0.00261709, 0.0692627, 1, 19.04, 
0.664246, 0, 0, 0.00265699, 0.0692627, 1, 18.7541, 
0.67422, 0, 0, 0.00269688, 0.0704835, 1, 18.8023, 
0.684195, 0, 0, 0.00273678, 0.0668213, 1, 17.5655, 
0.69417, 0, 0, 0.00277668, 0.0704835, 1, 18.2619, 
0.704143, 0, 0, 0.00281657, 0.0717042, 1, 18.3151, 
0.714118, 0, 0, 0.00285647, 0.0704835, 1, 17.7518, 
0.724094, 0, 0, 0.00289638, 0.0692627, 1, 17.204, 
0.734068, 0, 0, 0.00293627, 0.0741456, 1, 18.1666, 
0.744046, 0, 0, 0.00297618, 0.068042, 1, 16.4476, 
0.754019, 0, 0, 0.00301608, 0.0704835, 1, 16.8124, 
0.763992, 0, 0, 0.00305597, 0.0692627, 1, 16.3056, 
0.773967, 0, 0, 0.00309587, 0.0717042, 1, 16.6628, 
0.783941, 0, 0, 0.00313577, 0.0717042, 1, 16.4508, 
0.793918, 0, 0, 0.00317567, 0.0717042, 1, 16.2441, 
0.803892, 0, 0, 0.00321557, 0.0692627, 1, 15.4963, 
0.813867, 0, 0, 0.00325547, 0.0704835, 1, 15.5761, 
0.82384, 0, 0, 0.00329536, 0.068042, 1, 14.8546, 
0.833817, 0, 0, 0.00333527, 0.0717042, 1, 15.4667, 
0.843798, 0, 0, 0.00337519, 0.0692627, 1, 14.7634, 
0.853766, 0, 0, 0.00341506, 0.0704835, 1, 14.8482, 
0.86374, 0, 0, 0.00345496, 0.0704835, 1, 14.6767, 
0.873716, 0, 0, 0.00349486, 0.0717042, 1, 14.7604, 
0.883691, 0, 0, 0.00353476, 0.0741456, 1, 15.0907, 
0.893665, 0, 0, 0.00357466, 0.0717042, 1, 14.431, 
0.903639, 0, 0, 0.00361456, 0.0704835, 1, 14.0287, 
0.913614, 0, 0, 0.00365446, 0.0704835, 1, 13.8755, 
0.923588, 0, 0, 0.00369435, 0.0741456, 1, 14.4388, 
0.933563, 0.0015708, 0, 0.00373425, 0.0692627, 1, 13.3438, 
