Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00199613, 0, 0, 5.81572e-05, -11.6838, 0, 0, 
0.0119673, 0, 0, 0.000198435, -9.42917, 0, 0, 
0.0219384, 0, 0, 0.000357466, -11.635, 0, 0, 
0.031909, 0, 0, 0.000535233, -9.45725, 0, 0, 
0.0418794, 0, 0, 0.000731725, -11.541, 0, 0, 
0.0518509, 0, 0, 0.000946997, -9.51707, 0, 0, 
0.0618216, 0, 0, 0.00118097, -11.5178, 0, 0, 
0.071793, 0, 0, 0.00143373, -9.58176, 0, 0, 
0.0817641, 0, 0, 0.00170519, -11.447, 0, 0, 
0.0917357, 0, 0, 0.00199544, -9.59885, 0, 0, 
0.101707, 0, 0, 0.00230439, -11.408, 0, 0, 
0.111678, 0, 0, 0.0026321, -9.64524, 0, 0, 
0.121649, 0, 0, 0.00297861, -11.3298, 0, 0, 
0.131619, 0, 0, 0.00334368, -9.68919, 0, 0, 
0.141591, 0, 0, 0.00372768, -11.292, 0, 0, 
0.151562, 0, 0, 0.00413033, -9.78562, 0, 0, 
0.161533, 0, 0, 0.00455173, -11.2285, 0, 0, 
0.171504, 0, 0, 0.00499195, -9.81614, 0, 0, 
0.181476, 0, 0, 0.00545081, -11.187, 0, 0, 
0.191447, 0, 0, 0.00592848, -9.86741, 0, 0, 
0.201419, 0, 0, 0.00642502, -11.0967, 0, 0, 
0.211388, 0, 0, 0.00693974, -9.92357, 0, 0, 
0.22136, 0.0015708, 0, 0.00746899, -11.0381, 0, 0, 
0.231331, 0.0015708, 0, 0.00802167, -10.0176, 0, 0, 
0.241301, 0.00314159, 7.53559, 0.00843034, -10.988, 0, 0, 
0.251275, 0.00471239, 0, 0.00917394, -10.0432, 0, 0, 
0.261244, 0.00785398, 7.53019, 0.0096152, -10.9343, 0, 0, 
0.271216, 0.00942478, 0, 0.010396, -10.1213, 0, 0, 
0.281187, 0.0125664, 0, 0.0110335, -10.8574, 0, 0, 
0.291158, 0.0282743, 30.0607, 0.0110211, -10.1592, 0, 0, 
0.30113, 0.0958186, 97.4828, 0.0100905, -10.8061, 0, 0, 
0.311099, 0.278031, 233.299, 0.0074013, -10.269, 0, 0, 
0.32107, 0.494801, 135.766, 0.00951497, -10.7781, 0, 0, 
0.331043, 0.697434, 315.597, 0.00588119, -10.2886, 0, 0, 
0.341013, 1.12469, 406.661, 0.00345047, -10.6682, 0, 0, 
0.350985, 1.44356, 195.876, 0.00768636, -10.3472, 0, 0, 
0.360956, 1.67761, 285.442, 0.00590442, -10.6328, 0, 0, 
0.370927, 1.98549, 270.15, 0.00611622, -10.3801, 0, 0, 
0.380899, 2.27923, 300.19, 0.00543968, -10.5718, 0, 0, 
0.390869, 2.61538, 338.735, 0.00447585, -10.4766, 0, 0, 
0.40084, 2.8667, 196.143, 0.00757958, -10.5498, 0, 0, 
0.410815, 3.07562, 232.865, 0.00707448, -10.5095, 0, 0, 
0.420781, 3.30181, 203.388, 0.00792098, -10.446, 0, 0, 
0.430754, 3.52015, 210.959, 0.00803518, -10.5632, 0, 0, 
0.440726, 3.73064, 210.068, 0.00836862, -10.407, 0, 0, 
0.450696, 3.95212, 210.434, 0.00866115, -10.6182, 0, 0, 
0.460668, 4.14847, 210.024, 0.00906478, -10.3472, 0, 0, 
0.470637, 4.44221, 301.096, 0.00727773, -10.7305, 0, 0, 
0.480609, 4.65741, 128.174, 0.0112751, -10.2764, 0, 0, 
0.490582, 4.77208, 112.589, 0.0122985, -10.7842, 0, 0, 
0.500551, 4.83491, 15.0594, 0.01521, -10.1689, 0, 0, 
0.510522, 4.8569, 30.1666, 0.0159054, -10.8415, 0, 0, 
0.520494, 4.92602, 105.018, 0.0152266, -10.1555, 0, 0, 
0.530465, 5.08153, 195.421, 0.0139811, -10.9014, 0, 0, 
0.540437, 5.36584, 292.692, 0.0122249, -10.0908, 0, 0, 
0.550407, 5.68471, 353.866, 0.0111385, -10.9929, 0, 0, 
0.560378, 6.16695, 475.172, 0.00832253, -10.0371, 0, 0, 
0.57035, 6.69159, 571.668, 0.00591824, -11.0454, 0, 0, 
0.58032, 7.28692, 594.734, 0.0048568, -9.94554, 0, 0, 
0.590292, 7.9121, 534.92, 0.00546179, -11.0515, 0, 0, 
0.600264, 8.42889, 510.339, 0.00567224, -9.92479, 0, 0, 
0.610233, 8.96768, 548.71, 0.00451662, -11.104, 0, 0, 
0.620206, 9.43734, 370.64, 0.00812132, -9.84666, 0, 0, 
0.630175, 9.80805, 376.452, 0.00818862, -11.1467, 0, 0, 
0.640146, 10.1709, 346.891, 0.00904037, -9.8198, 0, 0, 
0.650118, 10.573, 383.922, 0.00839804, -11.22, 0, 0, 
0.660089, 10.8793, 233.497, 0.0119881, -9.74412, 0, 0, 
0.670061, 11.1731, 323.866, 0.0105921, -11.2395, 0, 0, 
0.680033, 11.5124, 337.351, 0.0106877, -9.71726, 0, 0, 
0.690002, 11.9349, 488.819, 0.00766183, -11.3103, 0, 0, 
0.699975, 12.5334, 540.23, 0.00622386, -9.64768, 0, 0, 
0.709944, 13.0785, 504.481, 0.00678839, -11.3945, 0, 0, 
0.719915, 13.6345, 626.208, 0.00404188, -9.57932, 0, 0, 
0.729891, 14.2581, 515.3, 0.00598599, -11.4727, 0, 0, 
0.739858, 14.7576, 489.576, 0.00653216, -9.45847, 0, 0, 
0.74983, 15.298, 527.21, 0.00565076, -11.5215, 0, 0, 
0.759802, 15.7237, 327.587, 0.0101026, -9.38279, 0, 0, 
0.769771, 16.0551, 353.092, 0.0101361, -11.613, 0, 0, 
0.779742, 16.4368, 360.71, 0.0104147, -9.33029, 0, 0, 
0.789714, 16.8122, 360.746, 0.0108899, -11.6924, 0, 0, 
0.799686, 17.1971, 337.516, 0.0118435, -9.28025, 0, 0, 
0.809655, 17.5992, 459.008, 0.00973087, -11.7546, 0, 0, 
0.819626, 18.1835, 587.5, 0.00694508, -9.22897, 0, 0, 
0.829598, 18.8778, 640.896, 0.0054212, -11.762, 0, 0, 
0.839569, 19.415, 504.916, 0.00835313, -9.1423, 0, 0, 
0.849541, 20.0889, 723.357, 0.00347159, -11.8377, 0, 0, 
0.859514, 20.6984, 532.628, 0.0073712, -9.11179, 0, 0, 
0.869482, 21.2859, 571.294, 0.00655051, -11.8767, 0, 0, 
0.879456, 21.8906, 516.817, 0.00764921, -9.05685, 0, 0, 
0.889425, 22.3461, 421.458, 0.0100675, -11.9732, 0, 0, 
0.899396, 22.8174, 482.012, 0.00919443, -9.00924, 0, 0, 
0.909367, 23.3954, 586.786, 0.00709229, -11.9793, 0, 0, 
0.919338, 24.0206, 656.124, 0.00561044, -8.91891, 0, 0, 
0.929309, 24.7558, 723.678, 0.00385464, -12.0598, 0, 0, 
