Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00988594, 0, 0, 0.000334355, -0.0124842, 0.5, -26.8619, 
0.0198582, 0, 0, 0.000644624, -0.0124842, 0.5, -13.9328, 
0.0298305, 0, 0, 0.00099239, -0.0173671, 0.5, -12.5901, 
0.0398034, 0, 0, 0.0013777, -0.0198085, 0.5, -10.3439, 
0.0497757, 0, 0, 0.00180045, -0.0137049, 0.5, -5.4762, 
0.0597489, 0, 0, 0.00226075, -0.0149256, 0.5, -4.74969, 
0.0697212, 0, 0, 0.00275849, -0.0161463, 0.5, -4.21103, 
0.0796944, 0, 0, 0.00329378, -0.0149256, 0.5, -3.26004, 
0.089667, 0, 0, 0.00386652, -0.0198085, 0.5, -3.68567, 
0.0996398, 0, 0, 0.00447681, -0.0185878, 0.5, -2.98706, 
0.109611, 0.0015708, 7.52456, 0.00479977, -0.0161463, 0.5, -2.42013, 
0.119587, 0.0015708, 0, 0.00580062, -0.0149256, 0.5, -1.85116, 
0.129558, 0.00628319, 7.52074, 0.00617984, -0.0173671, 0.5, -2.02178, 
0.139531, 0.0251327, 30.135, 0.00587997, -0.0210292, 0.5, -2.57296, 
0.149504, 0.0675442, 22.5872, 0.00673912, -0.0198085, 0.5, -2.11463, 
0.159478, 0.102102, 52.4407, 0.00611713, -0.0198085, 0.5, -2.32964, 
0.169451, 0.124093, 22.5472, 0.00810963, -0.0198085, 0.5, -1.75726, 
0.179421, 0.15708, 30.1209, 0.00850431, -0.0198085, 0.5, -1.67571, 
0.189394, 0.194779, 37.6365, 0.00891094, -0.0161463, 0.5, -1.30357, 
0.199366, 0.252898, 60.2278, 0.00860112, -0.0124842, 0.5, -1.04421, 
0.209339, 0.314159, 52.7292, 0.00957032, -0.0149256, 0.5, -1.12199, 
0.219313, 0.405265, 104.439, 0.00791935, -0.0137049, 0.5, -1.24501, 
0.229285, 0.534071, 135.405, 0.00694562, -0.008822, 0.5, -0.913779, 
0.239258, 0.68958, 172.924, 0.00557616, -0.0161463, 0.5, -2.08317, 
0.24923, 0.879646, 165.297, 0.00592799, -0.0100427, 0.5, -1.21879, 
0.259203, 1.04929, 172.876, 0.00580271, -0.00760128, 0.5, -0.942413, 
0.269174, 1.21423, 150.571, 0.00699479, -0.00393912, 0.5, -0.405144, 
0.279149, 1.39173, 196.837, 0.00527717, 0.00460594, 0.5, 0.627917, 
0.289122, 1.56451, 157.816, 0.00719939, 0.0082681, 0.5, 0.826219, 
0.299094, 1.77186, 187.949, 0.00605149, 0.00948882, 0.5, 1.12807, 
0.309066, 1.9415, 188.41, 0.00641168, 0.0253582, 0.5, 2.84532, 
0.319039, 2.17869, 225.213, 0.00488285, 0.0387861, 0.5, 5.71463, 
0.329013, 2.39075, 219.309, 0.00533051, 0.0619799, 0.5, 8.36502, 
0.338985, 2.59653, 121.212, 0.00971448, 0.0839528, 0.5, 6.21729, 
0.348956, 2.74261, 180.543, 0.00790014, 0.101043, 0.5, 9.20145, 
0.35893, 2.89341, 143.945, 0.0101136, 0.115692, 0.5, 8.22961, 
0.368902, 3.04892, 120.313, 0.0117929, 0.140106, 0.5, 8.54716, 
0.378875, 3.21071, 195.6, 0.00932857, 0.162079, 0.5, 12.4996, 
0.388847, 3.33323, 83.6244, 0.0149809, 0.177948, 0.5, 8.54559, 
0.39882, 3.49973, 197.098, 0.0109639, 0.208466, 0.5, 13.6791, 
0.408791, 3.65367, 158.266, 0.013439, 0.23166, 0.5, 12.4013, 
0.418765, 3.8783, 195.751, 0.0123315, 0.260958, 0.5, 15.2244, 
0.428737, 4.0448, 165.578, 0.0144439, 0.279268, 0.5, 13.9099, 
0.438712, 4.21288, 134.857, 0.0166089, 0.2988, 0.5, 12.9427, 
0.448684, 4.35111, 179.054, 0.0158517, 0.311007, 0.5, 14.115, 
0.458655, 4.54903, 142.89, 0.0181364, 0.320773, 0.5, 12.7242, 
0.46863, 4.72653, 225.122, 0.0156253, 0.331759, 0.5, 15.2749, 
0.478601, 4.95115, 210.601, 0.0169196, 0.337863, 0.5, 14.366, 
0.488574, 5.13807, 120.282, 0.0216541, 0.340304, 0.5, 11.3061, 
0.498549, 5.27159, 157.498, 0.0214047, 0.347629, 0.5, 11.684, 
0.508519, 5.39254, 112.734, 0.0247012, 0.342746, 0.5, 9.9825, 
0.518491, 5.53392, 90.3467, 0.0269747, 0.346408, 0.5, 9.23882, 
0.528464, 5.62188, 142.067, 0.0265062, 0.351291, 0.5, 9.53465, 
0.538437, 5.76639, 114.045, 0.0290699, 0.346408, 0.5, 8.57293, 
0.548409, 5.96746, 286.685, 0.0229292, 0.356174, 0.5, 11.1753, 
0.558382, 6.26591, 195.616, 0.0272883, 0.351291, 0.5, 9.26139, 
0.568354, 6.54708, 376.139, 0.0204119, 0.353732, 0.5, 12.4674, 
0.578328, 6.86595, 303.244, 0.0239625, 0.358615, 0.5, 10.7667, 
0.5883, 7.36075, 511.846, 0.0147029, 0.351291, 0.5, 17.1889, 
0.598272, 7.69376, 300.824, 0.0240291, 0.353732, 0.5, 10.5907, 
0.608245, 8.19956, 481.62, 0.0159434, 0.354953, 0.5, 16.0168, 
0.618217, 8.57655, 436.843, 0.0181164, 0.359836, 0.5, 14.2895, 
0.62819, 9.0525, 293.427, 0.0238653, 0.356174, 0.5, 10.737, 
0.638163, 9.34781, 406.287, 0.0200012, 0.362277, 0.5, 13.0308, 
0.648136, 9.79392, 333.236, 0.023057, 0.356174, 0.5, 11.1133, 
0.658108, 10.2275, 530.007, 0.0149235, 0.364719, 0.5, 17.5822, 
0.668082, 10.6657, 291.497, 0.0250353, 0.36716, 0.5, 10.5509, 
0.678054, 11.1008, 428.297, 0.0194761, 0.362277, 0.5, 13.3821, 
0.688027, 11.3836, 300.841, 0.0259409, 0.372043, 0.5, 10.318, 
0.698001, 11.7935, 409.641, 0.0217882, 0.36716, 0.5, 12.1233, 
0.707972, 12.2554, 401.512, 0.0222502, 0.369602, 0.5, 11.9505, 
0.717944, 12.6323, 423.816, 0.0219886, 0.375705, 0.5, 12.2924, 
0.727916, 13.1931, 526.398, 0.0172994, 0.381809, 0.5, 15.8782, 
0.737889, 13.7523, 534.488, 0.0166147, 0.381809, 0.5, 16.5325, 
0.747862, 14.2079, 466.596, 0.0197724, 0.381809, 0.5, 13.8923, 
0.757837, 14.7388, 432.097, 0.0211224, 0.385471, 0.5, 13.1291, 
0.767811, 15.2509, 537.365, 0.0167619, 0.385471, 0.5, 16.5446, 
0.77778, 15.6875, 406.334, 0.0227857, 0.390354, 0.5, 12.3248, 
0.787755, 16.2483, 480.056, 0.0195325, 0.389133, 0.5, 14.3326, 
0.797724, 16.7934, 647.488, 0.0124809, 0.394016, 0.5, 22.7119, 
