Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00998109, -0.00314159, -7.52837, 0.000568151, 0.0212546, 1, 26.9138, 
0.0199551, -0.00314159, 0, 0.000599688, 0.0261375, 1, 31.3562, 
0.0299271, -0.00314159, 0, 0.000917616, 0.0273582, 1, 21.4492, 
0.0398998, -0.00314159, 0, 0.00128562, 0.0273582, 1, 15.3094, 
0.0498723, -0.00314159, 0, 0.00170354, 0.0249168, 1, 10.5226, 
0.0598447, -0.00314159, 0, 0.00217154, 0.0285789, 1, 9.46811, 
0.0698174, -0.00314159, 0, 0.00268943, 0.0310204, 1, 8.29797, 
0.0797901, -0.00314159, 0, 0.00325744, 0.0297996, 1, 6.58142, 
0.0897628, 0, 0, 0.00385017, 0.0285789, 1, 5.34012, 
0.0997357, 0, 0, 0.00451819, 0.0297996, 1, 4.74495, 
0.109708, 0.00314159, 0, 0.00521088, 0.0261375, 1, 3.60859, 
0.119681, 0.00628319, 7.5192, 0.00571751, 0.0261375, 1, 3.28883, 
0.129653, 0.00942478, 0, 0.00674659, 0.0273582, 1, 2.91735, 
0.139627, 0.0235619, 15.0484, 0.00702874, 0.0297996, 1, 3.05013, 
0.149598, 0.0455531, 15.078, 0.00776947, 0.0322411, 1, 2.98541, 
0.159572, 0.0879646, 52.1729, 0.00723426, 0.0359033, 1, 3.57047, 
0.169543, 0.155509, 75.2078, 0.00698663, 0.0493312, 1, 5.07971, 
0.179516, 0.229336, 67.6488, 0.00770139, 0.0566555, 1, 5.29247, 
0.189488, 0.311018, 75.261, 0.00792656, 0.0688627, 1, 6.25007, 
0.199465, 0.380133, 66.9057, 0.00880631, 0.0786285, 1, 6.42349, 
0.209435, 0.458673, 75.8078, 0.00911404, 0.0957186, 1, 7.55563, 
0.219407, 0.537212, 67.7425, 0.0100066, 0.107926, 1, 7.75935, 
0.229385, 0.607898, 74.9719, 0.0105327, 0.117692, 1, 8.03878, 
0.239353, 0.683296, 52.593, 0.0119997, 0.133561, 1, 8.00746, 
0.249326, 0.736703, 60.2242, 0.0127504, 0.144547, 1, 8.1559, 
0.259297, 0.816814, 82.644, 0.012873, 0.157975, 1, 8.82868, 
0.269271, 0.892212, 74.8572, 0.0140335, 0.178728, 1, 9.16246, 
0.279243, 0.967611, 52.6251, 0.0156951, 0.192156, 1, 8.80793, 
0.289216, 1.03044, 75.3032, 0.0160978, 0.206804, 1, 9.24228, 
0.299193, 1.1294, 106.043, 0.0160098, 0.226336, 1, 10.1708, 
0.309162, 1.22051, 82.6645, 0.0177316, 0.242205, 1, 9.82697, 
0.319134, 1.31476, 82.6133, 0.0187469, 0.256854, 1, 9.85693, 
0.329107, 1.39173, 89.6172, 0.0197315, 0.273944, 1, 9.98818, 
0.339079, 1.50639, 112.676, 0.0199548, 0.289813, 1, 10.4486, 
0.349051, 1.63206, 120.508, 0.0206208, 0.314228, 1, 10.9629, 
0.359025, 1.75458, 112.777, 0.0218514, 0.331318, 1, 10.9082, 
0.368996, 1.86768, 120.76, 0.0227131, 0.355732, 1, 11.2676, 
0.378969, 2.03889, 210.395, 0.0205954, 0.376485, 1, 13.1511, 
0.388944, 2.3452, 201.48, 0.0205459, 0.422872, 1, 14.8071, 
0.398914, 2.4206, 105.435, 0.0251247, 0.435079, 1, 12.4581, 
0.408887, 2.60281, 165.781, 0.0239886, 0.463156, 1, 13.8901, 
0.418863, 2.80858, 247.598, 0.0220408, 0.496115, 1, 16.1935, 
0.428832, 3.05363, 180.673, 0.0244991, 0.530296, 1, 15.5723, 
0.438804, 3.26726, 270.756, 0.0223278, 0.552269, 1, 17.7946, 
0.448777, 3.56257, 243.163, 0.0232495, 0.592552, 1, 18.3357, 
0.45875, 3.70237, 104.99, 0.0289399, 0.607201, 1, 15.0946, 
0.468722, 3.84374, 128.068, 0.0296011, 0.630395, 1, 15.3211, 
0.478697, 3.99768, 164.204, 0.0298061, 0.651147, 1, 15.7166, 
0.488674, 4.18146, 195.264, 0.0299752, 0.680444, 1, 16.3311, 
0.498641, 4.46577, 293.445, 0.0272826, 0.720728, 1, 19.0051, 
0.508614, 4.70453, 247.751, 0.0295261, 0.745143, 1, 18.1559, 
0.518586, 4.9967, 270.384, 0.0292456, 0.778102, 1, 19.1409, 
0.528561, 5.20719, 134.239, 0.0346602, 0.803737, 1, 16.6828, 
0.538532, 5.35484, 173.037, 0.0351233, 0.820827, 1, 16.8128, 
0.548505, 5.51821, 127.866, 0.0381532, 0.836697, 1, 15.7769, 
0.558477, 5.63759, 120.384, 0.0404005, 0.853787, 1, 15.2037, 
0.568452, 5.84336, 248.102, 0.0377635, 0.878201, 1, 16.7304, 
0.578422, 6.11982, 197.064, 0.0402184, 0.911161, 1, 16.2988, 
0.588395, 6.30203, 195.873, 0.0419152, 0.928251, 1, 15.9323, 
0.598369, 6.5942, 298.39, 0.0395302, 0.956327, 1, 17.4045, 
0.608341, 6.90993, 285.492, 0.0406222, 0.97708, 1, 17.3042, 
0.618314, 7.12042, 142.983, 0.0466858, 0.988066, 1, 15.226, 
0.628285, 7.29949, 195.463, 0.0469184, 0.995391, 1, 15.2628, 
0.638258, 7.54296, 255.422, 0.0464547, 1.00516, 1, 15.5664, 
0.648231, 7.75345, 158.211, 0.0512417, 1.00638, 1, 14.1294, 
0.658203, 8.12259, 564.288, 0.0389985, 1.02957, 1, 18.993, 
0.668179, 8.66294, 429.315, 0.0424354, 1.02957, 1, 17.4547, 
0.678149, 9.14518, 654.55, 0.0350672, 1.04056, 1, 21.3477, 
0.688121, 9.8379, 515.865, 0.0374996, 1.04422, 1, 20.0332, 
0.698094, 10.3029, 458.245, 0.0392581, 1.05154, 1, 19.2701, 
0.708071, 10.8526, 518.049, 0.036701, 1.05643, 1, 20.7084, 
0.718044, 11.1888, 239.345, 0.0465361, 1.05643, 1, 16.3318, 
0.728012, 11.6255, 461.364, 0.0398803, 1.05765, 1, 19.0795, 
0.737985, 11.9349, 195.366, 0.0496297, 1.06131, 1, 15.3846, 
0.747957, 12.1815, 293.819, 0.0484799, 1.06985, 1, 15.8763, 
0.75793, 12.5522, 363.825, 0.0472833, 1.06497, 1, 16.2038, 
0.767904, 12.9748, 473.792, 0.0444656, 1.07108, 1, 17.3293, 
0.777876, 13.4664, 316.68, 0.0495363, 1.06009, 1, 15.3959, 
0.787847, 13.6801, 323.149, 0.0517403, 1.07352, 1, 14.9267, 
0.797822, 14.2927, 486.901, 0.0458652, 1.06741, 1, 16.7431, 
0.807795, 14.811, 711.905, 0.0388651, 1.07718, 1, 19.9395, 
0.817768, 15.6907, 781.804, 0.0339012, 1.07718, 1, 22.8591, 
0.827738, 16.4305, 828.268, 0.0308361, 1.07962, 1, 25.1882, 
