Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00789442, 0, 0, 0.00013519, 0.00260594, 0, 13.8677, 
0.0178657, 0, 0, 0.000286569, 0.00504738, 0, 12.6713, 
0.0278378, 0, 0, 0.000456702, 0.0062681, 0, 9.8739, 
0.0378111, 0, 0, 0.000645603, 0.00870954, 0, 9.70544, 
0.0477828, 0, 0, 0.000853246, 0.0062681, 0, 5.28502, 
0.0577551, 0, 0, 0.00107961, 0.00382666, 0, 2.55, 
0.067727, 0, 0, 0.00132474, 0.0062681, 0, 3.40402, 
0.0776997, 0, 0, 0.00158861, 0.0062681, 0, 2.8386, 
0.087672, 0, 0, 0.00187123, 0.00260594, 0, 1.00189, 
0.0976443, 0, 0, 0.00217256, 0.00260594, 0, 0.862932, 
0.107616, 0, 0, 0.00249268, 0.00382666, 0, 1.10443, 
0.117587, 0, 0, 0.00283149, 0.00382666, 0, 0.972275, 
0.127561, 0, 0, 0.00318921, 0.00504738, 0, 1.13859, 
0.137532, 0, 0, 0.00356545, 0.0062681, 0, 1.26476, 
0.147508, 0.00314159, 7.50761, 0.00379407, 0.00260594, 0, 0.494133, 
0.157478, 0.00628319, 0, 0.00435558, 0.00382666, 0, 0.632061, 
0.16745, 0.00942478, 7.5334, 0.00462103, 0.00870954, 0, 1.35594, 
0.177422, 0.0172788, 7.51732, 0.00504903, 0.00260594, 0, 0.371314, 
0.187394, 0.0298451, 15.0359, 0.00532395, 0.00260594, 0, 0.352139, 
0.197366, 0.0549779, 30.1034, 0.00542176, 0.0062681, 0, 0.831726, 
0.207339, 0.0879646, 30.0877, 0.00583076, 0.00504738, 0, 0.622768, 
0.217313, 0.133518, 53.021, 0.00574008, 0.0062681, 0, 0.785603, 
0.227283, 0.175929, 30.11, 0.00663762, 0.00748882, 0, 0.811683, 
0.237255, 0.226195, 60.3946, 0.00641629, 0.00382666, 0, 0.429063, 
0.247228, 0.298451, 82.5121, 0.00631927, 0.0062681, 0, 0.713599, 
0.2572, 0.386416, 90.3162, 0.00649282, 0.00382666, 0, 0.424005, 
0.267171, 0.483805, 98.1038, 0.00665755, 0.0062681, 0, 0.67734, 
0.277144, 0.568628, 67.7283, 0.00767795, 0.0062681, 0, 0.587321, 
0.287118, 0.645597, 91.1062, 0.0076151, 0.00748882, 0, 0.707495, 
0.297088, 0.757124, 120.477, 0.00734155, 0.00504738, 0, 0.494611, 
0.307061, 0.925199, 188.139, 0.00611532, 0.00504738, 0, 0.593788, 
0.317033, 1.19538, 286.437, 0.00395966, 0.00382666, 0, 0.695259, 
0.327007, 1.50325, 273.616, 0.00403732, 0.00138521, 0, 0.246836, 
0.336979, 1.72159, 196.885, 0.0057406, 0.00382666, 0, 0.479565, 
0.346953, 1.90538, 180.711, 0.00629796, 0.000164492, 0, 0.0187902, 
0.356923, 2.09387, 165.497, 0.00683968, 0.00382666, 0, 0.402503, 
0.366897, 2.30593, 225.239, 0.00576014, 0.0062681, 0, 0.782868, 
0.376866, 2.56511, 257.915, 0.00512394, 0.00382666, 0, 0.53728, 
0.386839, 2.90283, 368.551, 0.00263881, 0.00748882, 0, 2.04169, 
0.396816, 3.26569, 307.822, 0.0036862, 0.00260594, 0, 0.508593, 
0.406783, 3.47617, 173.03, 0.0067599, 0.00260594, 0, 0.277337, 
0.416755, 3.71336, 255.87, 0.00521441, 0.00748882, 0, 1.03322, 
0.426729, 3.98825, 271.036, 0.00499225, 0.00382666, 0, 0.551453, 
0.436701, 4.30398, 353.679, 0.00325268, 0.00870954, 0, 1.92637, 
0.446675, 4.71239, 387.36, 0.00228122, 0.00260594, 0, 0.82183, 
0.456644, 4.99356, 210.955, 0.00610664, 0.0062681, 0, 0.738447, 
0.466618, 5.22604, 225.552, 0.00609867, 0.00138521, 0, 0.163405, 
0.476594, 5.48208, 240.167, 0.00603856, 0.00260594, 0, 0.310467, 
0.486563, 5.71613, 263.061, 0.00588898, 0.00260594, 0, 0.318353, 
0.496535, 6.12296, 443.575, 0.00193897, 0.00504738, 0, 1.87275, 
0.506507, 6.5031, 271.028, 0.00548213, 0.00382666, 0, 0.502176, 
0.516479, 6.76071, 260.745, 0.00601505, 0.00260594, 0, 0.31168, 
0.526454, 7.04659, 277.278, 0.00591735, 0.00382666, 0, 0.465241, 
0.536422, 7.33405, 286.192, 0.00599371, 0.00260594, 0, 0.31279, 
0.546395, 7.70476, 390.536, 0.00384164, 0.00382666, 0, 0.716619, 
0.556367, 8.08332, 308.552, 0.00558618, 0.00260594, 0, 0.335609, 
0.56634, 8.36292, 253.84, 0.00707726, 0.0062681, 0, 0.637171, 
0.57631, 8.6488, 308.519, 0.00627376, 0.00504738, 0, 0.578793, 
0.586283, 9.0038, 360.335, 0.0053441, 0.00870954, 0, 1.17248, 
0.596256, 9.39965, 383.747, 0.0049041, 0.0062681, 0, 0.919522, 
0.606228, 9.76407, 308.514, 0.00664408, 0.00382666, 0, 0.414352, 
0.616201, 10.1128, 367.534, 0.00563864, 0.00382666, 0, 0.488236, 
0.626172, 10.5322, 413.714, 0.0047074, 0.00260594, 0, 0.398261, 
0.636144, 11.0301, 496.838, 0.00278603, 0.00748882, 0, 1.9338, 
0.646118, 11.4291, 315.719, 0.0067151, 0.00382666, 0, 0.40997, 
0.656091, 11.7715, 380.547, 0.00568297, 0.0062681, 0, 0.793498, 
0.666065, 12.2067, 441.967, 0.00446096, 0.00260594, 0, 0.420262, 
0.676035, 12.7344, 494.841, 0.00315784, 0.0062681, 0, 1.42801, 
0.686006, 13.135, 323.225, 0.00695699, 0.0062681, 0, 0.648186, 
0.695978, 13.5026, 391.188, 0.00585677, 0.0062681, 0, 0.76995, 
0.705951, 13.9785, 515.646, 0.00326725, 0.00382666, 0, 0.842601, 
0.715924, 14.4702, 388.342, 0.00592401, 0.0062681, 0, 0.761212, 
0.725895, 14.833, 346.191, 0.00719853, 0.0062681, 0, 0.626437, 
0.735867, 15.2132, 368.864, 0.00708416, 0.0062681, 0, 0.636551, 
0.745844, 15.7017, 529.053, 0.00378644, 0.00260594, 0, 0.495128, 
0.755811, 16.2043, 414.075, 0.00622189, 0.00748882, 0, 0.865917, 
0.765784, 16.6379, 444.101, 0.00584986, 0.0062681, 0, 0.77086, 
0.775756, 17.1939, 602.206, 0.00244623, 0.00260594, 0, 0.766394, 
0.785728, 17.7594, 451.29, 0.00550554, 0.00382666, 0, 0.50004, 
0.795703, 18.2197, 454.761, 0.0056684, 0.0062681, 0, 0.795538, 
0.805672, 18.815, 632.257, 0.0017943, 0.0062681, 0, 2.51319, 
0.815647, 19.3475, 410.331, 0.00649838, 0.00870954, 0, 0.964219, 
0.825621, 19.7967, 465.51, 0.00566292, 0.00748882, 0, 0.951389, 
0.835589, 20.3638, 587.073, 0.00310332, 0.0062681, 0, 1.4531, 
