Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00988567, 0, 0, 0.000167294, -0.00299767, 0, -137.835, 
0.0198617, 0, 0, 0.000322498, -0.00421839, 0, -100.618, 
0.0298347, 0, 0, 0.000496392, -0.00421839, 0, -65.3701, 
0.0398085, 0, 0, 0.000689073, -0.00543912, 0, -60.7183, 
0.049784, 0, 0, 0.000900521, -0.00299767, 0, -25.6063, 
0.0597586, 0, 0, 0.00113073, -0.00299767, 0, -20.3931, 
0.0697344, 0, 0, 0.0013797, -0.00665984, 0, -37.131, 
0.079709, 0, 0, 0.00164743, -0.00299767, 0, -13.9969, 
0.0896834, 0, 0, 0.00193386, -0.00788056, 0, -31.3465, 
0.099658, 0, 0, 0.00223907, -0.00543912, 0, -18.6861, 
0.109633, 0, 0, 0.00256306, -0.00543912, 0, -16.324, 
0.119608, 0, 0, 0.0029058, -0.00299767, 0, -7.9355, 
0.129586, 0, 0, 0.0032675, -0.00421839, 0, -9.9309, 
0.139558, 0, 0, 0.00364756, -0.00421839, 0, -8.89614, 
0.149532, 0, 0, 0.00404656, -0.00299767, 0, -5.69843, 
0.159507, 0, 0, 0.00446433, -0.00421839, 0, -7.26855, 
0.169492, 0.0015708, -7.51175, 0.00505397, -0.00177695, 0, -2.70458, 
0.179457, 0.00314159, 0, 0.00534666, -0.00543912, 0, -7.82533, 
0.189431, 0.00314159, 0, 0.00582061, -0.00177695, 0, -2.34836, 
0.199407, 0.00471239, 0, 0.00630876, -0.00299767, 0, -3.65508, 
0.209384, 0.00785398, 0, 0.00681147, -0.00543912, 0, -6.14248, 
0.219355, 0.00942478, 0, 0.0073363, -0.00421839, 0, -4.4231, 
0.22933, 0.0141372, 7.53172, 0.00771341, -0.00665984, 0, -6.64162, 
0.239305, 0.0188496, 7.51182, 0.00826754, -0.00788056, 0, -7.33225, 
0.249279, 0.0267035, 15.0596, 0.00867241, -0.00788056, 0, -6.98995, 
0.259254, 0.0439823, 7.53662, 0.00938342, -0.00177695, 0, -1.4567, 
0.26923, 0.0644026, 30.1158, 0.00947342, -0.00543912, 0, -4.4165, 
0.279205, 0.0942478, 45.2466, 0.00970977, -0.00299767, 0, -2.37483, 
0.28918, 0.199491, 173.202, 0.0073757, -0.00543912, 0, -5.67259, 
0.299155, 0.504226, 255.356, 0.00542127, -0.00543912, 0, -7.71763, 
0.309128, 0.667588, 188.343, 0.00703355, -0.00543912, 0, -5.94854, 
0.319104, 0.936195, 202.798, 0.00664297, -0.00543912, 0, -6.29829, 
0.329077, 0.978606, 30.3327, 0.0108642, -0.00910128, 0, -6.44411, 
0.339052, 1.07757, 127.786, 0.00928178, -0.00421839, 0, -3.49601, 
0.349029, 1.31161, 293.239, 0.00588863, -0.00421839, 0, -5.51048, 
0.359002, 1.60064, 262.78, 0.00645226, -0.00299767, 0, -3.57379, 
0.368978, 1.9792, 346.487, 0.00437502, -0.00299767, 0, -5.2706, 
0.378953, 2.23524, 247.982, 0.0065002, -0.00788056, 0, -9.32582, 
0.388929, 2.39546, 119.873, 0.00955224, -0.00299767, 0, -2.41399, 
0.398902, 2.58396, 210.831, 0.00794907, -0.00665984, 0, -6.44472, 
0.408876, 2.83215, 255.714, 0.00715113, -0.00299767, 0, -3.22453, 
0.418851, 3.14945, 345.769, 0.00521847, -0.00421839, 0, -6.21814, 
0.428826, 3.561, 375.884, 0.00427726, -0.00543912, 0, -9.78182, 
0.438801, 3.85473, 248.3, 0.00701097, -0.00299767, 0, -3.28899, 
0.448775, 4.09978, 248.802, 0.00722678, -0.00421839, 0, -4.49013, 
0.458754, 4.44064, 373.011, 0.00458482, -0.00421839, 0, -7.07753, 
0.468726, 4.84905, 417.946, 0.00341745, -0.00665984, 0, -14.9906, 
0.478701, 5.24175, 300.17, 0.00572286, -0.00299767, 0, -4.02928, 
0.488676, 5.42396, 112.784, 0.0101374, -0.00421839, 0, -3.20095, 
0.498649, 5.57004, 210.33, 0.0087114, -0.00177695, 0, -1.56908, 
0.508623, 5.91248, 339.208, 0.00605889, -0.00299767, 0, -3.80582, 
0.518599, 6.1638, 300.564, 0.00720756, -0.00665984, 0, -7.10775, 
0.528573, 6.43712, 158.03, 0.0104843, -0.00299767, 0, -2.19939, 
0.538548, 6.76228, 458.038, 0.00435611, -0.00543912, 0, -9.60476, 
0.548526, 7.10628, 323.277, 0.00729752, -0.00299767, 0, -3.15984, 
0.558497, 7.42987, 225.492, 0.00954054, -0.00543912, 0, -4.38543, 
0.568473, 7.77073, 376.249, 0.00654747, -0.00299767, 0, -3.52182, 
0.578447, 8.1917, 368.286, 0.00665705, -0.00543912, 0, -6.28497, 
0.588423, 8.46973, 240.616, 0.00972077, -0.00177695, 0, -1.40615, 
0.598396, 8.81688, 376.72, 0.00707174, -0.00299767, 0, -3.26073, 
0.608373, 9.25356, 421.554, 0.00608451, -0.00177695, 0, -2.2465, 
0.618345, 9.74836, 459.431, 0.00508699, -0.00177695, 0, -2.68702, 
0.628323, 10.1159, 346.129, 0.00765686, -0.00665984, 0, -6.69067, 
0.638296, 10.5919, 526.06, 0.00377846, -0.00177695, 0, -3.61757, 
0.648272, 11.0961, 489.152, 0.00437555, -0.00543912, 0, -9.56208, 
0.658245, 11.5548, 398.766, 0.00624803, -0.00299767, 0, -3.69061, 
0.668221, 11.982, 390.79, 0.00650805, -0.00421839, 0, -4.98601, 
0.678194, 12.2821, 188.433, 0.011238, -0.00543912, 0, -3.72303, 
0.68817, 12.5836, 383.36, 0.00766299, -0.00299767, 0, -3.00914, 
0.698145, 12.9449, 401.087, 0.0076386, -0.00177695, 0, -1.78945, 
0.708124, 13.4476, 442.884, 0.00670461, -0.00543912, 0, -6.24038, 
0.718094, 13.8466, 387.319, 0.00813876, -0.00421839, 0, -3.987, 
0.728069, 14.2047, 338.719, 0.00956904, -0.00421839, 0, -3.39106, 
0.738044, 14.643, 437.532, 0.00769065, -0.00299767, 0, -2.99832, 
0.748018, 15.1001, 467.241, 0.00722083, -0.00299767, 0, -3.1934, 
0.757995, 15.6106, 462.024, 0.00734225, -0.00421839, 0, -4.41951, 
0.767968, 16.0928, 529.994, 0.00603345, -0.00177695, 0, -2.26551, 
0.777943, 16.6724, 563.19, 0.00518018, -0.00299767, 0, -4.45139, 
0.787918, 17.2678, 563.602, 0.00498447, -0.00299767, 0, -4.62617, 
0.797892, 17.9039, 578.97, 0.00437208, -0.00177695, 0, -3.12639, 
0.807868, 18.4003, 443.249, 0.00736239, -0.00177695, 0, -1.85658, 
0.817843, 18.7396, 428.826, 0.00830201, -0.00421839, 0, -3.9086, 
0.827816, 19.3365, 595.409, 0.00469639, -0.00421839, 0, -6.90939, 
0.837791, 19.8109, 398.536, 0.00908976, -0.000556229, 0, -0.470715, 
