Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00988686, 0, 0, 0.000163724, -0.00788056, 0, -370.256, 
0.0198617, 0, 0, 0.000318909, -0.00543912, 0, -131.195, 
0.0298371, 0, 0, 0.00049286, -0.000556229, 0, -8.68135, 
0.0398113, 0, 0, 0.000685539, -0.00421839, 0, -47.3338, 
0.0497868, 0, 0, 0.000896998, -0.00788056, 0, -67.5806, 
0.0597614, 0, 0, 0.0011272, -0.00421839, 0, -28.7874, 
0.0697352, 0, 0, 0.00137612, -0.00177695, 0, -9.93292, 
0.079711, 0, 0, 0.00164387, -0.00665984, 0, -31.164, 
0.0896858, 0, 0, 0.00193033, -0.00421839, 0, -16.8102, 
0.0996624, 0, 0, 0.00223578, -0.00177695, 0, -6.1137, 
0.109638, 0, 0, 0.00255995, -0.00665984, 0, -20.0119, 
0.119609, 0.0015708, 0, 0.00289755, -0.00543912, 0, -14.4395, 
0.129587, 0.00314159, 7.54547, 0.00309671, -0.00543912, 0, -13.5109, 
0.13956, 0.00785398, 15.112, 0.00330394, -0.00543912, 0, -12.6635, 
0.149534, 0.0172788, 15.1138, 0.00367457, -0.00665984, 0, -13.9416, 
0.159509, 0.0408407, 37.5643, 0.00355151, -0.00177695, 0, -3.84874, 
0.169484, 0.092677, 60.443, 0.00335327, -0.00299767, 0, -6.87657, 
0.179457, 0.144513, 37.6614, 0.00413009, -0.00788056, 0, -14.6776, 
0.189435, 0.204204, 68.4013, 0.00378132, 0.000664492, 0, 1.35177, 
0.199408, 0.279602, 90.1507, 0.00359233, -0.00543912, 0, -11.6469, 
0.209383, 0.383274, 112.854, 0.00331733, -0.00665984, 0, -15.443, 
0.219359, 0.499513, 105.964, 0.00364344, -0.00421839, 0, -8.9062, 
0.229335, 0.582765, 75.1243, 0.0045891, -0.00421839, 0, -7.07093, 
0.239308, 0.669159, 97.7903, 0.00442236, -0.00543912, 0, -9.46086, 
0.249283, 0.775973, 120.319, 0.00421655, -0.00665984, 0, -12.1496, 
0.259257, 0.909491, 112.622, 0.00458248, -0.00177695, 0, -2.98285, 
0.269232, 0.975465, 60.3461, 0.00610354, -0.00421839, 0, -5.31645, 
0.279208, 1.07285, 104.396, 0.00553244, -0.00421839, 0, -5.86525, 
0.289182, 1.19538, 113.643, 0.00563187, -0.00177695, 0, -2.42705, 
0.299155, 1.30847, 105.415, 0.00614507, -0.00177695, 0, -2.22436, 
0.30913, 1.42314, 135.475, 0.00587056, -0.00177695, 0, -2.32837, 
0.319105, 1.64462, 262.953, 0.00325412, -0.00543912, 0, -12.8573, 
0.329081, 1.94622, 280.681, 0.00271463, -0.00299767, 0, -8.49436, 
0.339055, 2.19126, 218.347, 0.0040402, -0.00421839, 0, -8.03159, 
0.349034, 2.34991, 135.163, 0.00608096, -0.00421839, 0, -5.33619, 
0.359004, 2.53527, 173.538, 0.0055136, -0.00299767, 0, -4.18221, 
0.368979, 2.61852, 83.3678, 0.00796388, -0.00299767, 0, -2.89545, 
0.378955, 2.71434, 67.6829, 0.00883538, -0.00177695, 0, -1.54706, 
0.388928, 2.77403, 75.3562, 0.00934447, -0.00177695, 0, -1.46278, 
0.398903, 2.851, 75.1577, 0.00998588, -0.00665984, 0, -5.1302, 
0.408879, 2.96723, 165.34, 0.00863498, -0.00421839, 0, -3.75788, 
0.418854, 3.27197, 285.807, 0.00610307, -0.00665984, 0, -8.39406, 
0.428828, 3.54215, 285.1, 0.00623195, -0.00665984, 0, -8.22047, 
0.438803, 3.74321, 44.9063, 0.0116027, -0.000556229, 0, -0.368767, 
0.448777, 3.7652, 45.1382, 0.0124923, -0.00421839, 0, -2.59754, 
0.458756, 3.87987, 188.191, 0.0101333, -0.00421839, 0, -3.20224, 
0.468727, 4.23173, 286.817, 0.00801063, -0.00177695, 0, -1.70634, 
0.478702, 4.55688, 390.795, 0.00587563, -0.00177695, 0, -2.32637, 
0.488675, 4.89617, 347.069, 0.00680992, -0.00543912, 0, -6.14388, 
0.498652, 5.35642, 452.92, 0.00426807, -0.00543912, 0, -9.80287, 
0.508625, 5.70513, 286.589, 0.00777919, -0.00910128, 0, -8.99963, 
0.518601, 6.05856, 377.747, 0.0059029, -0.00421839, 0, -5.49716, 
0.528576, 6.47796, 428.368, 0.00469614, -0.00543912, 0, -8.9093, 
0.538554, 6.96177, 450.719, 0.00390876, -0.00299767, 0, -5.89933, 
0.548526, 7.31049, 301.605, 0.00713332, -0.00421839, 0, -4.54896, 
0.558503, 7.73303, 465.709, 0.00359674, -0.000556229, 0, -1.1896, 
0.568476, 8.22626, 488.7, 0.00282202, -0.00299767, 0, -8.17111, 
0.57845, 8.64566, 255.76, 0.00764775, -0.00421839, 0, -4.24297, 
0.588432, 8.95825, 403.92, 0.00483215, -0.000556229, 0, -0.885463, 
0.598399, 9.33995, 316.07, 0.00676887, -0.00665984, 0, -7.5684, 
0.608373, 9.59442, 173.033, 0.010263, -0.00543912, 0, -4.07673, 
0.618351, 9.86931, 372.782, 0.00653735, -0.00299767, 0, -3.52728, 
0.628324, 9.95885, 15.0318, 0.0150587, -0.00665984, 0, -3.40199, 
0.638297, 10.1065, 279.106, 0.0104027, -0.00421839, 0, -3.11931, 
0.648275, 10.606, 465.932, 0.00632837, -0.00299767, 0, -3.64375, 
0.658251, 11.0286, 371.934, 0.00838723, -0.00421839, 0, -3.86888, 
0.668222, 11.4825, 435.809, 0.00705926, -0.00910128, 0, -9.91746, 
0.678198, 11.9035, 413.211, 0.00766269, -0.00543912, 0, -5.46014, 
0.688172, 12.3794, 488.825, 0.00606264, -0.00299767, 0, -3.80346, 
0.698147, 12.9245, 541.446, 0.00475597, -0.00543912, 0, -8.79723, 
0.708123, 13.446, 484.688, 0.00583174, -0.00788056, 0, -10.3948, 
0.718096, 13.9958, 564.025, 0.00398652, -0.00421839, 0, -8.13974, 
0.728074, 14.5974, 578.993, 0.00335729, -0.000556229, 0, -1.27445, 
0.738044, 15.1629, 473.845, 0.00536586, -0.00299767, 0, -4.29736, 
0.748021, 15.5839, 370.35, 0.00779494, -0.00299767, 0, -2.9582, 
0.757995, 15.8163, 127.846, 0.0137198, -0.00177695, 0, -0.996285, 
0.767971, 16.1446, 474.373, 0.00703872, -0.00543912, 0, -5.94417, 
0.777945, 16.5939, 466.331, 0.00744015, -0.00177695, 0, -1.83718, 
0.78792, 17.0981, 443.95, 0.00799536, -0.00299767, 0, -2.88405, 
0.797898, 17.3966, 308.203, 0.0115617, -0.00543912, 0, -3.61879, 
0.807869, 17.9259, 563.529, 0.00626238, -0.00543912, 0, -6.68106, 
0.817844, 18.5087, 547.098, 0.00651456, -0.00299767, 0, -3.53961, 
0.827818, 19.0569, 527.231, 0.0069592, -0.00543912, 0, -6.01209, 
