Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00989086, 0, 0, 0.000163975, -0.00665984, 0, -312.423, 
0.0198658, 0, 0, 0.000319165, -0.00788056, 0, -189.932, 
0.0298409, 0, 0, 0.000493109, -0.00665984, 0, -103.891, 
0.0398149, 0, 0, 0.0006858, -0.00665984, 0, -74.7004, 
0.04979, 0, 0, 0.000897249, -0.00421839, 0, -36.1652, 
0.0597644, 0, 0, 0.00112747, -0.00299767, 0, -20.4521, 
0.0697396, 0, 0, 0.00137644, -0.00788056, 0, -44.0408, 
0.0797137, 0, 0, 0.00164413, -0.00543912, 0, -25.4476, 
0.0896891, 0, 0, 0.00193063, -0.00910128, 0, -36.2627, 
0.0996653, 0, 0, 0.002236, -0.00788056, 0, -27.1108, 
0.109639, 0, 0, 0.00255996, -0.00421839, 0, -12.6757, 
0.119615, 0, 0, 0.00290268, -0.00299767, 0, -7.94405, 
0.129587, 0, 0, 0.00326406, -0.00299767, 0, -7.06453, 
0.139565, 0, 0, 0.00364443, -0.00421839, 0, -8.90377, 
0.149537, 0, 0, 0.00404378, -0.00543912, 0, -10.3466, 
0.159513, 0, 0, 0.00446105, -0.00299767, 0, -5.16897, 
0.169495, 0, 0, 0.00489791, -0.00788056, 0, -12.3767, 
0.179465, 0, 0, 0.00535312, -0.00543912, 0, -7.81588, 
0.189439, 0, 0, 0.00582732, -0.00543912, 0, -7.17986, 
0.199412, 0, 0, 0.00631961, -0.00788056, 0, -9.59232, 
0.209386, 0, 0, 0.00683109, -0.00543912, 0, -6.12485, 
0.219363, 0, 0, 0.00736201, -0.00910128, 0, -9.50962, 
0.229338, 0.0015708, 0, 0.00790643, -0.00788056, 0, -7.66714, 
0.239311, 0.0015708, 0, 0.00847353, -0.00543912, 0, -4.93765, 
0.249286, 0.00314159, 7.5506, 0.0088972, -0.00421839, 0, -3.64712, 
0.25926, 0.00314159, 0, 0.00966081, -0.00665984, 0, -5.30282, 
0.269236, 0.00471239, 0, 0.0102801, -0.00421839, 0, -3.1565, 
0.279214, 0.00785398, 7.41344, 0.0107596, -0.00421839, 0, -3.01583, 
0.289185, 0.0125664, 7.45847, 0.0114054, -0.00543912, 0, -3.66838, 
0.299159, 0.0267035, 22.5713, 0.0117259, -0.00543912, 0, -3.56812, 
0.309135, 0.0722566, 67.7699, 0.0113417, -0.00543912, 0, -3.68899, 
0.319108, 0.188496, 158.211, 0.00981667, -0.00421839, 0, -3.30552, 
0.329084, 0.41469, 188.604, 0.00923819, -0.00543912, 0, -4.52895, 
0.33906, 0.442965, 15.0051, 0.0135447, -0.00665984, 0, -3.78227, 
0.349032, 0.458673, 7.52256, 0.0144281, -0.00421839, 0, -2.24903, 
0.359007, 0.480664, 22.6767, 0.0148375, -0.010322, 0, -5.35133, 
0.368985, 0.515221, 45.1071, 0.0150758, -0.00910128, 0, -4.64385, 
0.378958, 0.618894, 158.011, 0.0132305, -0.00421839, 0, -2.45261, 
0.388932, 0.900066, 353.758, 0.0091363, -0.00665984, 0, -5.60725, 
0.398906, 1.26135, 331.14, 0.00939389, -0.00910128, 0, -7.4527, 
0.408881, 1.65562, 421.754, 0.00719983, -0.00788056, 0, -8.4196, 
0.418857, 2.0169, 303.418, 0.00949998, -0.00665984, 0, -5.39259, 
0.428831, 2.31378, 295.728, 0.0096944, -0.00543912, 0, -4.31583, 
0.438806, 2.74732, 490.166, 0.0052645, -0.00665984, 0, -9.73112, 
0.448784, 3.18872, 382.013, 0.00716841, -0.00543912, 0, -5.83663, 
0.458756, 3.6144, 421.183, 0.00605005, -0.00543912, 0, -6.91554, 
0.46873, 4.0715, 474.969, 0.00455134, -0.00788056, 0, -13.3191, 
0.478705, 4.5129, 323.271, 0.00742236, -0.00665984, 0, -6.90205, 
0.488681, 4.80664, 331.659, 0.00740219, -0.00665984, 0, -6.92086, 
0.498659, 5.02655, 111.234, 0.0124168, -0.00421839, 0, -2.61333, 
0.50863, 5.20719, 260.899, 0.00981369, -0.00299767, 0, -2.34968, 
0.518604, 5.4915, 150.237, 0.0123696, -0.00177695, 0, -1.10504, 
0.528578, 5.65173, 256.224, 0.0107805, -0.00421839, 0, -3.01, 
0.538554, 5.96431, 210.559, 0.0119299, -0.00421839, 0, -2.71998, 
0.548528, 6.24863, 339.037, 0.00953505, -0.00665984, 0, -5.37276, 
0.558502, 6.34759, 30.1322, 0.0168757, -0.00543912, 0, -2.47927, 
0.568478, 6.46383, 150.363, 0.015196, -0.00421839, 0, -2.13538, 
0.578458, 6.65232, 193.597, 0.0149324, -0.00421839, 0, -2.17307, 
0.588428, 6.91779, 285.956, 0.0134236, -0.00543912, 0, -3.11684, 
0.598403, 7.33876, 509.823, 0.00871584, -0.00543912, 0, -4.80038, 
0.608378, 7.81157, 346.042, 0.0119887, -0.00788056, 0, -5.05639, 
0.618351, 8.14615, 345.964, 0.0122669, -0.00543912, 0, -3.41074, 
0.628327, 8.5954, 490.5, 0.00919139, -0.00788056, 0, -6.59527, 
0.6383, 9.15931, 564.076, 0.00727652, -0.00543912, 0, -5.74991, 
0.648277, 9.67453, 484.656, 0.00873123, -0.00543912, 0, -4.79192, 
0.658251, 10.2227, 533.8, 0.00741271, -0.00543912, 0, -5.64427, 
0.66823, 10.7678, 461.326, 0.00867218, -0.00788056, 0, -6.99013, 
0.6782, 11.1542, 436.786, 0.00941749, -0.00788056, 0, -6.43693, 
0.688175, 11.4904, 256.844, 0.0135891, -0.010322, 0, -5.84293, 
0.698151, 11.7983, 220.481, 0.0148579, -0.000556229, 0, -0.287973, 
0.708125, 12.1187, 334.052, 0.0129669, -0.00788056, 0, -4.67495, 
0.7181, 12.2475, 120.307, 0.0185255, -0.00788056, 0, -3.27222, 
0.728074, 12.4501, 225.653, 0.0171978, -0.00788056, 0, -3.52485, 
0.738057, 12.78, 370.575, 0.0146799, -0.00910128, 0, -4.76911, 
0.748023, 13.2151, 478.117, 0.0126448, -0.00299767, 0, -1.8236, 
0.757999, 13.7633, 518.76, 0.0116925, -0.00543912, 0, -3.5783, 
0.767978, 14.2958, 584.386, 0.0102833, -0.00788056, 0, -5.89499, 
0.77795, 14.9634, 640.213, 0.00869353, -0.00910128, 0, -8.0531, 
0.787924, 15.6436, 632.117, 0.0084191, -0.00421839, 0, -3.85424, 
0.797896, 16.2892, 602.227, 0.00872602, -0.00543912, 0, -4.79478, 
0.807872, 16.9505, 662.342, 0.00712007, -0.00299767, 0, -3.2386, 
0.817847, 17.5521, 518.961, 0.00997382, -0.00543912, 0, -4.19492, 
0.827823, 17.9448, 300.514, 0.0150456, -0.00421839, 0, -2.15672, 
0.837798, 18.0642, 127.272, 0.0200096, -0.00665984, 0, -2.56024, 
0.847772, 18.383, 406.835, 0.0149087, -0.00299767, 0, -1.54669, 
