Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00196009, 0, 0, 5.72509e-05, -0.00543912, 0, -730.807, 
0.0119354, 0, 0, 0.000197521, -0.00665984, 0, -259.362, 
0.0219095, 0, 0, 0.00035654, -0.00299767, 0, -64.6745, 
0.0318851, 0, 0, 0.000534345, -0.00299767, 0, -43.1538, 
0.0418593, 0, 0, 0.000730877, -0.00299767, 0, -31.5498, 
0.0518344, 0, 0, 0.000946177, -0.00665984, 0, -54.1437, 
0.0618086, 0, 0, 0.00118022, -0.00543912, 0, -35.4505, 
0.0717838, 0, 0, 0.00143305, -0.00421839, 0, -22.6435, 
0.0817585, 0, 0, 0.0017046, -0.00543912, 0, -24.545, 
0.0917376, 0, 0, 0.00199531, -0.00543912, 0, -20.9689, 
0.101708, 0, 0, 0.00230401, -0.00665984, 0, -22.2349, 
0.111685, 0, 0, 0.0026322, -0.00543912, 0, -15.8952, 
0.121658, 0, 0, 0.00297844, -0.00421839, 0, -10.8947, 
0.131633, 0, 0, 0.00334382, -0.00177695, 0, -4.0878, 
0.141607, 0, 0, 0.00372782, -0.00299767, 0, -6.18566, 
0.151584, 0, 0, 0.0041308, -0.00299767, 0, -5.58221, 
0.161558, 0.0015708, 0, 0.00454773, -0.00299767, 0, -5.07045, 
0.171532, 0.00628319, 0, 0.00497376, -0.00421839, 0, -6.52408, 
0.181507, 0.0109956, 0, 0.00541879, -0.00665984, 0, -9.45406, 
0.191482, 0.0188496, 7.51927, 0.00571555, -0.00421839, 0, -5.67735, 
0.201455, 0.0329867, 15.0714, 0.00601147, -0.00177695, 0, -2.27379, 
0.211431, 0.0581195, 22.5506, 0.00629491, -0.00299767, 0, -3.66312, 
0.221405, 0.0973894, 45.17, 0.00623746, -0.00177695, 0, -2.19141, 
0.231382, 0.219911, 157.834, 0.00406319, -0.00543912, 0, -10.2972, 
0.241358, 0.439823, 254.541, 0.00194996, -0.00299767, 0, -11.8254, 
0.251331, 0.636173, 75.2127, 0.00570688, -0.00543912, 0, -7.33139, 
0.261305, 0.669159, 60.1318, 0.00653291, -0.00421839, 0, -4.96704, 
0.27128, 0.815243, 180.295, 0.0042059, -0.00299767, 0, -5.48254, 
0.281254, 1.02259, 142.932, 0.00501292, -0.00543912, 0, -8.3463, 
0.291229, 1.10427, 75.1602, 0.0068528, -0.00421839, 0, -4.73517, 
0.301204, 1.24407, 196.272, 0.00458092, -0.00543912, 0, -9.1334, 
0.311179, 1.44827, 150.417, 0.00563166, -0.00665984, 0, -9.0967, 
0.321154, 1.58965, 142.837, 0.00608798, -0.00299767, 0, -3.78763, 
0.331128, 1.75772, 173.087, 0.00569052, -0.00421839, 0, -5.70232, 
0.341102, 1.94622, 173.231, 0.00588111, -0.00788056, 0, -10.3075, 
0.351078, 2.09858, 135.304, 0.00699661, 0.000664492, 0, 0.730565, 
0.361052, 2.29022, 227.579, 0.00528564, -0.00543912, 0, -7.91567, 
0.371028, 2.5494, 271.957, 0.00439412, -0.00665984, 0, -11.6586, 
0.381003, 2.76617, 142.837, 0.00728232, -0.00177695, 0, -1.87699, 
0.390977, 2.9044, 158.038, 0.00740208, -0.00177695, 0, -1.84662, 
0.400951, 3.06777, 165.495, 0.00762757, -0.00299767, 0, -3.02311, 
0.410926, 3.2704, 225.393, 0.00665575, -0.00299767, 0, -3.46453, 
0.420901, 3.5877, 330.899, 0.00440326, -0.00177695, 0, -3.10426, 
0.430876, 3.81546, 165.262, 0.00811706, -0.00177695, 0, -1.68397, 
0.440851, 4.06208, 293.384, 0.00564059, -0.00665984, 0, -9.08229, 
0.450827, 4.30869, 209.292, 0.00762833, -0.00421839, 0, -4.25377, 
0.4608, 4.44064, 75.265, 0.0110229, -0.00299767, 0, -2.09193, 
0.470775, 4.54746, 127.674, 0.010608, -0.00299767, 0, -2.17374, 
0.48075, 4.64642, 75.2125, 0.0124314, -0.00299767, 0, -1.8549, 
0.490724, 4.83177, 308.135, 0.00803753, -0.00299767, 0, -2.86892, 
0.500699, 5.30929, 361.584, 0.00654451, -0.00665984, 0, -7.82786, 
0.510673, 5.6533, 285.671, 0.00818071, -0.00543912, 0, -5.11439, 
0.52065, 5.99573, 270.895, 0.00855988, -0.00665984, 0, -5.98484, 
0.530624, 6.33973, 443.581, 0.0050265, -0.00421839, 0, -6.45562, 
0.540599, 6.78898, 431.843, 0.00506056, -0.00788056, 0, -11.9789, 
0.550573, 7.15026, 322.926, 0.00740925, -0.00299767, 0, -3.11219, 
0.560547, 7.40159, 165.414, 0.0111264, -0.00543912, 0, -3.76036, 
0.570522, 7.61993, 248.478, 0.00992156, -0.00543912, 0, -4.21701, 
0.580497, 7.9875, 406.574, 0.00671696, -0.00665984, 0, -7.62689, 
0.590472, 8.4713, 457.841, 0.00542013, -0.00421839, 0, -5.98679, 
0.600447, 8.84201, 315.811, 0.00852935, -0.00299767, 0, -2.70349, 
0.610422, 9.22372, 414.106, 0.00659106, -0.00177695, 0, -2.07385, 
0.620397, 9.75936, 562.597, 0.0031592, -0.00177695, 0, -4.32669, 
0.630372, 10.2494, 381.908, 0.00677655, -0.000556229, 0, -0.631396, 
0.640345, 10.5573, 278.266, 0.00934434, -0.00421839, 0, -3.47261, 
0.65032, 10.9532, 413.898, 0.0066567, -0.00421839, 0, -4.87466, 
0.660295, 11.3302, 349.044, 0.00824328, -0.00299767, 0, -2.79731, 
0.67027, 11.649, 360.794, 0.00841897, -0.00299767, 0, -2.73894, 
0.680245, 12.0763, 430.431, 0.00707554, -0.00421839, 0, -4.58611, 
0.69022, 12.5224, 403.133, 0.00772674, -0.00177695, 0, -1.76903, 
0.700193, 13.0313, 491.677, 0.00577716, -0.00299767, 0, -3.99141, 
0.71017, 13.3533, 246.619, 0.0113997, -0.00543912, 0, -3.67022, 
0.720144, 13.7036, 413.916, 0.00831399, -0.00299767, 0, -2.77352, 
0.730121, 14.1843, 508.781, 0.00637698, -0.00177695, 0, -2.14347, 
0.740093, 14.7372, 443.492, 0.00759375, -0.00543912, 0, -5.50971, 
0.750069, 15.0985, 383.392, 0.00929692, -0.00665984, 0, -5.51038, 
0.760043, 15.6718, 600.21, 0.00458263, -0.00177695, 0, -2.98275, 
0.770018, 16.2986, 517.09, 0.00600987, -0.00543912, 0, -6.96177, 
0.779992, 16.773, 488.567, 0.00676749, -0.00543912, 0, -6.18241, 
0.789967, 17.2301, 330.46, 0.010311, -0.00788056, 0, -5.87915, 
0.799942, 17.6338, 413.674, 0.00897868, -0.00421839, 0, -3.61403, 
0.809917, 18.1081, 578.163, 0.00575133, -0.00177695, 0, -2.37664, 
0.819891, 18.6485, 451.953, 0.00843254, -0.00421839, 0, -3.84809, 
0.829866, 19.0977, 400.088, 0.00984964, -0.00299767, 0, -2.3411, 
