Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00997834, -0.00314159, -15.0426, 0.000494008, -0.00299767, 0, -46.6775, 
0.0199552, -0.0015708, 0, 0.000329643, -0.00299767, 0, -69.9514, 
0.0299284, -0.0015708, 0, 0.000503717, -0.00543912, 0, -83.0613, 
0.0399034, -0.00314159, -7.51764, 0.000858753, -0.00299767, 0, -26.8518, 
0.0498774, -0.00314159, 0, 0.000912904, -0.00665984, 0, -56.1171, 
0.0598526, -0.00314159, 0, 0.00114328, -0.00299767, 0, -20.1691, 
0.0698264, -0.00314159, 0, 0.00139238, -0.00665984, 0, -36.7926, 
0.0798028, -0.00314159, 0, 0.00166033, -0.00177695, 0, -8.2326, 
0.0897768, -0.00314159, 0, 0.00194693, -0.00299767, 0, -11.8438, 
0.0997515, -0.00314159, 0, 0.00225232, -0.00543912, 0, -18.5761, 
0.109726, -0.00314159, 0, 0.00257645, -0.00299767, 0, -8.94993, 
0.119701, -0.00314159, 0, 0.00291938, -0.00543912, 0, -14.3316, 
0.129676, -0.0015708, 0, 0.00327638, -0.000556229, 0, -1.30592, 
0.13965, 0, 0, 0.00365205, -0.00665984, 0, -14.0276, 
0.149626, 0.00314159, 7.47315, 0.00388572, -0.00665984, 0, -13.184, 
0.159601, 0.00628319, 7.44519, 0.00429501, -0.00543912, 0, -9.74139, 
0.169578, 0.0204204, 22.3749, 0.00437654, -0.00543912, 0, -9.55992, 
0.179549, 0.0502655, 45.2936, 0.00426181, -0.00299767, 0, -5.41062, 
0.189524, 0.109956, 76.1492, 0.00391062, -0.00788056, 0, -15.5013, 
0.1995, 0.301593, 301.118, -0.000882935, -0.00543912, 0, 47.3867, 
0.209475, 0.582765, 202.863, 0.000843137, -0.00299767, 0, -27.3491, 
0.219449, 0.739845, 142.982, 0.0021564, -0.000556229, 0, -1.98418, 
0.229423, 0.834093, 45.1877, 0.00447093, -0.00299767, 0, -5.15754, 
0.239399, 0.874934, 60.0505, 0.0046053, -0.00543912, 0, -9.08505, 
0.249372, 0.969181, 105.494, 0.00395723, -0.00299767, 0, -5.82706, 
0.259346, 1.15296, 250.583, 0.000972571, -0.00421839, 0, -33.3644, 
0.269322, 1.36502, 106.097, 0.00398695, -0.00665984, 0, -12.8493, 
0.279298, 1.47184, 143.844, 0.00351905, -0.00421839, 0, -9.221, 
0.289271, 1.70274, 240.85, 0.00145611, -0.000556229, 0, -2.93844, 
0.299247, 1.88653, 135.765, 0.00378637, 0.000664492, 0, 1.34997, 
0.309222, 2.09073, 240.85, 0.00167204, -0.00177695, 0, -8.17496, 
0.319196, 2.28394, 135.49, 0.00401699, -0.00177695, 0, -3.40276, 
0.329171, 2.43316, 180.311, 0.00336736, -0.000556229, 0, -1.27064, 
0.339146, 2.63423, 181.941, 0.0034856, -0.00543912, 0, -12.0035, 
0.349119, 2.81487, 181.44, 0.00372812, -0.00665984, 0, -13.7414, 
0.359097, 2.98923, 156.795, 0.00451556, -0.00543912, 0, -9.2656, 
0.369071, 3.18243, 204.386, 0.00374997, -0.00665984, 0, -13.6613, 
0.379045, 3.40549, 225.426, 0.00347071, -0.00421839, 0, -9.34943, 
0.38902, 3.66781, 234.265, 0.00334823, -0.00665984, 0, -15.3005, 
0.398995, 3.86887, 173.175, 0.00489208, -0.000556229, 0, -0.874616, 
0.40897, 4.03538, 172.689, 0.00528952, -0.000556229, 0, -0.808899, 
0.418945, 4.23487, 195.345, 0.00512227, -0.00665984, 0, -10.0013, 
0.42892, 4.38252, 83.1191, 0.00795471, -0.00665984, 0, -6.44015, 
0.438893, 4.42807, 45.1657, 0.00955496, -0.00543912, 0, -4.37881, 
0.448869, 4.50976, 105.117, 0.00901664, -0.00665984, 0, -5.68167, 
0.458844, 4.75166, 322.918, 0.00470961, -0.00177695, 0, -2.90233, 
0.468818, 5.01084, 187.899, 0.00775912, -0.00421839, 0, -4.18207, 
0.478793, 5.314, 330.443, 0.00488239, -0.00543912, 0, -8.56944, 
0.488768, 5.4648, 89.53, 0.0105138, -0.00177695, 0, -1.30008, 
0.498743, 5.70356, 323.716, 0.00594679, -0.00543912, 0, -7.03562, 
0.508717, 5.81823, 0, 0.0134569, -0.00543912, 0, -3.10914, 
0.518692, 5.86535, 75.2879, 0.0128318, -0.00543912, 0, -3.26059, 
0.528666, 6.17166, 580.991, 0.00243393, -0.00421839, 0, -13.332, 
0.538641, 6.85338, 593.819, 0.00125067, -0.00543912, 0, -33.4536, 
0.548619, 7.36075, 427.397, 0.00436391, -0.00665984, 0, -11.7394, 
0.558591, 7.93723, 563.536, 0.000950681, -0.00665984, 0, -53.8872, 
0.568567, 8.46345, 481.577, 0.00227715, -0.00543912, 0, -18.3736, 
0.578541, 8.89542, 390.495, 0.00409306, -0.00665984, 0, -12.5162, 
0.588515, 9.31168, 394.122, 0.0039924, -0.00665984, 0, -12.8318, 
0.59849, 9.7138, 398.759, 0.00393208, -0.00421839, 0, -8.25242, 
0.608465, 10.1521, 391.036, 0.00404108, -0.00421839, 0, -8.02984, 
0.61844, 10.4536, 278.133, 0.00678339, -0.00177695, 0, -2.01505, 
0.628414, 10.7804, 285.684, 0.00694235, 0.000664492, 0, 0.736275, 
0.638392, 11.0773, 350.66, 0.00601107, -0.00910128, 0, -11.6468, 
0.648364, 11.4228, 315.887, 0.0070375, -0.000556229, 0, -0.607984, 
0.658341, 11.6632, 89.5739, 0.012414, -0.00543912, 0, -3.37033, 
0.668314, 11.7904, 261.193, 0.00981273, -0.00421839, 0, -3.30685, 
0.678288, 12.2412, 447.255, 0.00595431, -0.00665984, 0, -8.60378, 
0.688263, 12.7611, 526.775, 0.00414077, -0.00299767, 0, -5.56877, 
0.698237, 13.4272, 660.375, 0.0007754, -0.00299767, 0, -29.7382, 
0.708211, 14.0618, 606.33, 0.00145257, -0.00665984, 0, -35.2683, 
0.718187, 14.6555, 563.873, 0.00202904, -0.00421839, 0, -15.9924, 
0.728161, 15.188, 459.122, 0.00411209, -0.00421839, 0, -7.89116, 
0.738137, 15.6546, 443.364, 0.00454856, -0.00177695, 0, -3.0051, 
0.748112, 16.1462, 510.812, 0.00318542, -0.00299767, 0, -7.23894, 
0.758086, 16.6127, 383.181, 0.00600213, 0.000664492, 0, 0.851611, 
0.768061, 17.0039, 383.463, 0.00638454, -0.00788056, 0, -9.49476, 
0.778038, 17.3871, 365.305, 0.00719833, -0.00543912, 0, -5.81237, 
0.788015, 17.7296, 406.627, 0.00690466, -0.00543912, 0, -6.05959, 
0.797984, 18.1804, 338.835, 0.00858768, -0.00299767, 0, -2.68513, 
0.80796, 18.4584, 158.392, 0.0131697, -0.00543912, 0, -3.17694, 
0.817934, 18.9485, 692.978, 0.00215879, -0.00421839, 0, -15.0312, 
