Time [sec], Input Angle [rad], Input Speed [rpm], Input Voltage [V], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00798071, 0, 0, 0.00798071, 0.0872816, 1, 0, 
0.0179525, 0, 0, 0.0179525, 0.0885023, 1, 0, 
0.0279247, 0, 0, 0.0279247, 0.0860609, 1, 0, 
0.0378971, 0, 0, 0.0378971, 0.0860609, 1, 0, 
0.0478698, 0, 0, 0.0478698, 0.0885023, 1, 0, 
0.0578417, 0, 0, 0.0578417, 0.0885023, 1, 0, 
0.0678141, 0, 0, 0.0678141, 0.0860609, 1, 0, 
0.0777868, 0, 0, 0.0777868, 0.0860609, 1, 0, 
0.0877583, 0, 0, 0.0877583, 0.0885023, 1, 0, 
0.0977302, 0, 0, 0.0977302, 0.0860609, 1, 0, 
0.107703, 0, 0, 0.107703, 0.0860609, 1, 0, 
0.117675, 0, 0, 0.117675, 0.089723, 1, 0, 
0.127648, 0, 0, 0.127648, 0.0885023, 1, 0, 
0.13762, 0, 0, 0.13762, 0.0885023, 1, 0, 
0.147592, 0, 0, 0.147592, 0.0909438, 1, 0, 
0.157564, 0, 0, 0.157564, 0.089723, 1, 0, 
0.167536, 0, 0, 0.167536, 0.0909438, 1, 0, 
0.177509, 0, 0, 0.177509, 0.0933852, 1, 0, 
0.187481, 0, 0, 0.187481, 0.089723, 1, 0, 
0.197453, 0, 0, 0.197453, 0.089723, 1, 0, 
0.207426, 0, 0, 0.207426, 0.0982681, 1, 0, 
0.217398, 0, 0, 0.217398, 0.0921645, 1, 0, 
0.22737, 0, 0, 0.22737, 0.0958267, 1, 0, 
0.237342, 0, 0, 0.237342, 0.0933852, 1, 0, 
0.247315, 0, 0, 0.247315, 0.0946059, 1, 0, 
0.257286, 0, 0, 0.257286, 0.0921645, 1, 0, 
0.267259, 0, 0, 0.267259, 0.0933852, 1, 0, 
0.277231, 0, 0, 0.277231, 0.0933852, 1, 0, 
0.287204, 0, 0, 0.287204, 0.0958267, 1, 0, 
0.297176, 0, 0, 0.297176, 0.089723, 1, 0, 
0.307149, 0, 0, 0.307149, 0.0958267, 1, 0, 
0.317121, 0, 0, 0.317121, 0.0946059, 1, 0, 
0.327093, 0, 0, 0.327093, 0.0946059, 1, 0, 
0.337065, 0, 0, 0.337065, 0.0958267, 1, 0, 
0.347037, 0, 0, 0.347037, 0.089723, 1, 0, 
0.35701, 0, 0, 0.35701, 0.0958267, 1, 0, 
0.366982, 0, 0, 0.366982, 0.0946059, 1, 0, 
0.376954, 0, 0, 0.376954, 0.0946059, 1, 0, 
0.386925, 0, 0, 0.386925, 0.0958267, 1, 0, 
0.396899, 0, 0, 0.396899, 0.0946059, 1, 0, 
0.406871, 0, 0, 0.406871, 0.0982681, 1, 0, 
0.416843, 0, 0, 0.416843, 0.0982681, 1, 0, 
0.426816, 0, 0, 0.426816, 0.0982681, 1, 0, 
0.436787, 0, 0, 0.436787, 0.10071, 1, 0, 
0.44676, 0, 0, 0.44676, 0.10071, 1, 0, 
0.456732, 0, 0, 0.456732, 0.0982681, 1, 0, 
0.466705, 0, 0, 0.466705, 0.0994888, 1, 0, 
0.476677, 0, 0, 0.476677, 0.10071, 1, 0, 
0.486649, 0, 0, 0.486649, 0.10071, 1, 0, 
0.496621, 0, 0, 0.496621, 0.0994888, 1, 0, 
0.506594, 0, 0, 0.506594, 0.10071, 1, 0, 
0.516565, 0, 0, 0.516565, 0.0994888, 1, 0, 
0.526538, 0, 0, 0.526538, 0.0982681, 1, 0, 
0.53651, 0, 0, 0.53651, 0.0994888, 1, 0, 
0.546483, 0, 0, 0.546483, 0.0994888, 1, 0, 
0.556455, 0, 0, 0.556455, 0.10193, 1, 0, 
0.566427, 0, 0, 0.566427, 0.104372, 1, 0, 
0.576399, 0, 0, 0.576399, 0.0970474, 1, 0, 
0.586372, 0, 0, 0.586372, 0.0994888, 1, 0, 
0.596345, 0, 0, 0.596345, 0.103151, 1, 0, 
0.606317, 0, 0, 0.606317, 0.10193, 1, 0, 
0.616288, 0, 0, 0.616288, 0.10071, 1, 0, 
0.626261, 0, 0, 0.626261, 0.108034, 1, 0, 
0.636233, 0, 0, 0.636233, 0.103151, 1, 0, 
0.646206, 0, 0, 0.646206, 0.105592, 1, 0, 
0.656178, 0, 0, 0.656178, 0.103151, 1, 0, 
0.66615, 0, 0, 0.66615, 0.108034, 1, 0, 
0.676122, 0, 0, 0.676122, 0.108034, 1, 0, 
0.686095, 0, 0, 0.686095, 0.10193, 1, 0, 
0.696067, 0, 0, 0.696067, 0.104372, 1, 0, 
0.706039, 0, 0, 0.706039, 0.103151, 1, 0, 
0.716011, 0, 0, 0.716011, 0.108034, 1, 0, 
0.725984, 0, 0, 0.725984, 0.105592, 1, 0, 
0.735956, 0, 0, 0.735956, 0.104372, 1, 0, 
0.745928, 0, 0, 0.745928, 0.110475, 1, 0, 
0.7559, 0, 0, 0.7559, 0.105592, 1, 0, 
0.765873, 0, 0, 0.765873, 0.106813, 1, 0, 
0.775845, 0, 0, 0.775845, 0.104372, 1, 0, 
0.785817, 0, 0, 0.785817, 0.108034, 1, 0, 
0.795788, 0, 0, 0.795788, 0.106813, 1, 0, 
0.805762, 0, 0, 0.805762, 0.106813, 1, 0, 
0.815734, 0, 0, 0.815734, 0.104372, 1, 0, 
0.825706, 0, 0, 0.825706, 0.106813, 1, 0, 
0.835678, 0, 0, 0.835678, 0.108034, 1, 0, 
0.845651, 0, 0, 0.845651, 0.110475, 1, 0, 
0.855623, 0, 0, 0.855623, 0.104372, 1, 0, 
0.865595, 0, 0, 0.865595, 0.108034, 1, 0, 
0.875567, 0, 0, 0.875567, 0.111696, 1, 0, 
0.88554, 0, 0, 0.88554, 0.110475, 1, 0, 
0.895512, 0, 0, 0.895512, 0.109255, 1, 0, 
0.905483, 0, 0, 0.905483, 0.111696, 1, 0, 
0.915456, 0, 0, 0.915456, 0.110475, 1, 0, 
0.925429, 0, 0, 0.925429, 0.109255, 1, 0, 
0.935401, 0, 0, 0.935401, 0.110475, 1, 0, 
0.945374, 0, 0, 0.945374, 0.114137, 1, 0, 
0.955346, 0, 0, 0.955346, 0.110475, 1, 0, 
0.965318, 0, 0, 0.965318, 0.114137, 1, 0, 
0.97529, 0, 0, 0.97529, 0.116579, 1, 0, 
0.985262, 0, 0, 0.985262, 0.110475, 1, 0, 
0.995235, 0, 0, 0.995235, 0.112917, 1, 0, 
1.00521, 0, 0, 1.00521, 0.114137, 1, 0, 
1.01518, 0, 0, 1.01518, 0.111696, 1, 0, 
1.02515, 0, 0, 1.02515, 0.116579, 1, 0, 
1.03512, 0, 0, 1.03512, 0.115358, 1, 0, 
1.0451, 0, 0, 1.0451, 0.116579, 1, 0, 
1.05507, 0, 0, 1.05507, 0.112917, 1, 0, 
1.06504, 0, 0, 1.06504, 0.112917, 1, 0, 
