Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00198634, 0, 0, 1.09739e-05, 0.000902327, 0, 0, 
0.0119605, -0.0109956, -30.2056, 0.000135377, 0.00334377, 0, 0, 
0.0219327, -0.015708, 0, 8.76544e-05, 0.000902327, 0, 0, 
0.0319069, -0.0141372, 0, 0.000125932, -0.00153912, 0, 0, 
0.0418795, -0.0141372, 0, 0.000174836, 0.00212305, 0, 0, 
0.0518546, -0.0141372, 0, 0.000232282, 0.00212305, 0, 0, 
0.0618253, -0.0141372, 0, 0.000298153, 0.00212305, 0, 0, 
0.0717991, -0.0141372, 0, 0.000372569, 0.00334377, 0, 0, 
0.0817722, -0.0141372, 0, 0.000455466, -0.000318395, 0, 0, 
0.0917452, -0.0141372, 0, 0.000546877, 0.000902327, 0, 0, 
0.101718, -0.0141372, 0, 0.000646775, 0.000902327, 0, 0, 
0.111692, -0.0141372, 0, 0.000755197, -0.000318395, 0, 0, 
0.121664, -0.0141372, 0, 0.000872082, 0.00578521, 0, 0, 
0.131638, -0.0141372, 0, 0.000997504, 0.00212305, 0, 0, 
0.141611, -0.0125664, 0, 0.00112925, -0.00153912, 0, 0, 
0.151585, -0.0125664, 0, 0.00127168, 0.000902327, 0, 0, 
0.161557, -0.0109956, 0, 0.00142042, 0.00456449, 0, 0, 
0.171532, -0.0109956, 0, 0.00157985, -0.00153912, 0, 0, 
0.181503, -0.00785398, 0, 0.00174343, 0.00212305, 0, 0, 
0.191477, -0.00628319, 0, 0.00191776, -0.000318395, 0, 0, 
0.201449, -0.00628319, 0, 0.00210259, 0.00212305, 0, 0, 
0.211423, -0.00471239, 0, 0.00229387, 0.000902327, 0, 0, 
0.221398, -0.00314159, 0, 0.00249374, 0.00212305, 0, 0, 
0.23137, -0.0015708, 15.0896, 0.00265893, -0.000318395, 0, 0, 
0.241343, 0.00314159, 15.0437, 0.00287151, -0.00153912, 0, 0, 
0.251317, 0.0172788, 15.0904, 0.00307967, 0.000902327, 0, 0, 
0.261289, 0.0518363, 45.109, 0.00318297, -0.00153912, 0, 0, 
0.271262, 0.108385, 75.5131, 0.00326388, 0.000902327, 0, 0, 
0.281235, 0.212058, 105.219, 0.00329114, -0.000318395, 0, 0, 
0.291207, 0.355, 166.398, 0.00318372, -0.00275984, 0, 0, 
0.301181, 0.527788, 165.448, 0.00322145, 0.000902327, 0, 0, 
0.311155, 0.694292, 165.231, 0.00327408, 0.00456449, 0, 0, 
0.321127, 0.874934, 180.536, 0.00327164, -0.00153912, 0, 0, 
0.331101, 1.12155, 285.306, 0.00293327, 0.00578521, 0, 0, 
0.341074, 1.50639, 405.874, 0.00237033, -0.00153912, 0, 0, 
0.351048, 1.87396, 285.349, 0.00252616, 0.00212305, 0, 0, 
0.36102, 2.12215, 210.72, 0.00272201, 0.000902327, 0, 0, 
0.370994, 2.29179, 150.118, 0.00299336, -0.000318395, 0, 0, 
0.380966, 2.42531, 135.342, 0.00319167, -0.000318395, 0, 0, 
0.39094, 2.61223, 240.223, 0.00298516, 0.00212305, 0, 0, 
0.400913, 2.94838, 391.027, 0.0024533, -0.000318395, 0, 0, 
0.410887, 3.34737, 329.286, 0.00245008, 0.00212305, 0, 0, 
0.420859, 3.63954, 240.641, 0.0026769, 0.000902327, 0, 0, 
0.430833, 3.86259, 180.241, 0.00292598, -0.000318395, 0, 0, 
0.440805, 4.03223, 165.465, 0.00312619, 0.00212305, 0, 0, 
0.450778, 4.25215, 257.079, 0.00296352, 0.00212305, 0, 0, 
0.460752, 4.60086, 390.87, 0.00251411, 0.000902327, 0, 0, 
0.470725, 4.97, 316.943, 0.002637, 0.000902327, 0, 0, 
0.480698, 5.25903, 255.638, 0.00284141, 0.00334377, 0, 0, 
0.490672, 5.48208, 165.253, 0.00322694, 0.000902327, 0, 0, 
0.500645, 5.7067, 254.567, 0.00310712, 0.000902327, 0, 0, 
0.510618, 6.04442, 405.43, 0.00266636, -0.000318395, 0, 0, 
0.52059, 6.47953, 360.898, 0.00265823, -0.00153912, 0, 0, 
0.530564, 6.83925, 314.875, 0.00276554, -0.000318395, 0, 0, 
0.540537, 7.15341, 285.821, 0.00289484, 0.000902327, 0, 0, 
0.550511, 7.48956, 375.303, 0.00266526, -0.00153912, 0, 0, 
0.560483, 7.93566, 420.989, 0.00241924, 0.000902327, 0, 0, 
0.570456, 8.30951, 315.132, 0.00271177, 0.00456449, 0, 0, 
0.58043, 8.59854, 255.415, 0.00299654, 0.000902327, 0, 0, 
0.590403, 8.85929, 285.434, 0.00307283, -0.000318395, 0, 0, 
0.600376, 9.20644, 406.113, 0.0027818, -0.000318395, 0, 0, 
0.610349, 9.65411, 375.569, 0.00279337, 0.00334377, 0, 0, 
0.620322, 10.0154, 345.863, 0.00292843, 0.000902327, 0, 0, 
0.630296, 10.328, 270.27, 0.00326906, -0.000318395, 0, 0, 
0.640269, 10.6924, 420.827, 0.00290342, 0.00212305, 0, 0, 
0.650242, 11.1794, 453.792, 0.00271472, 0.000902327, 0, 0, 
0.660215, 11.6066, 406.062, 0.00284535, 0.00212305, 0, 0, 
0.670188, 11.9836, 345.451, 0.00308973, 0.00212305, 0, 0, 
0.680161, 12.4376, 496.229, 0.00263566, 0.00212305, 0, 0, 
0.690135, 12.9229, 420.526, 0.00279264, 0.000902327, 0, 0, 
0.700107, 13.3219, 361.078, 0.00302912, 0.00334377, 0, 0, 
0.710081, 13.7021, 393.591, 0.00303799, -0.000318395, 0, 0, 
0.720054, 14.1969, 526.484, 0.00261333, 0.00212305, 0, 0, 
0.730029, 14.6775, 433.609, 0.00285987, -0.00153912, 0, 0, 
0.740001, 15.1221, 420.716, 0.00293577, 0.00212305, 0, 0, 
0.749973, 15.6169, 540.556, 0.00257372, 0.000902327, 0, 0, 
0.759947, 16.1384, 421.258, 0.00286504, -0.00153912, 0, 0, 
0.769921, 16.5719, 389.861, 0.00303462, 0.00456449, 0, 0, 
0.779893, 17.0102, 496.462, 0.0028124, -0.000318395, 0, 0, 
0.789866, 17.5521, 510.725, 0.00272122, -0.00153912, 0, 0, 
0.799839, 18.0202, 420.633, 0.00303598, 0.000902327, 0, 0, 
0.809811, 18.4521, 438.586, 0.00310032, -0.00153912, 0, 0, 
0.819786, 18.9878, 526.107, 0.00283486, 0.000902327, 0, 0, 
0.829759, 19.4684, 420.509, 0.00320237, 0.00334377, 0, 0, 
0.839731, 19.9146, 449.772, 0.00324107, 0.000902327, 0, 0, 
0.849705, 20.4722, 585.771, 0.00283277, 0.00212305, 0, 0, 
0.859678, 21.0204, 496.247, 0.00308796, 0.00212305, 0, 0, 
0.869652, 21.5403, 525.207, 0.00305287, 0.00212305, 0, 0, 
0.879624, 22.1529, 601.833, 0.00276418, 0.00212305, 0, 0, 
