Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00796049, 0, 0, 0.000141005, -0.0184427, 1, -94.097, 
0.0179355, 0, 0, 0.00029256, -0.0221049, 1, -54.3574, 
0.0279116, 0, 0, 0.000462908, -0.0257671, 1, -40.0457, 
0.0378861, 0, 0, 0.000651972, -0.0269878, 1, -29.7799, 
0.0478615, 0, 0, 0.000859822, -0.0282085, 1, -23.6024, 
0.0578359, 0, 0, 0.00108639, -0.0233256, 1, -15.4466, 
0.0678116, 0, 0, 0.00133176, -0.0269878, 1, -14.579, 
0.0777867, 0, 0, 0.00159586, -0.0294292, 1, -13.2669, 
0.0877625, 0, 0, 0.00187875, -0.0257671, 1, -9.86689, 
0.0977365, 0, 0, 0.00218032, -0.0269878, 1, -8.90497, 
0.107712, 0, 0, 0.0025007, -0.0269878, 1, -7.7641, 
0.117687, 0, 0, 0.00283986, -0.0269878, 1, -6.83685, 
0.127663, 0, 0, 0.00319782, -0.0221049, 1, -4.97302, 
0.137639, 0, 0, 0.00357452, -0.0269878, 1, -5.43169, 
0.147621, 0, 0, 0.00397027, -0.0306499, 1, -5.55386, 
0.157587, 0.0015708, 0, 0.00437925, -0.0245463, 1, -4.03248, 
0.167563, 0.00628319, 0, 0.00479813, -0.0269878, 1, -4.04651, 
0.17754, 0.0172788, 22.5393, 0.00474479, -0.0269878, 1, -4.092, 
0.187514, 0.0439823, 37.5656, 0.00482032, -0.0269878, 1, -4.02788, 
0.197489, 0.0675442, 30.1177, 0.00539471, -0.0233256, 1, -3.11064, 
0.207464, 0.103673, 37.5953, 0.00563771, -0.0184427, 1, -2.35347, 
0.217439, 0.15708, 52.5402, 0.0056914, -0.0111184, 1, -1.40543, 
0.227414, 0.224624, 75.3143, 0.005557, -0.0111184, 1, -1.43942, 
0.237392, 0.309447, 75.064, 0.00587209, -0.00745623, 1, -0.913507, 
0.247366, 0.392699, 82.7428, 0.00604444, -0.00745623, 1, -0.88746, 
0.25734, 0.475951, 74.6983, 0.00656551, -0.0135598, 1, -1.48584, 
0.267319, 0.581195, 111.706, 0.00609537, -0.00867695, 1, -1.02412, 
0.277292, 0.688009, 97.761, 0.00670551, -0.00745623, 1, -0.799968, 
0.287266, 0.779115, 82.6799, 0.0074058, -0.00745623, 1, -0.724323, 
0.29724, 0.892212, 127.893, 0.00679624, -0.000131899, 1, -0.0139623, 
0.307218, 1.06186, 187.181, 0.00574158, -0.00745623, 1, -0.934271, 
0.317192, 1.27392, 218.289, 0.00516769, -0.00379406, 1, -0.528194, 
0.327165, 1.48911, 173.049, 0.00620251, -0.00501479, 1, -0.581661, 
0.337141, 1.64462, 143.024, 0.00711658, -0.00257334, 1, -0.260143, 
0.347117, 1.76558, 105.357, 0.0083132, -0.000131899, 1, -0.0114145, 
0.357091, 1.89438, 143.054, 0.0079264, -0.00623551, 1, -0.565954, 
0.367068, 2.02161, 97.9744, 0.00929717, 0.00353027, 1, 0.273176, 
0.377043, 2.12215, 97.8414, 0.00982505, 0.0145168, 1, 1.06297, 
0.387017, 2.20854, 67.7647, 0.0110414, 0.0181789, 1, 1.18448, 
0.396994, 2.31064, 112.675, 0.0106589, 0.0303861, 1, 2.05092, 
0.406968, 2.45358, 150.071, 0.0103299, 0.0462555, 1, 3.22146, 
0.416942, 2.60595, 173.063, 0.0102929, 0.0633456, 1, 4.42755, 
0.426918, 2.79288, 172.682, 0.0106607, 0.079215, 1, 5.34573, 
0.436893, 2.99865, 195.811, 0.010498, 0.10485, 1, 7.18532, 
0.446869, 3.18715, 165.138, 0.0115336, 0.124382, 1, 7.75851, 
0.456842, 3.35522, 158.281, 0.0121492, 0.145134, 1, 8.59425, 
0.46682, 3.54215, 186.867, 0.0119874, 0.169548, 1, 10.1754, 
0.476793, 3.73535, 220.257, 0.0117207, 0.187859, 1, 11.5309, 
0.486769, 4.00867, 255.554, 0.0111949, 0.219598, 1, 14.1121, 
0.496744, 4.29613, 323.491, 0.00996139, 0.253778, 1, 18.3282, 
0.506723, 4.68411, 397.693, 0.00831443, 0.295283, 1, 25.55, 
0.516693, 5.03126, 294.119, 0.0105313, 0.338008, 1, 23.0902, 
0.526673, 5.32029, 277.622, 0.0111181, 0.385616, 1, 24.9522, 
0.536648, 5.62816, 260.461, 0.0116826, 0.4259, 1, 26.2273, 
0.546619, 5.92033, 293.244, 0.011263, 0.468625, 1, 29.9334, 
0.556596, 6.19522, 232.106, 0.0128843, 0.51013, 1, 28.4842, 
0.566569, 6.33502, 82.7132, 0.0167758, 0.52722, 1, 22.6097, 
0.576545, 6.47011, 158.195, 0.0159914, 0.546751, 1, 24.5974, 
0.58652, 6.62405, 127.851, 0.0173859, 0.565062, 1, 23.3822, 
0.596497, 6.73557, 90.2822, 0.0190776, 0.573607, 1, 21.6309, 
0.606471, 6.87695, 180.776, 0.0180163, 0.587035, 1, 23.4414, 
0.616446, 7.03717, 127.811, 0.0199218, 0.598022, 1, 21.596, 
0.626422, 7.17069, 142.541, 0.0205088, 0.609008, 1, 21.3633, 
0.636396, 7.33091, 159.263, 0.020992, 0.624878, 1, 21.4154, 
0.646374, 7.51783, 202.648, 0.0208561, 0.641968, 1, 22.1444, 
0.656346, 7.75345, 173.48, 0.0221117, 0.659058, 1, 21.443, 
0.666322, 7.8367, 67.6762, 0.0254487, 0.657837, 1, 18.5968, 
0.676298, 7.93566, 104.997, 0.0257603, 0.672486, 1, 18.7809, 
0.686272, 8.06447, 150.238, 0.025834, 0.677369, 1, 18.8633, 
0.696247, 8.21998, 135.813, 0.0270966, 0.681031, 1, 18.0816, 
0.706224, 8.39276, 180.034, 0.0270981, 0.6969, 1, 18.5019, 
0.716197, 8.61111, 211.352, 0.0272514, 0.699342, 1, 18.4623, 
0.726172, 8.8106, 187.698, 0.0286318, 0.709107, 1, 17.8176, 
0.736148, 9.05564, 278.645, 0.0274935, 0.717652, 1, 18.7789, 
0.746124, 9.40593, 370.639, 0.0260371, 0.728639, 1, 20.1328, 
0.756098, 9.77664, 345.705, 0.0269865, 0.72986, 1, 19.4571, 
0.766073, 10.1678, 467.33, 0.0248239, 0.742067, 1, 21.5059, 
0.776048, 10.8086, 722.18, 0.0191407, 0.74695, 1, 28.075, 
0.786024, 11.5831, 660.697, 0.019701, 0.749391, 1, 27.3657, 
0.795998, 12.18, 481.681, 0.0232739, 0.755495, 1, 23.3533, 
0.805974, 12.6795, 443.718, 0.0242041, 0.757936, 1, 22.5284, 
0.81595, 13.0549, 322.418, 0.0272714, 0.761598, 1, 20.0911, 
0.825925, 13.413, 337.572, 0.0275502, 0.766481, 1, 20.0153, 
0.835899, 13.7822, 338.316, 0.0281159, 0.770144, 1, 19.7063, 
