Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00591575, 0, 0, 5.43519e-05, 0.000164492, 1, 2.17729, 
0.0158911, 0, 0, 0.000128215, 0.00260594, 1, 14.6221, 
0.0258662, 0, 0, 0.000211452, 0.00260594, 1, 8.86621, 
0.0358415, 0, 0, 0.000304076, 0.00138521, 1, 3.27733, 
0.0458155, 0, 0, 0.000406053, 0.00382666, 1, 6.77989, 
0.0557915, 0, 0, 0.000517439, -0.00105623, 1, -1.46853, 
0.065766, 0, 0, 0.000638181, -0.00227695, 1, -2.56682, 
0.0757418, 0, 0, 0.000768325, 0.00260594, 1, 2.44008, 
0.0857169, 0, 0, 0.000907834, 0.000164492, 1, 0.130354, 
0.0956924, 0, 0, 0.00105673, 0.00138521, 1, 0.94306, 
0.105666, 0, 0, 0.00121496, 0.000164492, 1, 0.0974021, 
0.115642, 0, 0, 0.00138263, -0.00105623, 1, -0.549587, 
0.125619, 0, 0, 0.00155973, 0.00260594, 1, 1.20199, 
0.135593, 0, 0, 0.0017461, 0.00138521, 1, 0.570734, 
0.145568, 0, 0, 0.00194186, 0.00138521, 1, 0.513198, 
0.155543, 0, 0, 0.002147, 0.00382666, 1, 1.28225, 
0.165519, 0.0015708, 0, 0.00235683, 0.00260594, 1, 0.795464, 
0.175493, 0.0015708, 0, 0.00258071, 0.00138521, 1, 0.386156, 
0.185469, 0.0015708, 0, 0.00281401, 0.00138521, 1, 0.354141, 
0.195445, 0.0015708, 0, 0.00305698, 0.00138521, 1, 0.325994, 
0.20542, 0.00314159, 0, 0.00330402, -0.00105623, 1, -0.229986, 
0.215394, 0.00471239, 0, 0.00356072, 0.00138521, 1, 0.279875, 
0.225368, 0.00628319, 0, 0.00382677, -0.00105623, 1, -0.198569, 
0.235344, 0.015708, 15.0463, 0.00376359, -0.00105623, 1, -0.201902, 
0.24532, 0.0518363, 30.106, 0.00362937, -0.00105623, 1, -0.209369, 
0.255296, 0.0753982, 15.0218, 0.00417357, -0.00105623, 1, -0.182069, 
0.265271, 0.0942478, 15.1881, 0.00442178, 0.000164492, 1, 0.0267629, 
0.275245, 0.122522, 30.0946, 0.00434241, 0.00260594, 1, 0.431736, 
0.285224, 0.15865, 29.8678, 0.00456634, 0.00260594, 1, 0.410564, 
0.295196, 0.212058, 67.8719, 0.00394625, 0.00138521, 1, 0.252533, 
0.305173, 0.273319, 45.0254, 0.00458679, 0.0062681, 1, 0.983133, 
0.31515, 0.339292, 74.3481, 0.00413057, 0.00138521, 1, 0.241264, 
0.325122, 0.413119, 75.1509, 0.00425616, 0.00382666, 1, 0.646825, 
0.335096, 0.490088, 75.1739, 0.00439872, 0.00260594, 1, 0.426209, 
0.345072, 0.55292, 45.1253, 0.00522292, 0.00138521, 1, 0.190804, 
0.355047, 0.617323, 75.0921, 0.00479483, 0.00260594, 1, 0.390999, 
0.365025, 0.697434, 82.0093, 0.00481226, 0.0062681, 1, 0.93707, 
0.374998, 0.780686, 75.1574, 0.00511692, 0.000164492, 1, 0.0231272, 
0.384975, 0.84823, 52.6256, 0.00580709, 0.00138521, 1, 0.17161, 
0.394949, 0.917345, 75.1199, 0.00555883, 0.00382666, 1, 0.495246, 
0.404922, 1.02416, 106.579, 0.00501901, 0.00138521, 1, 0.198556, 
0.414898, 1.15296, 127.819, 0.00463683, 0.00382666, 1, 0.593722, 
0.424876, 1.29748, 134.101, 0.00453085, 0.011151, 1, 1.77059, 
0.434849, 1.42785, 112.667, 0.00505565, 0.0209168, 1, 2.97648, 
0.444827, 1.51739, 67.5807, 0.00620861, 0.0306825, 1, 3.55535, 
0.454799, 1.57551, 60.3659, 0.00667167, 0.0355654, 1, 3.83512, 
0.464774, 1.63206, 52.6377, 0.00715968, 0.0392276, 1, 3.9417, 
0.474749, 1.68861, 53.0373, 0.00748701, 0.0453312, 1, 4.35586, 
0.484725, 1.73887, 30.0578, 0.00833207, 0.0563177, 1, 4.8627, 
0.4947, 1.786, 52.5088, 0.00824462, 0.0612006, 1, 5.34035, 
0.504674, 1.83155, 37.6011, 0.00895347, 0.0660835, 1, 5.30991, 
0.514649, 1.87396, 45.0457, 0.00921319, 0.0709664, 1, 5.5415, 
0.524626, 1.9258, 52.9496, 0.00944422, 0.0758492, 1, 5.7779, 
0.5346, 1.99177, 67.8309, 0.00949597, 0.0917186, 1, 6.9487, 
0.544579, 2.06088, 60.2224, 0.0100191, 0.0941601, 1, 6.76117, 
0.55455, 2.11586, 52.5974, 0.010594, 0.106367, 1, 7.22326, 
0.564525, 2.17398, 60.2704, 0.0108485, 0.116133, 1, 7.70142, 
0.574502, 2.2321, 59.6006, 0.0112883, 0.117354, 1, 7.4792, 
0.584478, 2.30436, 75.6781, 0.0113423, 0.118575, 1, 7.52099, 
0.594451, 2.39546, 98.3332, 0.0112123, 0.12834, 1, 8.23482, 
0.604426, 2.49757, 90.4192, 0.0116987, 0.14421, 1, 8.86837, 
0.614406, 2.60438, 105.08, 0.011708, 0.155196, 1, 9.53635, 
0.624376, 2.74261, 151.715, 0.0109623, 0.172286, 1, 11.3067, 
0.634352, 2.90597, 150.267, 0.0111579, 0.186935, 1, 12.0529, 
0.644327, 3.06462, 157.973, 0.0111852, 0.201584, 1, 12.9657, 
0.654302, 3.22013, 141.923, 0.0117298, 0.221115, 1, 13.5617, 
0.664278, 3.3458, 90.285, 0.0131168, 0.227219, 1, 12.4624, 
0.674252, 3.46361, 135.326, 0.0125129, 0.244309, 1, 14.0464, 
0.684228, 3.60812, 135.627, 0.0127752, 0.256516, 1, 14.4455, 
0.694202, 3.74635, 150.462, 0.0127614, 0.272385, 1, 15.3557, 
0.704179, 3.95684, 233.048, 0.0111213, 0.295579, 1, 19.1207, 
0.714152, 4.20345, 218.34, 0.0114197, 0.312669, 1, 19.6977, 
0.724128, 4.47834, 301.313, 0.00959691, 0.340746, 1, 25.5437, 
0.734104, 4.82706, 354.616, 0.00818362, 0.36516, 1, 32.1013, 
0.744086, 5.15221, 285.147, 0.0094219, 0.370043, 1, 28.2552, 
0.754054, 5.43024, 255.336, 0.00997968, 0.373705, 1, 26.94, 
0.764029, 5.68157, 225.669, 0.0106242, 0.371264, 1, 25.1404, 
0.774004, 5.92347, 262.849, 0.00990642, 0.367602, 1, 26.696, 
0.783979, 6.2235, 315.99, 0.00868929, 0.371264, 1, 30.7386, 
0.793954, 6.45911, 135.243, 0.0125733, 0.36394, 1, 20.824, 
0.803929, 6.58478, 128.015, 0.0131623, 0.361498, 1, 19.7587, 
0.813904, 6.72772, 135.374, 0.0134034, 0.362719, 1, 19.4689, 
0.82388, 6.8848, 165.467, 0.0131354, 0.36516, 1, 19.9997, 
0.833856, 7.0513, 128.171, 0.0142602, 0.361498, 1, 18.2375, 
