Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00190976, 0, 0, 5.58054e-05, 0.00334377, 0, 43.1068, 
0.0118842, 0, 0, 0.000195967, 0.00212305, 0, 7.79403, 
0.0218589, 0, 0, 0.000354902, 0.00212305, 0, 4.30364, 
0.0318342, 0, 0, 0.00053261, 0.00212305, 0, 2.86771, 
0.0418094, 0, 0, 0.000729062, 0.00212305, 0, 2.09498, 
0.0517838, 0, 0, 0.000944267, 0.00578521, 0, 4.40768, 
0.0617582, 0, 0, 0.00117821, 0.00822666, 0, 5.02326, 
0.0717335, 0, 0, 0.00143094, 0.00456449, 0, 2.29485, 
0.081707, 0, 0, 0.00170236, 0.00212305, 0, 0.897207, 
0.0916831, 0, 0, 0.00199263, 0.00578521, 0, 2.08871, 
0.101658, 0, 0, 0.0023016, 0.00578521, 0, 1.80832, 
0.111632, 0.0015708, 7.51342, 0.00246728, 0.00700594, 0, 2.04284, 
0.12161, 0.00471239, 7.46146, 0.00280601, 0.000902327, 0, 0.231345, 
0.131582, 0.00628319, 7.52012, 0.00316478, 0.00212305, 0, 0.482616, 
0.141557, 0.0109956, 7.52698, 0.00353444, 0.00456449, 0, 0.929088, 
0.151531, 0.0172788, 7.48942, 0.00391951, 0.000902327, 0, 0.165622, 
0.161507, 0.0219911, 7.5222, 0.00432628, 0.000902327, 0, 0.15005, 
0.171481, 0.0298451, 7.51873, 0.00474258, 0.00700594, 0, 1.06276, 
0.181456, 0.0439823, 30.0757, 0.0046868, 0.00700594, 0, 1.07541, 
0.191431, 0.076969, 30.026, 0.00506662, 0.00456449, 0, 0.648126, 
0.201405, 0.103673, 22.6533, 0.00563742, 0.00334377, 0, 0.426718, 
0.21138, 0.11781, 7.5207, 0.00642725, 0.00334377, 0, 0.37428, 
0.221354, 0.130376, 15.1737, 0.00676323, 0.00334377, 0, 0.355687, 
0.23133, 0.164934, 37.6021, 0.00674262, 0.00334377, 0, 0.356774, 
0.241304, 0.172788, 0, 0.00807814, 0.00334377, 0, 0.29779, 
0.25128, 0.180642, 7.5328, 0.00848709, 0.00578521, 0, 0.490395, 
0.261255, 0.191637, 7.51471, 0.00906375, 0.000902327, 0, 0.0716212, 
0.271229, 0.245044, 75.1606, 0.00811441, 0.00456449, 0, 0.404688, 
0.281204, 0.320442, 83.1101, 0.00836824, 0.00334377, 0, 0.287467, 
0.291179, 0.417832, 89.5172, 0.00860812, -0.000318395, 0, -0.0266099, 
0.301153, 0.51365, 105.271, 0.00867386, 0.00334377, 0, 0.277338, 
0.311129, 0.644026, 150.323, 0.00804217, -0.000318395, 0, -0.0284825, 
0.321103, 0.805819, 151.343, 0.00825699, 0.00212305, 0, 0.184979, 
0.331077, 1.0006, 210.73, 0.00716915, -0.000318395, 0, -0.0319509, 
0.341053, 1.23465, 225.494, 0.006917, 0.000902327, 0, 0.0938494, 
0.351027, 1.50168, 278.06, 0.00579264, 0.000902327, 0, 0.112066, 
0.361002, 1.80327, 287.947, 0.00547741, 0.00212305, 0, 0.27885, 
0.370982, 2.06874, 262.421, 0.00603151, -0.000318395, 0, -0.0379774, 
0.380952, 2.41431, 369.121, 0.00359372, 0.00334377, 0, 0.669388, 
0.390926, 2.829, 397.831, 0.0026011, 0.00334377, 0, 0.924835, 
0.400901, 3.26569, 428.705, 0.00151611, 0.00578521, 0, 2.74521, 
0.410875, 3.65838, 288.003, 0.00417522, 0.00212305, 0, 0.365819, 
0.42085, 3.88615, 180.527, 0.00665183, -0.000318395, 0, -0.0344358, 
0.430825, 4.10763, 232.777, 0.00582115, 0.000902327, 0, 0.111517, 
0.440799, 4.34954, 233.176, 0.00603345, 0.00334377, 0, 0.398709, 
0.450774, 4.67469, 362.583, 0.0033132, 0.00212305, 0, 0.460997, 
0.46075, 5.02498, 256.17, 0.00547505, 0.000902327, 0, 0.118566, 
0.470726, 5.19777, 165.131, 0.00786675, -0.000318395, 0, -0.0291176, 
0.4807, 5.45223, 256.372, 0.00621373, 0.00212305, 0, 0.245806, 
0.490673, 5.74126, 300.342, 0.00546604, 0.00212305, 0, 0.279429, 
0.500647, 6.05699, 323.966, 0.00508302, -0.00153912, 0, -0.217838, 
0.510623, 6.40414, 323.638, 0.00512658, 0.00334377, 0, 0.469239, 
0.520599, 6.63033, 181.979, 0.00851173, 0.00334377, 0, 0.282621, 
0.530573, 6.82197, 187.889, 0.0089302, 0.00212305, 0, 0.171035, 
0.540547, 7.08586, 263.632, 0.00768431, 0.00334377, 0, 0.313052, 
0.550523, 7.36075, 271.439, 0.00784925, 0.000902327, 0, 0.082703, 
0.560498, 7.66392, 330.97, 0.00686461, 0.000902327, 0, 0.0945656, 
0.570472, 8.07861, 447.985, 0.00436023, 0.00334377, 0, 0.551712, 
0.580447, 8.53099, 436.176, 0.00445959, 0.000902327, 0, 0.145564, 
0.590422, 8.99438, 479.868, 0.00338391, -0.00275984, 0, -0.586746, 
0.600396, 9.55987, 586.269, 0.000704038, 0.00456449, 0, 4.66425, 
0.610372, 10.0295, 316.065, 0.00621988, 0.00700594, 0, 0.810343, 
0.620347, 10.3406, 345.504, 0.00595433, 0.00212305, 0, 0.256515, 
0.63032, 10.771, 443.893, 0.00390539, 0.00334377, 0, 0.615967, 
0.640296, 11.2249, 406.125, 0.00465632, 0.000902327, 0, 0.139414, 
0.65027, 11.5642, 308.377, 0.00702598, 0.00578521, 0, 0.592376, 
0.660245, 11.9522, 398.813, 0.00532726, 0.00700594, 0, 0.946122, 
0.670222, 12.3245, 346.74, 0.00667931, 0.00578521, 0, 0.623121, 
0.680194, 12.7313, 429, 0.00513239, 0.00334377, 0, 0.468708, 
0.690169, 13.0989, 295.395, 0.00824346, 0.00334377, 0, 0.291818, 
0.700146, 13.4005, 277.576, 0.00914696, 0.00334377, 0, 0.262993, 
0.710119, 13.7366, 353.536, 0.00799969, 0.000902327, 0, 0.0811477, 
0.720094, 14.1906, 507.425, 0.00488665, 0.00212305, 0, 0.312561, 
0.730068, 14.7356, 481.487, 0.00528503, 0.00334377, 0, 0.455171, 
0.740043, 15.2336, 526.187, 0.00436427, 0.00334377, 0, 0.551201, 
0.75002, 15.8776, 635.544, 0.00167262, 0.00334377, 0, 1.43821, 
0.759992, 16.385, 383.642, 0.0069704, 0.00822666, 0, 0.849085, 
0.769967, 16.8468, 518.124, 0.00433408, 0.00212305, 0, 0.35241, 
0.779942, 17.3824, 516.744, 0.00434123, 0.00212305, 0, 0.35183, 
0.789918, 17.8552, 413.365, 0.00669029, -0.00153912, 0, -0.165505, 
0.799891, 18.3013, 429.255, 0.00664057, 0.00334377, 0, 0.362256, 
0.809866, 18.738, 443.716, 0.00666831, 0.00578521, 0, 0.62415, 
0.819844, 19.2454, 458.294, 0.00650057, 0.00456449, 0, 0.505157, 
