Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00996979, -0.00785398, -22.586, 0.000666654, -0.00555623, 0.2, -5.911, 
0.0199429, -0.0219911, 0, 0.000391346, -0.00189406, 0.2, -3.43253, 
0.0299128, -0.0204204, 0, 0.000560616, -0.00433551, 0.2, -5.48473, 
0.0398855, -0.0204204, 0, 0.000753417, -0.000673342, 0.2, -0.633843, 
0.0498572, -0.0204204, 0, 0.000964935, -0.00433551, 0.2, -3.18657, 
0.0598292, -0.0204204, 0, 0.00119521, -0.000673342, 0.2, -0.399551, 
0.0698005, -0.0188496, 0, 0.00143948, -0.00555623, 0.2, -2.73751, 
0.0797737, -0.0172788, 0, 0.00170257, -0.00311479, 0.2, -1.29749, 
0.0897453, -0.015708, 0, 0.00198435, -0.00189406, 0.2, -0.676952, 
0.0997178, -0.0141372, 0, 0.0022849, -0.00311479, 0.2, -0.966814, 
0.10969, -0.00942478, 7.53892, 0.00243685, -0.00555623, 0.2, -1.61708, 
0.119662, -0.00471239, 7.5112, 0.00276604, -0.00433551, 0.2, -1.11163, 
0.129634, 0, 0, 0.00327077, -0.00311479, 0.2, -0.675396, 
0.139607, 0.00314159, 7.51373, 0.00348424, -0.00555623, 0.2, -1.13097, 
0.149578, 0.0251327, 37.4761, 0.00318983, -0.00311479, 0.2, -0.692535, 
0.15955, 0.0675442, 45.1728, 0.00331892, -0.00189406, 0.2, -0.404743, 
0.16952, 0.125664, 75.3073, 0.00294988, -0.00555623, 0.2, -1.33585, 
0.179494, 0.205774, 83.2918, 0.00299759, 0.00298882, 0.2, 0.707144, 
0.189466, 0.318872, 112.692, 0.00251651, 0.0127546, 0.2, 3.59458, 
0.199438, 0.450819, 142.742, 0.00198392, 0.0237411, 0.2, 8.48705, 
0.20941, 0.601615, 127.556, 0.00236125, 0.037169, 0.2, 11.164, 
0.219381, 0.725708, 120.282, 0.00267122, 0.0432726, 0.2, 11.4891, 
0.229353, 0.837234, 90.1767, 0.00351611, 0.0530384, 0.2, 10.6982, 
0.239326, 0.934624, 97.6401, 0.00363539, 0.0542591, 0.2, 10.5853, 
0.249297, 1.01945, 83.0361, 0.00427306, 0.0628042, 0.2, 10.4239, 
0.259271, 1.13254, 134.935, 0.00345229, 0.0664664, 0.2, 13.6545, 
0.269243, 1.27549, 96.9669, 0.00444313, 0.0774528, 0.2, 12.3632, 
0.279212, 1.39015, 135.366, 0.00393659, 0.0835565, 0.2, 15.0536, 
0.289186, 1.52524, 119.436, 0.00452727, 0.0896601, 0.2, 14.0457, 
0.299156, 1.66347, 120.34, 0.00477283, 0.0933222, 0.2, 13.8672, 
0.309129, 1.79385, 157.856, 0.00429492, 0.0994258, 0.2, 16.4182, 
0.319103, 2.02633, 223.436, 0.00294278, 0.105529, 0.2, 25.433, 
0.329072, 2.24938, 233.308, 0.00280203, 0.109192, 0.2, 27.6374, 
0.339045, 2.44102, 120.257, 0.00534996, 0.111633, 0.2, 14.7987, 
0.349015, 2.59653, 182.321, 0.00435721, 0.111633, 0.2, 18.1704, 
0.358988, 2.8023, 173.158, 0.00472446, 0.111633, 0.2, 16.758, 
0.368961, 2.97666, 197.108, 0.00451121, 0.110412, 0.2, 17.3582, 
0.378935, 3.17301, 156.66, 0.00560062, 0.110412, 0.2, 13.9818, 
0.388904, 3.38035, 239.982, 0.00408113, 0.110412, 0.2, 19.1875, 
0.398877, 3.66467, 286.332, 0.0031251, 0.115295, 0.2, 26.1655, 
0.408849, 3.95841, 232.155, 0.00426533, 0.109192, 0.2, 18.1559, 
0.418822, 4.17361, 208.951, 0.00501175, 0.115295, 0.2, 16.3156, 
0.4288, 4.43436, 262.558, 0.00402966, 0.109192, 0.2, 19.2177, 
0.438766, 4.66841, 225.972, 0.0050358, 0.112854, 0.2, 15.8938, 
0.448736, 4.91188, 235.155, 0.00507404, 0.116516, 0.2, 16.2859, 
0.458708, 5.19305, 292.933, 0.00400063, 0.112854, 0.2, 20.0064, 
0.46868, 5.52135, 308.047, 0.00369786, 0.114075, 0.2, 21.8786, 
0.478653, 5.77425, 217.064, 0.0058635, 0.115295, 0.2, 13.9455, 
0.488625, 6.04128, 279.614, 0.00478789, 0.116516, 0.2, 17.2593, 
0.498596, 6.30675, 240.778, 0.00585922, 0.115295, 0.2, 13.9557, 
0.508567, 6.60049, 302.974, 0.00474914, 0.114075, 0.2, 17.0355, 
0.518541, 6.96648, 384.31, 0.00304053, 0.120178, 0.2, 28.0322, 
0.528513, 7.29478, 254.064, 0.00589582, 0.121399, 0.2, 14.6033, 
0.538485, 7.59009, 300.777, 0.00516024, 0.116516, 0.2, 16.0139, 
0.548459, 7.93723, 320.646, 0.00485322, 0.120178, 0.2, 17.5621, 
0.558435, 8.26082, 360.765, 0.0042085, 0.12384, 0.2, 20.8696, 
0.568405, 8.70378, 394.557, 0.00335787, 0.116516, 0.2, 24.6095, 
0.578372, 9.01166, 310.766, 0.00539339, 0.115295, 0.2, 15.1611, 
0.588347, 9.37765, 350.843, 0.00468175, 0.115295, 0.2, 17.4656, 
0.598316, 9.72794, 345.915, 0.00497462, 0.12384, 0.2, 17.6556, 
0.608288, 10.1788, 472.527, 0.00223228, 0.118957, 0.2, 37.794, 
0.618261, 10.5479, 285.141, 0.00632894, 0.114075, 0.2, 12.7832, 
0.628232, 10.9312, 413.725, 0.00378461, 0.120178, 0.2, 22.5209, 
0.638207, 11.305, 343.871, 0.00544553, 0.115295, 0.2, 15.0159, 
0.648178, 11.7668, 476.115, 0.00262624, 0.117737, 0.2, 31.7949, 
0.658148, 12.1517, 300.731, 0.00649802, 0.120178, 0.2, 13.1167, 
0.66812, 12.5334, 432.69, 0.00396489, 0.116516, 0.2, 20.8418, 
0.678093, 12.9622, 398.216, 0.00479091, 0.117737, 0.2, 17.4291, 
0.688066, 13.4586, 484.418, 0.00290987, 0.117737, 0.2, 28.6958, 
0.698035, 13.8481, 341.801, 0.00615525, 0.115295, 0.2, 13.2845, 
0.708007, 14.299, 452.386, 0.00393527, 0.116516, 0.2, 20.9987, 
0.717985, 14.7639, 501.694, 0.00297638, 0.126282, 0.2, 30.0907, 
0.727951, 15.2524, 376.895, 0.00560962, 0.112854, 0.2, 14.268, 
0.737927, 15.6671, 448.484, 0.00437372, 0.120178, 0.2, 19.4874, 
0.747895, 16.1368, 435.792, 0.00475158, 0.120178, 0.2, 17.9378, 
0.757867, 16.6567, 495.9, 0.00347537, 0.115295, 0.2, 23.5283, 
0.767841, 17.084, 394.952, 0.00587143, 0.120178, 0.2, 14.5165, 
0.777811, 17.5631, 452.225, 0.00481195, 0.114075, 0.2, 16.8131, 
0.787783, 18.072, 541.638, 0.00301073, 0.118957, 0.2, 28.0221, 
