Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.0098957, 0, 0, 0.000167162, -0.00311479, 1, -13.2152, 
0.0198723, 0, 0, 0.000322391, -0.00433551, 1, -9.53758, 
0.0298462, 0, 0, 0.000496334, -0.00189406, 1, -2.70646, 
0.0398223, 0, 0, 0.000689085, -0.00555623, 1, -5.71858, 
0.0497964, 0, 0, 0.000900538, -0.00555623, 1, -4.37581, 
0.0597714, 0, 0, 0.00113076, -0.00433551, 1, -2.71925, 
0.0697461, 0, 0, 0.00137974, 0.0017681, 1, 0.908844, 
0.0797219, 0, 0, 0.00164755, -0.00555623, 1, -2.39178, 
0.0896956, 0, 0, 0.00193401, -0.00433551, 1, -1.58987, 
0.0996704, 0, 0, 0.00223925, -0.00433551, 1, -1.37315, 
0.109646, 0.00314159, 0, 0.00255383, -0.00311479, 1, -0.865001, 
0.11962, 0.00628319, 7.5254, 0.00272952, -0.00189406, 1, -0.492142, 
0.129598, 0.015708, 14.9588, 0.00290746, -0.00433551, 1, -1.05756, 
0.13957, 0.0408407, 22.5886, 0.00305216, -0.00433551, 1, -1.00743, 
0.149545, 0.076969, 37.7549, 0.00302511, -0.00311479, 1, -0.730244, 
0.159522, 0.135088, 67.0548, 0.00265549, -0.00311479, 1, -0.831886, 
0.169495, 0.199491, 52.6997, 0.00319883, -0.000673342, 1, -0.149288, 
0.179471, 0.260752, 75.0867, 0.00300176, -0.00555623, 1, -1.31276, 
0.189445, 0.325155, 45.1953, 0.00390838, -0.00555623, 1, -1.00824, 
0.19942, 0.395841, 98.184, 0.00307931, -0.00311479, 1, -0.717391, 
0.209396, 0.515221, 104.901, 0.00309238, -0.00555623, 1, -1.27429, 
0.21937, 0.59219, 67.6913, 0.00417079, -0.00189406, 1, -0.322075, 
0.229345, 0.683296, 113.792, 0.00348096, -0.00311479, 1, -0.634615, 
0.239321, 0.804248, 112.672, 0.00370957, -0.00555623, 1, -1.06228, 
0.249296, 0.942478, 135.574, 0.00340164, -0.000673342, 1, -0.140388, 
0.259272, 1.12312, 217.813, 0.00174279, -0.00555623, 1, -2.26109, 
0.269244, 1.36345, 225.781, 0.00147878, -0.00189406, 1, -0.908389, 
0.279219, 1.58493, 225.419, 0.00146482, -0.00189406, 1, -0.917048, 
0.289196, 1.75301, 120.207, 0.00382583, -0.000673342, 1, -0.124822, 
0.299169, 1.88967, 143.058, 0.00361741, 0.0017681, 1, 0.346649, 
0.309146, 2.05303, 165.252, 0.00336202, -0.00433551, 1, -0.914577, 
0.319119, 2.1944, 127.576, 0.00444463, -0.00433551, 1, -0.691807, 
0.329095, 2.3719, 188.013, 0.00338288, -0.00189406, 1, -0.39709, 
0.339068, 2.56511, 180.407, 0.0037179, -0.00555623, 1, -1.05989, 
0.349046, 2.8133, 290.8, 0.00143658, -0.00311479, 1, -1.53773, 
0.359018, 3.10546, 262.867, 0.00193682, -0.00433551, 1, -1.58757, 
0.368994, 3.32538, 165.934, 0.00411883, -0.00189406, 1, -0.326138, 
0.378968, 3.48088, 165.41, 0.00449368, -0.00311479, 1, -0.491595, 
0.388944, 3.70394, 194.827, 0.00405812, -0.00311479, 1, -0.544357, 
0.398919, 3.90029, 210.761, 0.00400279, -0.00433551, 1, -0.768171, 
0.408892, 4.14062, 233.314, 0.0036959, 0.000547379, 1, 0.105039, 
0.41887, 4.44535, 329.917, 0.00166479, -0.00555623, 1, -2.36702, 
0.428844, 4.79407, 292.919, 0.00231749, -0.00189406, 1, -0.57964, 
0.438817, 5.0077, 195.408, 0.00466125, -0.00555623, 1, -0.845392, 
0.448792, 5.26374, 248.158, 0.00375004, -0.00189406, 1, -0.358212, 
0.458767, 5.51507, 248.26, 0.00397431, -0.00189406, 1, -0.337998, 
0.468743, 5.7821, 286.927, 0.00336253, -0.00555623, 1, -1.17191, 
0.478718, 6.18108, 413.038, 0.000542427, -0.00433551, 1, -5.66865, 
0.488693, 6.50624, 224.503, 0.00455323, -0.000673342, 1, -0.104881, 
0.49867, 6.75914, 290.833, 0.00346108, -0.00189406, 1, -0.388119, 
0.508645, 7.0513, 254.578, 0.00441769, -0.000673342, 1, -0.108099, 
0.518621, 7.35604, 323.887, 0.00314457, -0.00433551, 1, -0.977821, 
0.528592, 7.76759, 417.895, 0.00105197, -0.00433551, 1, -2.92293, 
0.538567, 8.12887, 263.002, 0.0043427, -0.00433551, 1, -0.708046, 
0.548541, 8.40847, 295.612, 0.0039701, -0.00433551, 1, -0.774497, 
0.558516, 8.73677, 315.855, 0.00372931, -0.00433551, 1, -0.824504, 
0.568493, 9.10591, 410.062, 0.00183747, -0.00189406, 1, -0.731063, 
0.578471, 9.5583, 403.288, 0.00182742, -0.00433551, 1, -1.68261, 
0.588445, 9.85518, 263.702, 0.00508324, -0.00189406, 1, -0.264262, 
0.598416, 10.2039, 368.668, 0.00308111, -0.00311479, 1, -0.716971, 
0.608391, 10.5589, 347.029, 0.00373119, -0.00311479, 1, -0.592054, 
0.618368, 11.0568, 511.9, 6.54929e-05, -0.00433551, 1, -46.949, 
0.628342, 11.4197, 262.858, 0.00549189, 0.0017681, 1, 0.228332, 
0.638316, 11.77, 407.557, 0.00272801, -0.000673342, 1, -0.175054, 
0.648294, 12.1627, 394.815, 0.00315569, -0.00189406, 1, -0.425678, 
0.658269, 12.6559, 464.806, 0.00156431, -0.000673342, 1, -0.305278, 
0.668246, 12.9999, 284.94, 0.00567391, -0.00555623, 1, -0.69451, 
0.678216, 13.3958, 424.608, 0.0029534, -0.00189406, 1, -0.454834, 
0.68819, 13.8387, 451.594, 0.00247085, -0.00555623, 1, -1.59483, 
0.698165, 14.3445, 443.978, 0.00254403, -0.00555623, 1, -1.54896, 
0.708145, 14.7027, 330.706, 0.00529165, -0.00189406, 1, -0.253854, 
0.718115, 15.1346, 458.624, 0.00278377, 0.0017681, 1, 0.450459, 
0.728089, 15.6153, 483.818, 0.00230071, -0.00433551, 1, -1.33647, 
0.738065, 16.0818, 364.025, 0.00491601, -0.00433551, 1, -0.625473, 
0.748041, 16.4714, 422.643, 0.00404416, -0.00189406, 1, -0.33216, 
0.758015, 16.9583, 481.47, 0.00289419, -0.00189406, 1, -0.464139, 
0.76799, 17.5159, 491.73, 0.00257097, -0.00311479, 1, -0.859236, 
0.777965, 17.9008, 365.141, 0.00564819, -0.00433551, 1, -0.544392, 
0.787938, 18.4003, 496.786, 0.00298881, -0.000673342, 1, -0.159779, 
0.797915, 18.9579, 533.47, 0.0021663, -0.00311479, 1, -1.01974, 
0.807888, 19.4135, 406.882, 0.00508728, -0.00433551, 1, -0.604415, 
0.817866, 19.9083, 514.229, 0.00301318, -0.00433551, 1, -1.02046, 
0.827839, 20.5036, 596.198, 0.00118223, -0.00311479, 1, -1.86857, 
