Time [sec], Input Angle [rad], Input Speed [rpm], Input Torque [Nm], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.00391697, 0, 0, 7.83394e-05, -0.00398056, 1, 0, 
0.0138889, 0, 0, 0.000277779, -0.00275984, 1, 0, 
0.0238629, 0, 0, 0.000477259, -0.00275984, 1, 0, 
0.0338348, 0, 0, 0.000676696, -0.00275984, 1, 0, 
0.0438075, 0, 0, 0.00087615, -0.000318395, 1, 0, 
0.0537794, 0, 0, 0.00107559, 0.000902327, 1, 0, 
0.0637553, 0, 0, 0.00127511, -0.000318395, 1, 0, 
0.0737267, 0, 0, 0.00147453, 0.000902327, 1, 0, 
0.0836987, 0, 0, 0.00167397, -0.00153912, 1, 0, 
0.0936709, 0, 0, 0.00187342, -0.00153912, 1, 0, 
0.103644, 0, 0, 0.00207288, -0.00153912, 1, 0, 
0.113616, 0, 0, 0.00227232, -0.00153912, 1, 0, 
0.123589, 0, 0, 0.00247179, -0.00275984, 1, 0, 
0.133562, 0, 0, 0.00267124, -0.00153912, 1, 0, 
0.143535, 0, 0, 0.00287069, -0.00153912, 1, 0, 
0.153507, 0, 0, 0.00307014, -0.000318395, 1, 0, 
0.16348, 0, 0, 0.0032696, -0.00275984, 1, 0, 
0.173452, 0, 0, 0.00346904, 0.00334377, 1, 0, 
0.183426, 0, 0, 0.00366851, -0.000318395, 1, 0, 
0.193397, 0, 0, 0.00386795, 0.000902327, 1, 0, 
0.203371, 0, 0, 0.00406742, 0.00212305, 1, 0, 
0.213343, 0, 0, 0.00426687, 0.00212305, 1, 0, 
0.223316, 0, 0, 0.00446633, 0.00212305, 1, 0, 
0.233288, 0, 0, 0.00466575, 0.000902327, 1, 0, 
0.243261, 0, 0, 0.00486523, -0.000318395, 1, 0, 
0.253234, 0, 0, 0.00506468, -0.000318395, 1, 0, 
0.263207, 0, 0, 0.00526414, 0.00212305, 1, 0, 
0.273179, 0, 0, 0.00546358, 0.00334377, 1, 0, 
0.283152, 0, 0, 0.00566304, 0.00334377, 1, 0, 
0.293125, 0, 0, 0.0058625, 0.000902327, 1, 0, 
0.303098, 0, 0, 0.00606196, 0.00700594, 1, 0, 
0.31307, 0, 0, 0.00626139, 0.00212305, 1, 0, 
0.323043, 0, 0, 0.00646086, -0.000318395, 1, 0, 
0.333015, 0, 0, 0.0066603, 0.000902327, 1, 0, 
0.342989, 0, 0, 0.00685978, 0.00456449, 1, 0, 
0.35296, 0, 0, 0.00705921, 0.00212305, 1, 0, 
0.362933, 0, 0, 0.00725867, 0.00334377, 1, 0, 
0.372906, 0, 0, 0.00745811, 0.00456449, 1, 0, 
0.38288, 0, 0, 0.00765759, 0.00212305, 1, 0, 
0.392852, 0, 0, 0.00785703, 0.00334377, 1, 0, 
0.402824, 0, 0, 0.00805648, 0.00578521, 1, 0, 
0.412797, 0, 0, 0.00825593, 0.00212305, 1, 0, 
0.42277, 0, 0, 0.0084554, 0.00700594, 1, 0, 
0.432742, 0, 0, 0.00865485, 0.00944738, 1, 0, 
0.442715, 0, 0, 0.00885431, 0.00578521, 1, 0, 
0.452687, 0, 0, 0.00905375, 0.00700594, 1, 0, 
0.46266, 0, 0, 0.0092532, 0.00578521, 1, 0, 
0.472633, 0, 0, 0.00945266, 0.00822666, 1, 0, 
0.482606, 0, 0, 0.00965213, 0.00334377, 1, 0, 
0.492578, 0, 0, 0.00985156, 0.0106681, 1, 0, 
0.502552, 0, 0, 0.010051, 0.00700594, 1, 0, 
0.512523, 0, 0, 0.0102505, 0.00456449, 1, 0, 
0.522497, 0, 0, 0.0104499, 0.00944738, 1, 0, 
0.532469, 0, 0, 0.0106494, 0.00822666, 1, 0, 
0.542442, 0, 0, 0.0108488, 0.0106681, 1, 0, 
0.552414, 0, 0, 0.0110483, 0.00822666, 1, 0, 
0.562388, 0, 0, 0.0112478, 0.00456449, 1, 0, 
0.57236, 0, 0, 0.0114472, 0.00944738, 1, 0, 
0.582333, 0, 0, 0.0116467, 0.0106681, 1, 0, 
0.592304, 0, 0, 0.0118461, 0.00700594, 1, 0, 
0.602277, 0, 0, 0.0120455, 0.00822666, 1, 0, 
0.612251, 0, 0, 0.012245, 0.0106681, 1, 0, 
0.622224, 0, 0, 0.0124445, 0.0106681, 1, 0, 
0.632196, 0, 0, 0.0126439, 0.0106681, 1, 0, 
0.642169, 0, 0, 0.0128434, 0.0106681, 1, 0, 
0.652142, 0, 0, 0.0130428, 0.0118888, 1, 0, 
0.662115, 0, 0, 0.0132423, 0.0106681, 1, 0, 
0.672086, 0, 0, 0.0134417, 0.0118888, 1, 0, 
0.68206, 0, 0, 0.0136412, 0.0106681, 1, 0, 
0.692032, 0, 0, 0.0138406, 0.0106681, 1, 0, 
0.702006, 0, 0, 0.0140401, 0.0131095, 1, 0, 
0.711977, 0, 0, 0.0142395, 0.0118888, 1, 0, 
0.72195, 0, 0, 0.014439, 0.0118888, 1, 0, 
0.731923, 0, 0, 0.0146385, 0.0106681, 1, 0, 
0.741896, 0, 0, 0.0148379, 0.0167717, 1, 0, 
0.751868, 0, 0, 0.0150374, 0.0118888, 1, 0, 
0.761842, 0, 0, 0.0152368, 0.0118888, 1, 0, 
0.771813, 0, 0, 0.0154363, 0.0118888, 1, 0, 
0.781787, 0, 0, 0.0156357, 0.0106681, 1, 0, 
0.791759, 0, 0, 0.0158352, 0.0143303, 1, 0, 
0.801732, 0, 0, 0.0160346, 0.015551, 1, 0, 
0.811705, 0, 0, 0.0162341, 0.0106681, 1, 0, 
0.821678, 0, 0, 0.0164336, 0.0143303, 1, 0, 
0.831649, 0, 0, 0.016633, 0.015551, 1, 0, 
0.841623, 0, 0, 0.0168325, 0.015551, 1, 0, 
0.851596, 0, 0, 0.0170319, 0.0167717, 1, 0, 
0.861568, 0, 0, 0.0172314, 0.0143303, 1, 0, 
0.87154, 0, 0, 0.0174308, 0.015551, 1, 0, 
0.881514, 0, 0, 0.0176303, 0.015551, 1, 0, 
0.891486, 0, 0, 0.0178297, 0.0143303, 1, 0, 
0.901459, 0, 0, 0.0180292, 0.0143303, 1, 0, 
0.911431, 0, 0, 0.0182286, 0.015551, 1, 0, 
0.921405, 0, 0, 0.0184281, 0.015551, 1, 0, 
0.931377, 0, 0, 0.0186275, 0.0167717, 1, 0, 
0.94135, 0, 0, 0.018827, 0.015551, 1, 0, 
0.951322, 0, 0, 0.0190264, 0.0192132, 1, 0, 
0.961295, 0, 0, 0.0192259, 0.0167717, 1, 0, 
0.971268, 0, 0, 0.0194254, 0.015551, 1, 0, 
0.98124, 0, 0, 0.0196248, 0.015551, 1, 0, 
0.991213, 0, 0, 0.0198243, 0.0192132, 1, 0, 
1.00119, 0, 0, 0.0200237, 0.0179924, 1, 0, 
1.01116, 0, 0, 0.0202232, 0.0167717, 1, 0, 
1.02113, 0, 0, 0.0204226, 0.0204339, 1, 0, 
