Time [sec], Input Angle [rad], Input Speed [rpm], Input Voltage [V], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 0, 0, 
0.000975225, 0, 0, 0.000975225, -0.00153912, 1, 0, 
0.0109481, 0, 0, 0.0109481, -0.00520128, 1, 0, 
0.0209209, 0, 0, 0.0209209, -0.00153912, 1, 0, 
0.0308932, 0, 0, 0.0308932, 0.000902327, 1, 0, 
0.0408664, 0, 0, 0.0408664, -0.00275984, 1, 0, 
0.0508387, 0, 0, 0.0508387, -0.00153912, 1, 0, 
0.0608119, 0, 0, 0.0608119, -0.00275984, 1, 0, 
0.0707843, 0, 0, 0.0707843, -0.00153912, 1, 0, 
0.0807574, 0, 0, 0.0807574, 0.00456449, 1, 0, 
0.0907298, 0, 0, 0.0907298, 0.00334377, 1, 0, 
0.100703, 0, 0, 0.100703, 0.00212305, 1, 0, 
0.110676, 0, 0, 0.110676, -0.00153912, 1, 0, 
0.120648, 0, 0, 0.120648, 0.00578521, 1, 0, 
0.130621, 0, 0, 0.130621, 0.00334377, 1, 0, 
0.140593, 0, 0, 0.140593, -0.00153912, 1, 0, 
0.150567, 0, 0, 0.150567, 0.00212305, 1, 0, 
0.160539, 0, 0, 0.160539, 0.00456449, 1, 0, 
0.170512, 0, 0, 0.170512, 0.00212305, 1, 0, 
0.180484, 0, 0, 0.180484, 0.00334377, 1, 0, 
0.190458, 0, 0, 0.190458, 0.00334377, 1, 0, 
0.200431, 0, 0, 0.200431, 0.00334377, 1, 0, 
0.210403, 0, 0, 0.210403, 0.00456449, 1, 0, 
0.220376, 0, 0, 0.220376, 0.00334377, 1, 0, 
0.230348, 0, 0, 0.230348, 0.00578521, 1, 0, 
0.240322, 0, 0, 0.240322, 0.00578521, 1, 0, 
0.250294, 0, 0, 0.250294, 0.00456449, 1, 0, 
0.260267, 0, 0, 0.260267, 0.00456449, 1, 0, 
0.270239, 0, 0, 0.270239, 0.00578521, 1, 0, 
0.280213, 0, 0, 0.280213, 0.00700594, 1, 0, 
0.290185, 0, 0, 0.290185, 0.00578521, 1, 0, 
0.300158, 0, 0, 0.300158, 0.00456449, 1, 0, 
0.310131, 0, 0, 0.310131, 0.00212305, 1, 0, 
0.320103, 0, 0, 0.320103, 0.00700594, 1, 0, 
0.330076, 0, 0, 0.330076, 0.0106681, 1, 0, 
0.340049, 0, 0, 0.340049, 0.00578521, 1, 0, 
0.350021, 0, 0, 0.350021, 0.00578521, 1, 0, 
0.359994, 0, 0, 0.359994, 0.00944738, 1, 0, 
0.369967, 0, 0, 0.369967, 0.0106681, 1, 0, 
0.37994, 0, 0, 0.37994, 0.0106681, 1, 0, 
0.389912, 0, 0, 0.389912, 0.0106681, 1, 0, 
0.399886, 0, 0, 0.399886, 0.00822666, 1, 0, 
0.409858, 0, 0, 0.409858, 0.0131095, 1, 0, 
0.419831, 0, 0, 0.419831, 0.0106681, 1, 0, 
0.429803, 0, 0, 0.429803, 0.0131095, 1, 0, 
0.439777, 0, 0, 0.439777, 0.00456449, 1, 0, 
0.449749, 0, 0, 0.449749, 0.00822666, 1, 0, 
0.459722, 0, 0, 0.459722, 0.0106681, 1, 0, 
0.469695, 0, 0, 0.469695, 0.0131095, 1, 0, 
0.479667, 0, 0, 0.479667, 0.0118888, 1, 0, 
0.489641, 0, 0, 0.489641, 0.0118888, 1, 0, 
0.499613, 0, 0, 0.499613, 0.0131095, 1, 0, 
0.509586, 0, 0, 0.509586, 0.0118888, 1, 0, 
0.519558, 0, 0, 0.519558, 0.0131095, 1, 0, 
0.529532, 0, 0, 0.529532, 0.0131095, 1, 0, 
0.539504, 0, 0, 0.539504, 0.0131095, 1, 0, 
0.549477, 0, 0, 0.549477, 0.0106681, 1, 0, 
0.55945, 0, 0, 0.55945, 0.0131095, 1, 0, 
0.569422, 0, 0, 0.569422, 0.0143303, 1, 0, 
0.579396, 0, 0, 0.579396, 0.0131095, 1, 0, 
0.589368, 0, 0, 0.589368, 0.0131095, 1, 0, 
0.599341, 0, 0, 0.599341, 0.0143303, 1, 0, 
0.609313, 0, 0, 0.609313, 0.0179924, 1, 0, 
0.619286, 0, 0, 0.619286, 0.0106681, 1, 0, 
0.629259, 0, 0, 0.629259, 0.015551, 1, 0, 
0.639232, 0, 0, 0.639232, 0.0131095, 1, 0, 
0.649205, 0, 0, 0.649205, 0.0167717, 1, 0, 
0.659177, 0, 0, 0.659177, 0.0179924, 1, 0, 
0.66915, 0, 0, 0.66915, 0.0118888, 1, 0, 
0.679122, 0, 0, 0.679122, 0.0131095, 1, 0, 
0.689096, 0, 0, 0.689096, 0.0204339, 1, 0, 
0.699068, 0, 0, 0.699068, 0.0204339, 1, 0, 
0.709041, 0, 0, 0.709041, 0.0143303, 1, 0, 
0.719013, 0, 0, 0.719013, 0.0192132, 1, 0, 
0.728987, 0, 0, 0.728987, 0.0179924, 1, 0, 
0.738959, 0, 0, 0.738959, 0.0192132, 1, 0, 
0.748932, 0, 0, 0.748932, 0.0204339, 1, 0, 
0.758905, 0, 0, 0.758905, 0.0228753, 1, 0, 
0.768877, 0, 0, 0.768877, 0.0204339, 1, 0, 
0.77885, 0, 0, 0.77885, 0.0204339, 1, 0, 
0.788823, 0, 0, 0.788823, 0.0167717, 1, 0, 
0.798796, 0, 0, 0.798796, 0.0167717, 1, 0, 
0.808768, 0, 0, 0.808768, 0.0216546, 1, 0, 
0.818741, 0, 0, 0.818741, 0.0204339, 1, 0, 
0.828714, 0, 0, 0.828714, 0.0228753, 1, 0, 
0.838687, 0, 0, 0.838687, 0.0204339, 1, 0, 
0.84866, 0, 0, 0.84866, 0.0204339, 1, 0, 
0.858632, 0, 0, 0.858632, 0.0216546, 1, 0, 
0.868605, 0, 0, 0.868605, 0.0228753, 1, 0, 
0.878578, 0, 0, 0.878578, 0.0265375, 1, 0, 
0.888551, 0, 0, 0.888551, 0.0228753, 1, 0, 
0.898523, 0, 0, 0.898523, 0.0204339, 1, 0, 
0.908496, 0, 0, 0.908496, 0.024096, 1, 0, 
0.918469, 0, 0, 0.918469, 0.0216546, 1, 0, 
0.928442, 0, 0, 0.928442, 0.0228753, 1, 0, 
0.938415, 0, 0, 0.938415, 0.024096, 1, 0, 
0.948387, 0, 0, 0.948387, 0.0253168, 1, 0, 
0.95836, 0, 0, 0.95836, 0.0265375, 1, 0, 
0.968332, 0, 0, 0.968332, 0.0204339, 1, 0, 
0.978306, 0, 0, 0.978306, 0.0228753, 1, 0, 
0.988278, 0, 0, 0.988278, 0.024096, 1, 0, 
0.998251, 0, 0, 0.998251, 0.0301996, 1, 0, 
1.00822, 0, 0, 1.00822, 0.0265375, 1, 0, 
1.0182, 0, 0, 1.0182, 0.0277582, 1, 0, 
1.02817, 0, 0, 1.02817, 0.0277582, 1, 0, 
1.03814, 0, 0, 1.03814, 0.0265375, 1, 0, 
